site_id,response_generator_id,data_type,exam_id,task_number,trial_number,trial_time,num_blue_locations,red_capability_Pc,red_vulnerability_P_1,red_opportunity_U_1,red_activity_detected_1,red_tactics_probs_time,red_tactics_probs_tactic_1,red_tactics_probs_tactic_2,red_tactics_probs_normative_tactic_1,red_tactics_probs_normative_tactic_2,red_tactics_batch_plot_trials_reviewed,red_tactics_batch_plot_trials_total,red_tactics_actual_red_tactic,bluebook_P-Sensitive_prob_1,bluebook_U-Sensitive_prob_1,probs_Pp_time,probs_Pp_1,probs_Pp_2,probs_Pp_normative_1,probs_Pp_normative_2,probs_Pp_normative_inc_1,probs_Pp_normative_inc_2,blue_action_time,blue_action_1,blue_action_expected_utility,blue_action_normative_participant_1,blue_action_normative_participant_expected_utility,blue_action_normative_bayesian_1,blue_action_normative_bayesian_expected_utility
MITRE,A-B,Model_Single,Final-Exam-1,5,12,NaN,1,0.4,0.092339469,4,0,NaN,0.5,0.5,0.8506417736289382,0.14935822637106178,0,0,P-Sensitive,0.6,0.8,NaN,0.7,0.3,0.6298716452742124,0.37012835472578764,0.6298716452742124,0.37012835472578764,NaN,Divert,-0.30000000000000004,Divert,-0.30000000000000004,Divert,-0.37012835472578764
MITRE,A-B,Model_Single,Final-Exam-1,5,13,NaN,1,0.7,0.299902868,3,0,NaN,0.5,0.5,0.9192938209331653,0.08070617906683474,0,0,P-Sensitive,0.4,0.2,NaN,0.30000000000000004,0.7,0.38385876418663306,0.6161412358133669,0.38385876418663306,0.6161412358133669,NaN,Do_Not_Divert,-0.3601748376000001,Do_Not_Divert,-0.3601748376000001,Do_Not_Divert,-0.46085422684085753
MITRE,A-B,Model_Single,Final-Exam-1,5,14,NaN,1,0.9,0.135517367,2,0,NaN,0.5,0.5,0.8952108063855916,0.10478919361440844,0,0,P-Sensitive,0.6,0.2,NaN,0.4,0.6,0.5580843225542366,0.44191567744576343,0.5580843225542366,0.44191567744576343,NaN,Do_Not_Divert,-0.5831722128,Do_Not_Divert,-0.5831722128,Divert,-0.44191567744576343
MITRE,A-B,Model_Single,Final-Exam-1,5,15,NaN,1,1.0,0.20439163,3,1,NaN,0.4666666666666667,0.5333333333333333,0.8103001111522788,0.18969988884772118,0,0,P-Sensitive,0.6,0.2,NaN,0.38666666666666666,0.6133333333333334,0.5241200444609115,0.47587995553908846,0.5241200444609115,0.47587995553908846,NaN,Do_Not_Divert,-0.6858114183999999,Divert,-0.6133333333333333,Divert,-0.47587995553908846
MITRE,A-B,Model_Single,Final-Exam-1,5,16,NaN,1,0.4,0.313338041,3,1,NaN,0.5,0.5,0.9276120458080024,0.0723879541919977,0,0,P-Sensitive,0.4,0.2,NaN,0.30000000000000004,0.7,0.3855224091616005,0.6144775908383995,0.3855224091616005,0.6144775908383995,NaN,Do_Not_Divert,-0.3359915262,Do_Not_Divert,-0.3359915262,Do_Not_Divert,-0.4317742087950233
MITRE,A-B,Model_Single,Final-Exam-1,5,17,NaN,1,0.7,0.07385908,5,1,NaN,0.5,0.5,0.9057567530256316,0.09424324697436837,0,0,P-Sensitive,0.6,0.8,NaN,0.7,0.3,0.6188486493948737,0.3811513506051263,0.6188486493948737,0.3811513506051263,NaN,Divert,-0.30000000000000004,Divert,-0.30000000000000004,Divert,-0.3811513506051263
MITRE,A-B,Model_Single,Final-Exam-1,5,18,NaN,1,0.4,0.120871362,3,0,NaN,0.5,0.5,0.8781695691616722,0.12183043083832781,0,0,P-Sensitive,0.6,0.2,NaN,0.4,0.6,0.5512678276646689,0.44873217233533114,0.5512678276646689,0.44873217233533114,NaN,Do_Not_Divert,-0.9099087312,Divert,-0.6,Divert,-0.44873217233533114
MITRE,A-B,Model_Single,Final-Exam-1,5,19,NaN,1,0.7,0.084735652,5,0,NaN,0.47619047619047616,0.5238095238095238,0.7828006310235573,0.21719936897644265,0,0,P-Sensitive,0.6,0.8,NaN,0.7047619047619048,0.2952380952380952,0.6434398737952884,0.35656012620471156,0.6434398737952884,0.35656012620471156,NaN,Divert,-0.2952380952380952,Divert,-0.2952380952380952,Divert,-0.35656012620471156
MITRE,A-B,Model_Single,Final-Exam-1,5,20,NaN,1,0.9,0.257999449,5,0,NaN,0.47619047619047616,0.5238095238095237,0.8781695691616721,0.12183043083832786,NaN,19,P-Sensitive,0.4,0.8,NaN,0.6095238095238096,0.3904761904761904,0.44873217233533114,0.5512678276646689,0.44873217233533114,0.5512678276646689,NaN,Divert,-0.3904761904761904,Divert,-0.3904761904761904,Divert,-0.5512678276646689
MITRE,A-B,Model_Single,Final-Exam-1,5,21,NaN,1,0.4,0.213587953,2,0,NaN,0.4545454545454546,0.5454545454545455,0.7828006310235572,0.2171993689764428,0,0,P-Sensitive,0.6,0.2,NaN,0.3818181818181818,0.6181818181818182,0.5131202524094228,0.48687974759057717,0.5131202524094228,0.48687974759057717,NaN,Do_Not_Divert,-0.4374293081454545,Do_Not_Divert,-0.4374293081454545,Divert,-0.48687974759057717
