site_id,response_generator_id,data_type,exam_id,task_number,trial_number,trial_time,num_blue_locations,red_capability_Pc,red_vulnerability_P_1,red_opportunity_U_1,red_activity_detected_1,bluebook_Netural_prob_1,probs_Pp_time,probs_Pp_1,probs_Pp_2,probs_Pp_normative_1,probs_Pp_normative_2,probs_Pp_normative_inc_1,probs_Pp_normative_inc_2,probs_Ppc_time,probs_Ppc_1,probs_Ppc_2,probs_Ppc_normative_1,probs_Ppc_normative_2,probs_Ppc_normative_inc_1,probs_Ppc_normative_inc_2,probs_Pt_time,probs_Pt_1,probs_Pt_2,probs_Pt_normative_1,probs_Pt_normative_2,probs_Pt_normative_inc_1,probs_Pt_normative_inc_2,probs_Ptpc_time,probs_Ptpc_1,probs_Ptpc_2,probs_Ptpc_normative_1,probs_Ptpc_normative_2,probs_Ptpc_normative_inc_1,probs_Ptpc_normative_inc_2,blue_action_time,blue_action_1,blue_action_expected_utility,blue_action_normative_participant_1,blue_action_normative_participant_expected_utility,blue_action_normative_bayesian_1,blue_action_normative_bayesian_expected_utility
MITRE,A-B,Model_Single,Final-Exam-1,1,1,NaN,1,1.0,0.484673201,4,0,0.4,NaN,0.4,0.6,0.4,0.6,0.4,0.6,NaN,0.6324555320336759,0.3675444679663242,0.4,0.6,0.4,0.6,NaN,0.4,0.6,0.3333333333333333,0.6666666666666667,0.3333333333333333,0.6666666666666667,NaN,0.5171558243265074,0.4828441756734926,0.25,0.75,0.5342713014188437,0.4657286985811563,NaN,Do_Not_Divert,NaN,Do_Not_Divert,-0.06341074696905352,Do_Not_Divert,-0.030653598000000004
MITRE,A-B,Model_Single,Final-Exam-1,1,2,NaN,1,1.0,0.103481851,2,1,0.6,NaN,0.6,0.4,0.6,0.4,0.6,0.4,NaN,0.7745966692414834,0.22540333075851662,0.6,0.4,0.6,0.4,NaN,0.6,0.4,0.7499999999999999,0.2500000000000001,0.7499999999999999,0.2500000000000001,NaN,0.6942274454688101,0.30577255453118996,0.8181818181818181,0.18181818181818188,0.8375235339555589,0.1624764660444411,NaN,Divert,NaN,Divert,-0.3057725545311899,Divert,-0.18181818181818188
MITRE,A-B,Model_Single,Final-Exam-1,1,3,NaN,1,0.4,0.146325185,5,0,0.8,NaN,0.8,0.2,0.8,0.19999999999999996,0.8,0.19999999999999996,NaN,0.565685424949238,0.434314575050762,0.32000000000000006,0.6799999999999999,0.32000000000000006,0.6799999999999999,NaN,0.4,0.6,0.3333333333333333,0.6666666666666667,0.3333333333333333,0.6666666666666667,NaN,0.48235781820311685,0.5176421817968831,0.1904761904761905,0.8095238095238095,0.46475951033357465,0.5352404896664253,NaN,Do_Not_Divert,NaN,Divert,-0.5176421817968831,Do_Not_Divert,-0.6736663142857143
MITRE,A-B,Model_Single,Final-Exam-1,1,4,NaN,1,0.4,0.431649873,2,0,0.2,NaN,0.2,0.8,0.2,0.8,0.2,0.8,NaN,0.282842712474619,0.717157287525381,0.08000000000000002,0.9199999999999999,0.08000000000000002,0.9199999999999999,NaN,0.4,0.6,0.3333333333333333,0.6666666666666667,0.3333333333333333,0.6666666666666667,NaN,0.3389594572441513,0.6610405427558487,0.041666666666666664,0.9583333333333334,0.208190165341672,0.791809834658328,NaN,Do_Not_Divert,NaN,Do_Not_Divert,-0.09267168780195521,Do_Not_Divert,-0.01139168783333333
MITRE,A-B,Model_Single,Final-Exam-1,1,5,NaN,1,0.7,0.475453163,4,0,0.4,NaN,0.4,0.6,0.4,0.6,0.4,0.6,NaN,0.5291502622129182,0.47084973778708183,0.27999999999999997,0.72,0.27999999999999997,0.72,NaN,0.4,0.6,0.3333333333333333,0.6666666666666667,0.3333333333333333,0.6666666666666667,NaN,0.46397109270709963,0.5360289072929004,0.1627906976744186,0.8372093023255814,0.42831440060521897,0.571685599394781,NaN,Do_Not_Divert,NaN,Do_Not_Divert,-0.09111218228314447,Do_Not_Divert,-0.03196797376744184
MITRE,A-B,Model_Single,Final-Exam-1,1,6,NaN,1,0.9,0.177883181,3,1,0.6,NaN,0.6,0.4,0.6,0.4,0.6,0.4,NaN,0.7348469228349535,0.2651530771650465,0.54,0.45999999999999996,0.54,0.45999999999999996,NaN,0.6,0.4,0.7499999999999999,0.2500000000000001,0.7499999999999999,0.2500000000000001,NaN,0.6709334637908664,0.3290665362091336,0.7788461538461537,0.22115384615384626,0.8060929297715955,0.19390707022840448,NaN,Divert,NaN,Divert,-0.3290665362091336,Divert,-0.22115384615384626
MITRE,A-B,Model_Single,Final-Exam-1,1,7,NaN,1,0.4,0.423021625,3,0,0.2,NaN,0.2,0.8,0.2,0.8,0.2,0.8,NaN,0.282842712474619,0.717157287525381,0.08000000000000002,0.9199999999999999,0.08000000000000002,0.9199999999999999,NaN,0.4,0.6,0.3333333333333333,0.6666666666666667,0.3333333333333333,0.6666666666666667,NaN,0.3389594572441513,0.6610405427558487,0.041666666666666664,0.9583333333333334,0.208190165341672,0.791809834658328,NaN,Do_Not_Divert,NaN,Do_Not_Divert,-0.15655528925722043,Do_Not_Divert,-0.019244593749999997
MITRE,A-B,Model_Single,Final-Exam-1,1,8,NaN,1,0.7,0.187121096,2,1,0.6,NaN,0.6,0.4,0.6,0.4,0.6,0.4,NaN,0.6480740698407861,0.3519259301592139,0.42,0.5800000000000001,0.42,0.5800000000000001,NaN,0.6,0.4,0.7499999999999999,0.2500000000000001,0.7499999999999999,0.2500000000000001,NaN,0.6243433011252121,0.3756566988747879,0.684782608695652,0.315217391304348,0.7342023516884683,0.26579764831153174,NaN,Do_Not_Divert,NaN,Divert,-0.3756566988747879,Divert,-0.315217391304348
MITRE,A-B,Model_Single,Final-Exam-1,1,9,NaN,1,0.9,0.247636435,4,0,0.8,NaN,0.8,0.2,0.8,0.19999999999999996,0.8,0.19999999999999996,NaN,0.848528137423857,0.15147186257614295,0.7200000000000001,0.2799999999999999,0.7200000000000001,0.2799999999999999,NaN,0.4,0.6,0.3333333333333333,0.6666666666666667,0.3333333333333333,0.6666666666666667,NaN,0.6589950719872474,0.3410049280127527,0.5625000000000001,0.4374999999999999,0.7887885053796065,0.21121149462039346,NaN,Do_Not_Divert,NaN,Divert,-0.3410049280127526,Divert,-0.4374999999999999
MITRE,A-B,Model_Single,Final-Exam-1,1,10,NaN,1,1.0,0.402986574,3,0,0.2,NaN,0.2,0.8,0.2,0.8,0.2,0.8,NaN,0.447213595499958,0.552786404500042,0.2,0.8,0.2,0.8,NaN,0.4,0.6,0.3333333333333333,0.6666666666666667,0.3333333333333333,0.6666666666666667,NaN,0.4234320292038831,0.5765679707961169,0.11111111111111109,0.888888888888889,0.35037290602269866,0.6496270939773013,NaN,Do_Not_Divert,NaN,Do_Not_Divert,-0.24647155098720455,Do_Not_Divert,-0.06467561733333332
