site_id,response_generator_id,data_type,exam_id,task_number,trial_number,trial_time,num_blue_locations,red_capability_Pc,red_vulnerability_P_1,red_opportunity_U_1,red_activity_detected_1,red_tactics_most_likely_time,red_tactics_most_likely_tactic,red_tactics_actual_red_tactic,bluebook_Passive_prob_1,bluebook_Aggressive_prob_1,probs_Pp_time,probs_Pp_1,probs_Pp_2,probs_Pp_normative_1,probs_Pp_normative_2,probs_Pp_normative_inc_1,probs_Pp_normative_inc_2,probs_Ppc_time,probs_Ppc_1,probs_Ppc_2,probs_Ppc_normative_1,probs_Ppc_normative_2,probs_Ppc_normative_inc_1,probs_Ppc_normative_inc_2,probs_Ptpc_time,probs_Ptpc_1,probs_Ptpc_2,probs_Ptpc_normative_1,probs_Ptpc_normative_2,probs_Ptpc_normative_inc_1,probs_Ptpc_normative_inc_2,blue_action_time,blue_action_1,blue_action_expected_utility,blue_action_normative_participant_1,blue_action_normative_participant_expected_utility,blue_action_normative_bayesian_1,blue_action_normative_bayesian_expected_utility
MITRE,A-B,Model_Single,Final-Exam-1,2,1,NaN,1,1.0,0.122406801,4,0,NaN,NaN,Aggressive,0.5,0.8,NaN,0.65,0.35,0.65,0.35,0.65,0.35,NaN,0.806225774829855,0.19377422517014495,0.65,0.35,0.65,0.35,NaN,0.6248305048128635,0.3751694951871365,0.4814814814814815,0.5185185185185185,0.7350125328118718,0.26498746718812816,NaN,Divert,-0.3751694951871365,Divert,-0.3751694951871365,Divert,-0.5185185185185185
MITRE,A-B,Model_Single,Final-Exam-1,2,2,NaN,1,0.4,0.121429501,2,1,NaN,Aggressive,Aggressive,0.4,0.7,NaN,0.7,0.3,0.5846153846153846,0.41538461538461535,0.5846153846153846,0.41538461538461535,NaN,0.5291502622129182,0.47084973778708183,0.23384615384615387,0.7661538461538462,0.27999999999999997,0.72,NaN,0.5649064967690188,0.43509350323098117,0.4779874213836477,0.5220125786163523,0.6276617132466421,0.3723382867533579,NaN,Divert,-0.43509350323098117,Divert,-0.43509350323098117,Divert,-0.5220125786163523
MITRE,A-B,Model_Single,Final-Exam-1,2,3,NaN,1,0.4,0.316709615,2,0,NaN,Aggressive,Aggressive,0.2,0.5,NaN,0.5,0.5,0.4184269662921348,0.5815730337078652,0.4184269662921348,0.5815730337078652,NaN,0.447213595499958,0.552786404500042,0.16737078651685394,0.8326292134831461,0.2,0.8,NaN,0.42343202920388323,0.5765679707961168,0.09132823229350596,0.908671767706494,0.35037290602269866,0.6496270939773013,NaN,Do_Not_Divert,-0.310444078616444,Do_Not_Divert,-0.310444078616444,Do_Not_Divert,-0.06695834743378457
MITRE,A-B,Model_Single,Final-Exam-1,2,4,NaN,1,0.4,0.128749834,4,1,NaN,Aggressive,Aggressive,0.5,0.8,NaN,0.8,0.2,0.7514192911057331,0.24858070889426687,0.7514192911057331,0.24858070889426687,NaN,0.565685424949238,0.434314575050762,0.3005677164422933,0.6994322835577067,0.32000000000000006,0.6799999999999999,NaN,0.5829431373664056,0.41705686263359437,0.563164820918604,0.436835179081396,0.6614436276346272,0.33855637236537284,NaN,Divert,-0.4170568626335944,Divert,-0.4170568626335944,Divert,-0.436835179081396
MITRE,A-B,Model_Single,Final-Exam-1,2,5,NaN,1,0.4,0.462172589,4,1,NaN,Aggressive,Aggressive,0.3,0.6,NaN,0.6,0.4,0.5680646926840526,0.4319353073159474,0.5680646926840526,0.4319353073159474,NaN,0.4898979485566357,0.5101020514433643,0.22722587707362105,0.7727741229263789,0.24,0.76,NaN,0.5455051593374499,0.4544948406625501,0.46868356360196806,0.5313164363980319,0.5902626838669718,0.4097373161330282,NaN,Divert,-0.4544948406625501,Do_Not_Divert,-0.16508038291902555,Do_Not_Divert,-0.1418326863145302
MITRE,A-B,Model_Single,Final-Exam-1,2,6,NaN,1,0.4,0.345811268,5,0,NaN,Aggressive,Aggressive,0.3,0.6,NaN,0.6,0.4,0.5821003772397566,0.4178996227602434,0.5821003772397566,0.4178996227602434,NaN,0.4898979485566357,0.5101020514433643,0.23284015089590265,0.7671598491040974,0.24,0.76,NaN,0.4444948510791734,0.5555051489208266,0.13175952985461178,0.8682404701453882,0.39034106065523,0.60965893934477,NaN,Do_Not_Divert,-0.6853609746842657,Divert,-0.5555051489208266,Do_Not_Divert,-0.20315834837198735
MITRE,A-B,Model_Single,Final-Exam-1,2,7,NaN,1,0.7,0.311638031,2,1,NaN,Aggressive,Aggressive,0.2,0.5,NaN,0.3875,0.6125,0.47978478232278043,0.5202152176772196,0.47978478232278043,0.5202152176772196,NaN,0.5208166663999915,0.47918333360000853,0.33584934762594626,0.6641506523740537,0.27125,0.72875,NaN,0.5607952023019981,0.43920479769800186,0.6027091160264504,0.3972908839735496,0.619818973757948,0.38018102624205197,NaN,Divert,-0.4392047976980019,Do_Not_Divert,-0.4225299540454308,Divert,-0.3972908839735496
MITRE,A-B,Model_Single,Final-Exam-1,2,8,NaN,1,0.9,0.395225375,2,1,NaN,Aggressive,Aggressive,0.2,0.5,NaN,0.36875,0.63125,0.4795732981819995,0.5204267018180004,0.4795732981819995,0.5204267018180004,NaN,0.5760859310901456,0.4239140689098544,0.43161596836379956,0.5683840316362004,0.33187500000000003,0.668125,NaN,0.5880949585887209,0.41190504141127915,0.6949472470751786,0.30505275292482137,0.6708851488269548,0.3291148511730452,NaN,Divert,-0.41190504141127915,Do_Not_Divert,-0.24646971500209505,Do_Not_Divert,-0.29125134882833675
MITRE,A-B,Model_Single,Final-Exam-1,2,9,NaN,1,0.4,0.436206103,4,0,NaN,Aggressive,Aggressive,0.3,0.6,NaN,0.47027027027027024,0.5297297297297298,0.5906492045295191,0.4093507954704809,0.5906492045295191,0.4093507954704809,NaN,0.43371431623605433,0.5662856837639457,0.23625968181180765,0.7637403181881923,0.1881081081081081,0.8118918918918919,NaN,0.4167598489357954,0.5832401510642046,0.13395377957595603,0.866046220424044,0.3380093798442033,0.6619906201557967,NaN,Do_Not_Divert,-0.21269387901396547,Do_Not_Divert,-0.21269387901396547,Do_Not_Divert,-0.06836346893623393
MITRE,A-B,Model_Single,Final-Exam-1,2,10,NaN,1,0.4,0.069971517,2,1,NaN,Aggressive,Aggressive,0.4,0.7,NaN,0.5714285714285715,0.4285714285714285,0.6952674352257704,0.3047325647742296,0.6952674352257704,0.3047325647742296,NaN,0.4780914437337575,0.5219085562662424,0.27810697409030816,0.7218930259096918,0.22857142857142862,0.7714285714285714,NaN,0.5396384867304906,0.46036151326950936,0.5361222492873402,0.4638777507126598,0.5787818423037051,0.4212181576962949,NaN,Divert,-0.46036151326950936,Divert,-0.46036151326950936,Divert,-0.4638777507126598
