site_id,response_generator_id,data_type,exam_id,task_number,trial_number,trial_time,num_blue_locations,red_capability_Pc,red_vulnerability_P_1,red_vulnerability_P_2,red_opportunity_U_1,red_opportunity_U_2,red_activity_detected_1,red_activity_detected_2,bluebook_Neutral_prob_1,bluebook_Neutral_prob_2,probs_Pp_time,probs_Pp_1,probs_Pp_2,probs_Pp_3,probs_Pp_normative_1,probs_Pp_normative_2,probs_Pp_normative_3,probs_Pp_normative_inc_1,probs_Pp_normative_inc_2,probs_Pp_normative_inc_3,probs_Ppc_time,probs_Ppc_1,probs_Ppc_2,probs_Ppc_3,probs_Ppc_normative_1,probs_Ppc_normative_2,probs_Ppc_normative_3,probs_Ppc_normative_inc_1,probs_Ppc_normative_inc_2,probs_Ppc_normative_inc_3,probs_Ptpc_time,probs_Ptpc_1,probs_Ptpc_2,probs_Ptpc_3,probs_Ptpc_normative_1,probs_Ptpc_normative_2,probs_Ptpc_normative_3,probs_Ptpc_normative_inc_1,probs_Ptpc_normative_inc_2,probs_Ptpc_normative_inc_3,sigint_time,sigint_location_1,sigint_participant_optimal_location_1,sigint_bayesian_optimal_location_1,blue_action_time,blue_action_1,blue_action_2,blue_action_expected_utility,blue_action_normative_participant_1,blue_action_normative_participant_2,blue_action_normative_participant_expected_utility,blue_action_normative_bayesian_1,blue_action_normative_bayesian_2,blue_action_normative_bayesian_expected_utility
PSU,191,Human_Single,Final-Exam-1,3,1,92462.0,2,1.0,0.334456797,0.437983013,2,2,0,1,0.1,0.1,15101.0,0.5,0.4,0.1,0.1,0.1,0.8,0.1,0.1,0.8,20171.0,0.594,0.396,0.01,0.1,0.1,0.8,0.5,0.4,0.09999999999999998,10686.0,0.891,0.099,0.01,0.09999999999999999,0.1,0.8,0.7092537313432835,0.28074626865671654,0.01,10155.0,1,1,1,14290.0,Do_Not_Divert,Divert,-1.578417557934066,Divert,Do_Not_Divert,-0.11261613129670328,Do_Not_Divert,Do_Not_Divert,-0.08274916000000003
PSU,191,Human_Single,Final-Exam-1,3,2,94146.0,2,0.4,0.153512717,0.056970253,2,3,0,0,0.3,0.3,7910.0,0.3465,0.6435,0.01,0.3,0.3,0.4,0.3,0.3,0.4,15725.0,0.396,0.594,0.01,0.12,0.12,0.76,0.13999999999999999,0.26,0.6,7457.0,0.297,0.693,0.01,0.12,0.11999999999999997,0.76,0.28074626865671654,0.7092537313432835,0.01,9219.0,2,2,1,24429.0,Divert,Do_Not_Divert,-2.5348195647848097,Do_Not_Divert,Divert,-0.5376397745316457,Do_Not_Divert,Do_Not_Divert,-0.4332993872142856
PSU,191,Human_Single,Final-Exam-1,3,3,63087.0,2,0.7,0.443770622,0.387804009,2,2,0,0,0.1,0.1,7831.0,0.4455,0.5445,0.01,0.1,0.1,0.8,0.1,0.1,0.8,8424.0,0.396,0.594,0.01,0.06999999999999999,0.06999999999999999,0.86,0.315,0.385,0.30000000000000004,10140.0,0.594,0.396,0.01,0.06999999999999998,0.06999999999999999,0.8600000000000001,0.5236363636363637,0.4663636363636364,0.01,10733.0,1,2,1,7940.0,Do_Not_Divert,Divert,-0.8960135583157894,Do_Not_Divert,Do_Not_Divert,-0.20102070863157895,Do_Not_Divert,Do_Not_Divert,-0.04407392833644858
PSU,191,Human_Single,Final-Exam-1,3,4,74521.0,2,0.4,0.348790791,0.137053679,5,5,0,1,0.2,0.4,11357.0,0.297,0.693,0.01,0.2,0.4,0.3999999999999999,0.2,0.4,0.3999999999999999,10686.0,0.297,0.693,0.01,0.08000000000000002,0.16000000000000003,0.76,0.12,0.27999999999999997,0.6000000000000001,10452.0,0.1485,0.8414999999999999,0.01,0.04444444444444447,0.5333333333333333,0.42222222222222217,0.0958064516129033,0.8941935483870967,0.01,4337.0,2,2,2,19360.0,Do_Not_Divert,Do_Not_Divert,-3.0444805057306596,Do_Not_Divert,Divert,-0.21091354959885394,Do_Not_Divert,Divert,-0.5101203175417299
PSU,191,Human_Single,Final-Exam-1,3,5,55848.0,2,0.4,0.337248619,0.331277966,4,4,0,0,0.2,0.2,9547.0,0.495,0.495,0.01,0.2,0.2,0.6,0.2,0.2,0.6,6833.0,0.495,0.495,0.01,0.08000000000000002,0.08000000000000002,0.84,0.2,0.2,0.6,7488.0,0.5445,0.4455,0.01,0.08,0.08000000000000002,0.84,0.6211764705882353,0.36882352941176477,0.01,6193.0,1,1,1,8877.0,Divert,Divert,-1.32890365448505,Do_Not_Divert,Do_Not_Divert,-0.886628620730897,Do_Not_Divert,Do_Not_Divert,-0.19642869037037042
PSU,191,Human_Single,Final-Exam-1,3,6,96580.0,2,0.4,0.401825107,0.118863044,4,2,0,1,0.2,0.3,14211.0,0.198,0.792,0.01,0.2,0.3,0.5,0.2,0.3,0.5,31902.0,0.198,0.792,0.01,0.08000000000000002,0.12,0.8,0.08000000000000002,0.32000000000000006,0.5999999999999999,6724.0,0.198,0.792,0.01,0.050000000000000024,0.44999999999999984,0.5000000000000001,0.05823529411764709,0.9317647058823529,0.01,6490.0,2,2,2,3650.0,Divert,Do_Not_Divert,-2.113941199238095,Do_Not_Divert,Divert,-0.2754951973333333,Do_Not_Divert,Divert,-0.5847554746393864
PSU,191,Human_Single,Final-Exam-1,3,7,82118.0,2,0.4,0.099622344,0.457303476,4,5,0,1,0.4,0.2,13369.0,0.891,0.099,0.01,0.4,0.2,0.3999999999999999,0.4,0.2,0.3999999999999999,20997.0,0.891,0.099,0.01,0.16000000000000003,0.08000000000000002,0.76,0.36000000000000004,0.04000000000000001,0.6,6428.0,0.792,0.198,0.01,0.16,0.08000000000000002,0.76,0.928729641693811,0.06127035830618894,0.01,5242.0,1,1,1,8751.0,Do_Not_Divert,Divert,-3.3927780937142855,Divert,Do_Not_Divert,-0.25842691619047614,Do_Not_Divert,Do_Not_Divert,-0.5066620662820097
PSU,191,Human_Single,Final-Exam-1,3,8,111260.0,2,0.7,0.125905771,0.312691703,5,2,1,0,0.4,0.1,7597.0,0.792,0.198,0.01,0.4,0.1,0.5,0.4,0.1,0.5,5632.0,0.792,0.198,0.01,0.27999999999999997,0.06999999999999999,0.65,0.5599999999999999,0.13999999999999999,0.30000000000000004,11684.0,0.792,0.198,0.01,0.6999999999999998,0.029166666666666678,0.2708333333333335,0.9317647058823529,0.05823529411764709,0.01,9017.0,1,1,1,56659.0,Do_Not_Divert,Do_Not_Divert,-2.885919515619048,Divert,Do_Not_Divert,-0.2737730089523809,Divert,Do_Not_Divert,-0.3129450858987667
PSU,191,Human_Single,Final-Exam-1,3,9,90402.0,2,0.4,0.111816277,0.281968674,3,3,0,0,0.3,0.1,18049.0,0.594,0.396,0.01,0.3,0.1,0.6,0.3,0.1,0.6,5600.0,0.594,0.396,0.01,0.12,0.04000000000000001,0.84,0.24,0.16000000000000003,0.6,17956.0,0.594,0.396,0.01,0.11999999999999997,0.04000000000000001,0.8400000000000001,0.7092537313432835,0.28074626865671654,0.01,5366.0,1,1,1,23041.0,Do_Not_Divert,Do_Not_Divert,-1.3786669929473685,Divert,Do_Not_Divert,-0.8017237802105265,Do_Not_Divert,Do_Not_Divert,-0.31587701506109317
PSU,191,Human_Single,Final-Exam-1,3,10,54506.0,2,0.7,0.230668493,0.050440015,4,5,0,0,0.4,0.4,9656.0,0.1485,0.8414999999999999,0.01,0.4,0.4,0.19999999999999996,0.4,0.4,0.19999999999999996,10546.0,0.1485,0.8414999999999999,0.01,0.27999999999999997,0.27999999999999997,0.44000000000000006,0.105,0.595,0.30000000000000004,5974.0,0.1485,0.8414999999999999,0.01,0.27999999999999997,0.2799999999999999,0.44000000000000017,0.09389351081530783,0.8961064891846922,0.01,4883.0,2,2,1,9189.0,Do_Not_Divert,Do_Not_Divert,-3.778281447432665,Do_Not_Divert,Divert,-0.22748386390830952,Do_Not_Divert,Divert,-1.25258013725
