site_id,response_generator_id,data_type,exam_id,task_number,trial_number,AA_measured,AA_magnitude,AA_exhibited,PDE_measured,PDE_magnitude,PDE_exhibited,RR_measured,RR_magnitude,RR_exhibited,AV_measured,AV_magnitude,AV_exhibited
PSU,106,Human_Single,Final-Exam-1,1,8,1,0.12727250497865816,1,0,NaN,NaN,1,0.25000000000000006,1,1,0.15967246999553564,1
PSU,106,Human_Single,Final-Exam-1,1,9,1,0.2472591619726876,1,0,NaN,NaN,1,0.1499999999999999,1,1,0.052654760400179024,1
PSU,106,Human_Single,Final-Exam-1,1,10,1,0.08871711875305444,1,0,NaN,NaN,1,0.6000000000000001,1,1,0.052654760400179024,1
PSU,107,Human_Single,Final-Exam-1,1,1,1,-0.2561820855789253,0,0,NaN,NaN,1,0.0,0,1,0.052654760400179024,1
PSU,107,Human_Single,Final-Exam-1,1,2,1,0.05219154903600087,1,0,NaN,NaN,1,0.0,0,1,0.15967246999553564,1
PSU,107,Human_Single,Final-Exam-1,1,3,1,-0.2356108197499882,0,0,NaN,NaN,1,-5.551115123125783E-17,0,1,0.052654760400179024,1
PSU,107,Human_Single,Final-Exam-1,1,4,1,-0.06413254078810016,0,0,NaN,NaN,1,-1.3877787807814457E-17,0,1,0.052654760400179024,1
PSU,107,Human_Single,Final-Exam-1,1,5,1,-0.20417706382130218,0,0,NaN,NaN,1,5.551115123125783E-17,0,1,0.052654760400179024,1
PSU,107,Human_Single,Final-Exam-1,1,6,1,-0.02957169814773608,0,0,NaN,NaN,1,0.0,0,1,0.15967246999553564,1
PSU,107,Human_Single,Final-Exam-1,1,7,1,-0.06413254078810016,0,0,NaN,NaN,1,-1.3877787807814457E-17,0,1,0.052654760400179024,1
PSU,107,Human_Single,Final-Exam-1,1,8,1,-0.08384155128913218,0,0,NaN,NaN,1,0.0,0,1,0.15967246999553564,1
PSU,107,Human_Single,Final-Exam-1,1,9,1,-0.08073076904854404,0,0,NaN,NaN,1,-1.1102230246251565E-16,0,1,0.052654760400179024,1
PSU,107,Human_Single,Final-Exam-1,1,10,1,-0.1894935883800546,0,0,NaN,NaN,1,0.0,0,1,0.052654760400179024,1
PSU,108,Human_Single,Final-Exam-1,1,1,1,0.6481936355572703,1,0,NaN,NaN,1,0.4,1,1,-0.19636773916712724,0
PSU,108,Human_Single,Final-Exam-1,1,2,1,-0.1543642017922201,0,0,NaN,NaN,1,0.09999999999999998,1,1,0.15967246999553564,1
PSU,108,Human_Single,Final-Exam-1,1,3,1,0.0,0,0,NaN,NaN,1,0.13999999999999996,1,1,-0.03700493482379685,0
PSU,108,Human_Single,Final-Exam-1,1,4,1,-0.15435800891147722,0,0,NaN,NaN,1,0.5399999999999999,1,1,0.052654760400179024,1
PSU,108,Human_Single,Final-Exam-1,1,5,1,-0.5310044064107188,0,0,NaN,NaN,1,0.38700000000000007,1,1,-0.19636773916712724,0
PSU,108,Human_Single,Final-Exam-1,1,6,1,0.20560382122004506,1,0,NaN,NaN,1,0.22499999999999998,1,1,0.15967246999553564,1
PSU,108,Human_Single,Final-Exam-1,1,7,1,0.04577255896802224,1,0,NaN,NaN,1,0.21000000000000002,1,1,0.015772221321001423,1
PSU,108,Human_Single,Final-Exam-1,1,8,1,0.469397323371223,1,0,NaN,NaN,1,0.29000000000000004,1,1,-0.08935002957177063,0
PSU,108,Human_Single,Final-Exam-1,1,9,1,0.4569910768765143,1,0,NaN,NaN,1,0.2749999999999999,1,1,-0.03700493482379685,0
