site_id,response_generator_id,data_type,exam_id,task_number,trial_number,trial_time,num_blue_locations,red_capability_Pc,red_vulnerability_P_1,red_opportunity_U_1,red_activity_detected_1,red_tactics_probs_time,red_tactics_probs_tactic_1,red_tactics_probs_tactic_2,red_tactics_probs_normative_tactic_1,red_tactics_probs_normative_tactic_2,red_tactics_batch_plot_trials_reviewed,red_tactics_batch_plot_trials_total,red_tactics_actual_red_tactic,bluebook_P-Sensitive_prob_1,bluebook_U-Sensitive_prob_1,probs_Pp_time,probs_Pp_1,probs_Pp_2,probs_Pp_normative_1,probs_Pp_normative_2,probs_Pp_normative_inc_1,probs_Pp_normative_inc_2,blue_action_time,blue_action_1,blue_action_expected_utility,blue_action_normative_participant_1,blue_action_normative_participant_expected_utility,blue_action_normative_bayesian_1,blue_action_normative_bayesian_expected_utility
PSU,103,Human_Single,Final-Exam-1,5,13,33992.0,1,0.7,0.299902868,3,0,10202.0,0.4,0.6,0.9192938209331653,0.08070617906683474,0,0,P-Sensitive,0.4,0.2,20546.0,0.25,0.75,0.38385876418663306,0.6161412358133669,0.38385876418663306,0.6161412358133669,2293.0,Do_Not_Divert,-0.300145698,Do_Not_Divert,-0.300145698,Do_Not_Divert,-0.46085422684085753
PSU,103,Human_Single,Final-Exam-1,5,14,15866.0,1,0.9,0.135517367,2,0,3807.0,0.4,0.6,0.8952108063855916,0.10478919361440844,0,0,P-Sensitive,0.6,0.2,7394.0,0.25,0.75,0.5580843225542366,0.44191567744576343,0.5580843225542366,0.44191567744576343,3760.0,Do_Not_Divert,-0.364482633,Do_Not_Divert,-0.364482633,Divert,-0.44191567744576343
PSU,103,Human_Single,Final-Exam-1,5,15,14898.0,1,1.0,0.20439163,3,1,2199.0,0.4,0.6,0.8103001111522788,0.18969988884772118,0,0,P-Sensitive,0.6,0.2,7878.0,0.4,0.6,0.5241200444609115,0.47587995553908846,0.5241200444609115,0.47587995553908846,2964.0,Do_Not_Divert,-0.709460088,Divert,-0.6,Divert,-0.47587995553908846
PSU,103,Human_Single,Final-Exam-1,5,16,22386.0,1,0.4,0.313338041,3,1,2948.0,0.4,0.6,0.9276120458080024,0.0723879541919977,0,0,P-Sensitive,0.4,0.2,14025.0,0.3,0.7,0.3855224091616005,0.6144775908383995,0.3855224091616005,0.6144775908383995,4539.0,Do_Not_Divert,-0.33599152619999995,Do_Not_Divert,-0.33599152619999995,Do_Not_Divert,-0.4317742087950233
PSU,103,Human_Single,Final-Exam-1,5,17,21372.0,1,0.7,0.07385908,5,1,5819.0,0.35,0.65,0.9057567530256316,0.09424324697436837,0,0,P-Sensitive,0.6,0.8,12417.0,0.75,0.25,0.6188486493948737,0.3811513506051263,0.6188486493948737,0.3811513506051263,2231.0,Divert,-0.25,Divert,-0.25,Divert,-0.3811513506051263
PSU,103,Human_Single,Final-Exam-1,5,18,11871.0,1,0.4,0.120871362,3,0,2527.0,0.35,0.65,0.8781695691616722,0.12183043083832781,0,0,P-Sensitive,0.6,0.2,5632.0,0.3,0.7,0.5512678276646689,0.44873217233533114,0.5512678276646689,0.44873217233533114,2964.0,Do_Not_Divert,-0.6824315484,Do_Not_Divert,-0.6824315484,Divert,-0.44873217233533114
PSU,103,Human_Single,Final-Exam-1,5,19,17925.0,1,0.7,0.084735652,5,0,2434.0,0.35,0.65,0.7828006310235573,0.21719936897644265,0,0,P-Sensitive,0.6,0.8,12355.0,0.75,0.25,0.6434398737952884,0.35656012620471156,0.6434398737952884,0.35656012620471156,2340.0,Divert,-0.25,Divert,-0.25,Divert,-0.35656012620471156
PSU,103,Human_Single,Final-Exam-1,5,20,58016.0,1,0.9,0.257999449,5,0,42993.0,0.5,0.5,0.8781695691616721,0.12183043083832786,19,19,P-Sensitive,0.4,0.8,7754.0,0.6,0.4,0.44873217233533114,0.5512678276646689,0.44873217233533114,0.5512678276646689,4836.0,Do_Not_Divert,-1.4520033060000002,Divert,-0.4,Divert,-0.5512678276646689
PSU,103,Human_Single,Final-Exam-1,5,21,36660.0,1,0.4,0.213587953,2,0,4992.0,0.5,0.5,0.7828006310235572,0.2171993689764428,0,0,P-Sensitive,0.6,0.2,26567.0,0.4,0.6,0.5131202524094228,0.48687974759057717,0.5131202524094228,0.48687974759057717,4275.0,Do_Not_Divert,-0.45825927520000004,Do_Not_Divert,-0.45825927520000004,Divert,-0.48687974759057717
PSU,103,Human_Single,Final-Exam-1,5,22,17613.0,1,0.7,0.360724109,2,1,3900.0,0.5,0.5,0.6431161985253274,0.3568838014746725,0,0,P-Sensitive,0.4,0.2,10874.0,0.3,0.7,0.32862323970506546,0.6713767602949345,0.32862323970506546,0.6713767602949345,2012.0,Do_Not_Divert,-0.16713106919999998,Do_Not_Divert,-0.16713106919999998,Do_Not_Divert,-0.18307717805291826
PSU,103,Human_Single,Final-Exam-1,5,23,18969.0,1,0.9,0.340691838,2,0,2059.0,0.5,0.5,0.5747439320742718,0.4252560679257282,0,0,P-Sensitive,0.4,0.2,9204.0,0.3,0.7,0.31494878641485446,0.6850512135851455,0.31494878641485446,0.6850512135851455,5850.0,Do_Not_Divert,-0.19116979439999995,Do_Not_Divert,-0.19116979439999995,Do_Not_Divert,-0.2006956491515241
PSU,103,Human_Single,Final-Exam-1,5,24,41809.0,1,0.4,0.395770474,4,0,5679.0,0.5,0.5,0.7299522422254546,0.2700477577745455,0,0,P-Sensitive,0.4,0.8,31902.0,0.6,0.4,0.5080191031098182,0.49198089689018176,0.5080191031098182,0.49198089689018176,3401.0,Do_Not_Divert,-0.5003017248,Divert,-0.4,Do_Not_Divert,-0.4236047225286519
PSU,103,Human_Single,Final-Exam-1,5,25,18595.0,1,0.7,0.067379657,2,0,2137.0,0.5,0.5,0.8902202262398717,0.10977977376012826,0,0,U-Sensitive,0.6,0.2,12043.0,0.35,0.65,0.5560880904959487,0.44391190950405135,0.5560880904959487,0.44391190950405135,2636.0,Do_Not_Divert,-0.6056684802,Do_Not_Divert,-0.6056684802,Divert,-0.44391190950405135
PSU,103,Human_Single,Final-Exam-1,5,26,41215.0,1,0.4,0.492382841,2,0,6099.0,0.6,0.4,0.9605171282620993,0.03948287173790069,0,0,U-Sensitive,0.4,0.2,28611.0,0.35,0.65,0.3921034256524199,0.6078965743475802,0.3921034256524199,0.6078965743475802,5475.0,Do_Not_Divert,-0.010664022599999977,Do_Not_Divert,-0.010664022599999977,Do_Not_Divert,-0.01194685655055662
