site_id,response_generator_id,data_type,exam_id,task_number,trial_number,trial_time,num_blue_locations,red_capability_Pc,red_vulnerability_P_1,red_opportunity_U_1,red_activity_detected_1,red_tactics_probs_time,red_tactics_probs_tactic_1,red_tactics_probs_tactic_2,red_tactics_batch_plot_trials_reviewed,red_tactics_batch_plot_trials_total,red_tactics_actual_red_tactic,bluebook_P-Sensitive_prob_1,bluebook_U-Sensitive_prob_1,probs_Pp_time,probs_Pp_1,probs_Pp_normative_1,blue_action_time,blue_action_1,blue_action_expected_utility,blue_action_normative_participant_1,blue_action_normative_participant_expected_utility,blue_action_normative_bayesian_1,blue_action_normative_bayesian_expected_utility
PSU,021,Human_Single,Sample-Exam-2,5,19,13042.0,1,0.4,0.5406303245778592,2,0,3526.0,31.0,69.0,0,18,U-Sensitive,0.4,0.2,5491.0,0.25,0.30785169833924314,1700.0,Do_Not_Divert,0.0406303245778592,Do_Not_Divert,0.0406303245778592,Do_Not_Divert,0.05003245770147459
PSU,021,Human_Single,Sample-Exam-2,5,20,13634.0,1,0.7,0.5331279305207988,2,0,1965.0,35.0,65.0,0,19,U-Sensitive,0.4,0.2,7410.0,0.24,0.3004328847107362,2184.0,Do_Not_Divert,0.031802813299966814,Do_Not_Divert,0.031802813299966814,Do_Not_Divert,0.03981087892344166
PSU,021,Human_Single,Sample-Exam-2,5,21,14742.0,1,0.4,0.4187358626187436,4,1,5913.0,45.0,55.0,0,20,U-Sensitive,0.4,0.8,5818.0,0.65,0.5616701509435701,1326.0,Divert,-0.35,Divert,-0.35,Do_Not_Divert,-0.3651491224738343
PSU,021,Human_Single,Sample-Exam-2,5,22,212519.0,1,0.4,0.024153519977379245,2,1,199135.0,42.0,58.0,21,21,U-Sensitive,0.6,0.2,9921.0,0.29,0.44701190899741206,1233.0,Divert,-0.71,Do_Not_Divert,-0.55198191682624,Divert,-0.552988091002588
PSU,021,Human_Single,Sample-Exam-2,5,23,25522.0,1,0.7,0.4565132762271018,4,0,5897.0,38.0,62.0,0,22,U-Sensitive,0.4,0.8,15195.0,0.65,0.5654696796587653,3104.0,Divert,-0.35,Do_Not_Divert,-0.22613096361907062,Do_Not_Divert,-0.19672339009015963
PSU,021,Human_Single,Sample-Exam-2,5,24,16926.0,1,0.4,0.1338524466475317,2,0,2668.0,34.0,66.0,0,23,U-Sensitive,0.6,0.2,11122.0,0.29,0.4427843610317199,2044.0,Divert,-0.71,Do_Not_Divert,-0.4247311618888632,Divert,-0.5572156389682801
PSU,021,Human_Single,Sample-Exam-2,5,25,15085.0,1,0.7,0.2838746088141805,5,0,1544.0,34.0,66.0,0,24,U-Sensitive,0.4,0.8,11373.0,0.7,0.5685640604325018,1420.0,Divert,-0.30000000000000004,Divert,-0.30000000000000004,Divert,-0.43143593956749815
PSU,021,Human_Single,Sample-Exam-2,5,26,16240.0,1,0.4,0.03420144334578612,2,0,3058.0,31.0,69.0,0,25,U-Sensitive,0.6,0.2,9750.0,0.23,0.4392628440379779,1232.0,Do_Not_Divert,-0.4285346721218768,Do_Not_Divert,-0.4285346721218768,Divert,-0.5607371559620221
PSU,021,Human_Single,Sample-Exam-2,5,27,27128.0,1,0.7,0.16372686269985226,3,1,2028.0,31.0,69.0,0,26,U-Sensitive,0.6,0.2,21544.0,0.34,0.42886351618796825,1731.0,Divert,-0.6599999999999999,Divert,-0.6599999999999999,Divert,-0.5711364838120317
PSU,021,Human_Single,Sample-Exam-2,5,28,21435.0,1,0.4,0.17171667236987354,2,0,5663.0,40.0,60.0,0,27,U-Sensitive,0.6,0.2,9688.0,0.27,0.45806426895304425,3728.0,Divert,-0.73,Do_Not_Divert,-0.3545459938405366,Divert,-0.5419357310469557
