site_id,response_generator_id,data_type,exam_id,task_number,trial_number,trial_time,num_blue_locations,red_capability_Pc,red_vulnerability_P_1,red_opportunity_U_1,red_activity_detected_1,red_tactics_probs_time,red_tactics_probs_tactic_1,red_tactics_probs_tactic_2,red_tactics_batch_plot_trials_reviewed,red_tactics_batch_plot_trials_total,red_tactics_actual_red_tactic,bluebook_Passive_prob_1,bluebook_Aggressive_prob_1,probs_Pp_time,probs_Pp_1,probs_Pp_normative_1,blue_action_time,blue_action_1,blue_action_expected_utility,blue_action_normative_participant_1,blue_action_normative_participant_expected_utility,blue_action_normative_bayesian_1,blue_action_normative_bayesian_expected_utility
PSU,021,Human_Single,Sample-Exam-2,4,17,20560.0,1,0.7,0.10640265289148432,4,0,4804.0,35.0,65.0,0,16,Aggressive,0.5,0.8,8393.0,0.64,0.7627746827568872,4992.0,Divert,-0.36,Divert,-0.36,Divert,-0.2372253172431128
PSU,021,Human_Single,Sample-Exam-2,4,18,24570.0,1,0.4,0.5744615624367897,5,1,4400.0,36.0,64.0,0,17,Aggressive,0.3,0.6,10062.0,0.36,0.5746187790904876,6458.0,Do_Not_Divert,0.2680616247724429,Do_Not_Divert,0.2680616247724429,Do_Not_Divert,0.4278701209659821
PSU,021,Human_Single,Sample-Exam-2,4,19,38642.0,1,0.4,0.4925210262708236,4,0,3760.0,35.0,65.0,0,18,Aggressive,0.3,0.6,26832.0,0.38,0.5866382511488566,5850.0,Do_Not_Divert,-0.022736080136696212,Do_Not_Divert,-0.022736080136696212,Do_Not_Divert,-0.035099616550978215
PSU,021,Human_Single,Sample-Exam-2,4,20,19640.0,1,0.4,0.4836910745949127,5,1,3603.0,39.0,61.0,0,19,Aggressive,0.3,0.6,5928.0,0.4,0.5931042318972745,8237.0,Do_Not_Divert,-0.0652357016203493,Do_Not_Divert,-0.0652357016203493,Do_Not_Divert,-0.09672892675454264
PSU,021,Human_Single,Sample-Exam-2,4,21,14056.0,1,0.4,0.542624242749763,4,0,4836.0,29.0,71.0,0,20,Passive,0.3,0.6,5023.0,0.45,0.5964784834237562,2590.0,Do_Not_Divert,0.15344727389914664,Do_Not_Divert,0.15344727389914664,Do_Not_Divert,0.20339554937971713
PSU,021,Human_Single,Sample-Exam-2,4,22,13572.0,1,0.7,0.09344175660336107,5,1,1887.0,29.0,71.0,0,21,Passive,0.5,0.8,8643.0,0.65,0.7939106878314803,1544.0,Divert,-0.35,Divert,-0.35,Divert,-0.20608931216851967
PSU,021,Human_Single,Sample-Exam-2,4,23,49514.0,1,0.9,0.11838515321658394,4,1,3401.0,33.0,67.0,0,22,Passive,0.5,0.8,42728.0,0.68,0.7865919203815005,2137.0,Divert,-0.31999999999999995,Divert,-0.31999999999999995,Divert,-0.2134080796184995
PSU,021,Human_Single,Sample-Exam-2,4,24,21013.0,1,0.4,0.11931036298557418,3,0,3276.0,31.0,69.0,0,23,Passive,0.4,0.7,12262.0,0.63,0.6911117931085949,3884.0,Do_Not_Divert,-1.4390068279145294,Divert,-0.37,Divert,-0.30888820689140506
PSU,021,Human_Single,Sample-Exam-2,4,25,14165.0,1,0.4,0.17827541926157486,3,0,3401.0,28.0,72.0,0,24,Passive,0.4,0.7,7161.0,0.7,0.6948381120361266,2402.0,Divert,-0.30000000000000004,Divert,-0.30000000000000004,Divert,-0.30516188796387345
PSU,021,Human_Single,Sample-Exam-2,4,26,17878.0,1,0.7,0.14674770373450285,2,0,2902.0,26.0,74.0,0,25,Passive,0.4,0.7,11029.0,0.7,0.6899112937456415,2013.0,Divert,-0.30000000000000004,Divert,-0.30000000000000004,Divert,-0.31008870625435847
PSU,021,Human_Single,Sample-Exam-2,4,27,14820.0,1,0.9,0.29071651885557737,2,0,1654.0,26.0,74.0,0,26,Passive,0.2,0.5,9016.0,0.28,0.48058517797043454,2980.0,Do_Not_Divert,-0.23439749888175337,Do_Not_Divert,-0.23439749888175337,Do_Not_Divert,-0.4023141561282577
PSU,021,Human_Single,Sample-Exam-2,4,28,13541.0,1,1.0,0.5386277139695655,4,0,3354.0,33.0,67.0,0,27,Passive,0.3,0.6,5897.0,0.39,0.5712394620977558,2855.0,Do_Not_Divert,0.12051846758504452,Do_Not_Divert,0.12051846758504452,Do_Not_Divert,0.17652539640032472
PSU,021,Human_Single,Sample-Exam-2,4,29,65333.0,1,1.0,0.19462719744389978,3,0,56441.0,66.0,34.0,28,28,Passive,0.4,0.7,4103.0,0.46,0.653206932315172,4009.0,Do_Not_Divert,-0.8428289350548367,Divert,-0.54,Divert,-0.346793067684828
PSU,021,Human_Single,Sample-Exam-2,4,30,11169.0,1,1.0,0.09071799827850224,5,0,2184.0,74.0,26.0,0,29,Passive,0.5,0.8,5881.0,0.55,0.719447622776032,1841.0,Divert,-0.44999999999999996,Divert,-0.44999999999999996,Divert,-0.280552377223968
PSU,022,Human_Single,Sample-Exam-2,4,1,56690.0,1,1.0,0.07545171380980342,3,1,NaN,NaN,NaN,NaN,0,Aggressive,0.4,0.7,37798.0,0.7,0.55,13292.0,Divert,-0.30000000000000004,Divert,-0.30000000000000004,Divert,-0.44999999999999996
PSU,022,Human_Single,Sample-Exam-2,4,2,74069.0,1,1.0,0.1565460732454368,4,1,53243.0,80.0,20.0,0,1,Aggressive,0.5,0.8,12589.0,0.5,0.6000000000000001,5991.0,Divert,-0.5,Divert,-0.5,Divert,-0.3999999999999999
PSU,022,Human_Single,Sample-Exam-2,4,3,36488.0,1,0.4,0.3948022410103358,4,0,11528.0,80.0,20.0,0,2,Aggressive,0.3,0.6,16115.0,0.3,0.4293103448275862,5819.0,Divert,-0.7,Do_Not_Divert,-0.2524746215751941,Do_Not_Divert,-0.3612998894955364
PSU,022,Human_Single,Sample-Exam-2,4,4,24492.0,1,0.4,0.2714142844945405,5,0,3994.0,80.0,20.0,0,3,Aggressive,0.3,0.6,8455.0,0.3,0.4814814814814815,8440.0,Divert,-0.7,Do_Not_Divert,-0.6857571465163784,Divert,-0.5185185185185185
PSU,022,Human_Single,Sample-Exam-2,4,5,36567.0,1,0.7,0.3756224215885887,4,1,18502.0,80.0,20.0,0,4,Aggressive,0.3,0.6,9953.0,0.3,0.44009347069659555,5257.0,Divert,-0.7,Do_Not_Divert,-0.29850618818738706,Do_Not_Divert,-0.43790208127932756
PSU,022,Human_Single,Sample-Exam-2,4,6,19438.0,1,0.4,0.09262548691804384,5,0,2590.0,80.0,20.0,0,5,Aggressive,0.5,0.8,9703.0,0.5,0.6904745949033,5148.0,Divert,-0.5,Divert,-0.5,Divert,-0.3095254050967
PSU,022,Human_Single,Sample-Exam-2,4,7,17815.0,1,0.4,0.053420198799137286,5,0,1840.0,80.0,20.0,0,6,Aggressive,0.5,0.8,8752.0,0.5,0.7180939774852809,2184.0,Divert,-0.5,Divert,-0.5,Divert,-0.2819060225147191
PSU,022,Human_Single,Sample-Exam-2,4,8,27815.0,1,0.7,0.08277273307458533,4,1,11107.0,80.0,20.0,0,7,Aggressive,0.5,0.8,12246.0,0.5,0.661901550910317,3026.0,Divert,-0.5,Divert,-0.5,Divert,-0.338098449089683
PSU,022,Human_Single,Sample-Exam-2,4,9,17331.0,1,0.4,0.2464048563937722,3,1,1950.0,80.0,20.0,0,8,Aggressive,0.4,0.7,7722.0,0.4,0.5929240625396189,2823.0,Do_Not_Divert,-0.6086283446549468,Divert,-0.6,Divert,-0.40707593746038107
PSU,022,Human_Single,Sample-Exam-2,4,10,14789.0,1,0.4,0.3771191310070535,3,1,1482.0,80.0,20.0,0,9,Aggressive,0.2,0.5,4712.0,0.2,0.427919278284345,4352.0,Divert,-0.8,Do_Not_Divert,-0.1474570427915358,Do_Not_Divert,-0.31549855664648885
PSU,022,Human_Single,Sample-Exam-2,4,11,101478.0,1,0.4,0.07766796912647744,3,0,84833.0,40.0,60.0,10,10,Aggressive,0.4,0.7,11170.0,0.7,0.663062165700902,3962.0,Divert,-0.30000000000000004,Divert,-0.30000000000000004,Divert,-0.33693783429909796
PSU,022,Human_Single,Sample-Exam-2,4,12,12933.0,1,0.4,0.03954677830989195,4,0,2325.0,40.0,60.0,0,11,Aggressive,0.5,0.8,4820.0,0.8,0.7776858516535085,4945.0,Divert,-0.19999999999999996,Divert,-0.19999999999999996,Divert,-0.22231414834649155
PSU,022,Human_Single,Sample-Exam-2,4,13,13244.0,1,0.4,0.34393801160644377,3,0,1653.0,40.0,60.0,0,12,Aggressive,0.2,0.5,7972.0,0.5,0.4851794027993705,2278.0,Divert,-0.5,Do_Not_Divert,-0.4681859651806687,Do_Not_Divert,-0.4543083739708074
PSU,022,Human_Single,Sample-Exam-2,4,14,22589.0,1,0.7,0.3186642027383195,5,0,1139.0,40.0,60.0,0,13,Aggressive,0.3,0.6,16520.0,0.6,0.5775705852636723,3651.0,Divert,-0.4,Divert,-0.4,Divert,-0.42242941473632767
PSU,022,Human_Single,Sample-Exam-2,4,15,17035.0,1,0.9,0.17109522686121537,3,0,5725.0,40.0,60.0,0,14,Aggressive,0.4,0.7,6755.0,0.7,0.6628310162319578,3089.0,Divert,-0.30000000000000004,Divert,-0.30000000000000004,Divert,-0.33716898376804216
PSU,022,Human_Single,Sample-Exam-2,4,16,12792.0,1,0.4,0.27206971664978385,4,0,1669.0,40.0,60.0,0,15,Aggressive,0.3,0.6,4774.0,0.6,0.5774982812287396,5148.0,Divert,-0.4,Divert,-0.4,Divert,-0.4225017187712604
PSU,022,Human_Single,Sample-Exam-2,4,17,9111.0,1,0.7,0.10640265289148432,4,0,531.0,40.0,60.0,0,16,Aggressive,0.5,0.8,5584.0,0.8,0.7627746827568872,1997.0,Divert,-0.19999999999999996,Divert,-0.19999999999999996,Divert,-0.2372253172431128
PSU,022,Human_Single,Sample-Exam-2,4,18,16629.0,1,0.4,0.5744615624367897,5,1,3166.0,40.0,60.0,0,17,Aggressive,0.3,0.6,8970.0,0.6,0.5746187790904876,3417.0,Divert,-0.4,Do_Not_Divert,0.4467693746207382,Do_Not_Divert,0.4278701209659821
PSU,022,Human_Single,Sample-Exam-2,4,19,18533.0,1,0.4,0.4925210262708236,4,0,546.0,40.0,60.0,0,18,Aggressive,0.3,0.6,8580.0,0.6,0.5866382511488566,8424.0,Do_Not_Divert,-0.03589907390004665,Do_Not_Divert,-0.03589907390004665,Do_Not_Divert,-0.035099616550978215
PSU,022,Human_Single,Sample-Exam-2,4,20,23431.0,1,0.4,0.4836910745949127,5,1,4165.0,40.0,60.0,0,19,Aggressive,0.3,0.6,12324.0,0.6,0.5931042318972745,5819.0,Divert,-0.4,Do_Not_Divert,-0.09785355243052396,Do_Not_Divert,-0.09672892675454264
PSU,022,Human_Single,Sample-Exam-2,4,21,21622.0,1,0.4,0.542624242749763,4,0,6053.0,40.0,60.0,0,20,Passive,0.3,0.6,8175.0,0.6,0.5964784834237562,3868.0,Divert,-0.4,Do_Not_Divert,0.20459636519886218,Do_Not_Divert,0.20339554937971713
PSU,022,Human_Single,Sample-Exam-2,4,22,51168.0,1,0.7,0.09344175660336107,5,1,38126.0,40.0,60.0,20,21,Passive,0.5,0.8,6740.0,0.8,0.7939106878314803,2293.0,Divert,-0.19999999999999996,Divert,-0.19999999999999996,Divert,-0.20608931216851967
PSU,022,Human_Single,Sample-Exam-2,4,23,20779.0,1,0.9,0.11838515321658394,4,1,6724.0,40.0,60.0,0,22,Passive,0.5,0.8,6786.0,0.8,0.7865919203815005,6365.0,Divert,-0.19999999999999996,Divert,-0.19999999999999996,Divert,-0.2134080796184995
PSU,022,Human_Single,Sample-Exam-2,4,24,12948.0,1,0.4,0.11931036298557418,3,0,1030.0,40.0,60.0,0,23,Passive,0.4,0.7,6224.0,0.7,0.6911117931085949,4836.0,Divert,-0.30000000000000004,Divert,-0.30000000000000004,Divert,-0.30888820689140506
PSU,022,Human_Single,Sample-Exam-2,4,25,15881.0,1,0.4,0.17827541926157486,3,0,2060.0,40.0,60.0,0,24,Passive,0.4,0.7,4461.0,0.7,0.6948381120361266,5741.0,Divert,-0.30000000000000004,Divert,-0.30000000000000004,Divert,-0.30516188796387345
PSU,022,Human_Single,Sample-Exam-2,4,26,12870.0,1,0.7,0.14674770373450285,2,0,4087.0,40.0,60.0,0,25,Passive,0.4,0.7,5336.0,0.7,0.6899112937456415,2246.0,Divert,-0.30000000000000004,Divert,-0.30000000000000004,Divert,-0.31008870625435847
PSU,022,Human_Single,Sample-Exam-2,4,27,18627.0,1,0.9,0.29071651885557737,2,0,1779.0,40.0,60.0,0,26,Passive,0.2,0.5,4898.0,0.5,0.48058517797043454,10795.0,Divert,-0.5,Do_Not_Divert,-0.41856696228884527,Do_Not_Divert,-0.4023141561282577
PSU,022,Human_Single,Sample-Exam-2,4,28,11060.0,1,1.0,0.5386277139695655,4,0,639.0,40.0,60.0,0,27,Passive,0.3,0.6,4774.0,0.6,0.5712394620977558,3479.0,Divert,-0.4,Do_Not_Divert,0.18541302705391463,Do_Not_Divert,0.17652539640032472
PSU,022,Human_Single,Sample-Exam-2,4,29,33634.0,1,1.0,0.19462719744389978,3,0,22729.0,60.0,40.0,0,28,Passive,0.4,0.7,5601.0,0.4,0.653206932315172,4337.0,Divert,-0.6,Divert,-0.6,Divert,-0.346793067684828
PSU,022,Human_Single,Sample-Exam-2,4,30,12589.0,1,1.0,0.09071799827850224,5,0,2106.0,60.0,40.0,0,29,Passive,0.5,0.8,7316.0,0.5,0.719447622776032,2091.0,Divert,-0.5,Divert,-0.5,Divert,-0.280552377223968
PSU,023,Human_Single,Sample-Exam-2,4,1,47268.0,1,1.0,0.07545171380980342,3,1,NaN,NaN,NaN,NaN,0,Aggressive,0.4,0.7,30670.0,0.55,0.55,11045.0,Divert,-0.44999999999999996,Divert,-0.44999999999999996,Divert,-0.44999999999999996
PSU,023,Human_Single,Sample-Exam-2,4,2,42510.0,1,1.0,0.1565460732454368,4,1,20312.0,75.0,25.0,0,1,Aggressive,0.5,0.8,14648.0,0.5,0.6000000000000001,3744.0,Do_Not_Divert,-1.3738157070182528,Divert,-0.5,Divert,-0.3999999999999999
PSU,023,Human_Single,Sample-Exam-2,4,3,28159.0,1,0.4,0.3948022410103358,4,0,6646.0,50.0,50.0,0,2,Aggressive,0.3,0.6,14337.0,0.45,0.4293103448275862,4602.0,Divert,-0.55,Do_Not_Divert,-0.37871193236279116,Do_Not_Divert,-0.3612998894955364
PSU,023,Human_Single,Sample-Exam-2,4,4,71042.0,1,0.4,0.2714142844945405,5,0,5772.0,40.0,60.0,0,3,Aggressive,0.3,0.6,59888.0,0.6,0.4814814814814815,2746.0,Divert,-0.4,Divert,-0.4,Divert,-0.5185185185185185
PSU,023,Human_Single,Sample-Exam-2,4,5,32152.0,1,0.7,0.3756224215885887,4,1,6224.0,50.0,50.0,0,4,Aggressive,0.3,0.6,20327.0,0.4,0.44009347069659555,2044.0,Do_Not_Divert,-0.39800825091651615,Do_Not_Divert,-0.39800825091651615,Do_Not_Divert,-0.43790208127932756
PSU,023,Human_Single,Sample-Exam-2,4,6,105862.0,1,0.4,0.09262548691804384,5,0,78717.0,50.0,50.0,5,5,Aggressive,0.5,0.8,22106.0,0.75,0.6904745949033,3307.0,Divert,-0.25,Divert,-0.25,Divert,-0.3095254050967
PSU,023,Human_Single,Sample-Exam-2,4,7,19156.0,1,0.4,0.053420198799137286,5,0,5163.0,25.0,75.0,0,6,Aggressive,0.5,0.8,8955.0,0.8,0.7180939774852809,1903.0,Divert,-0.19999999999999996,Divert,-0.19999999999999996,Divert,-0.2819060225147191
PSU,023,Human_Single,Sample-Exam-2,4,8,26208.0,1,0.7,0.08277273307458533,4,1,5445.0,40.0,60.0,0,7,Aggressive,0.5,0.8,11544.0,0.6,0.661901550910317,7691.0,Divert,-0.4,Divert,-0.4,Divert,-0.338098449089683
PSU,023,Human_Single,Sample-Exam-2,4,9,52884.0,1,0.4,0.2464048563937722,3,1,4649.0,40.0,60.0,0,8,Aggressive,0.4,0.7,43914.0,0.71,0.5929240625396189,2465.0,Divert,-0.29000000000000004,Divert,-0.29000000000000004,Divert,-0.40707593746038107
PSU,023,Human_Single,Sample-Exam-2,4,10,29126.0,1,0.4,0.3771191310070535,3,1,6069.0,25.0,75.0,0,9,Aggressive,0.2,0.5,12480.0,0.5,0.427919278284345,2480.0,Do_Not_Divert,-0.36864260697883944,Do_Not_Divert,-0.36864260697883944,Do_Not_Divert,-0.31549855664648885
PSU,023,Human_Single,Sample-Exam-2,4,11,17175.0,1,0.4,0.07766796912647744,3,0,2371.0,25.0,75.0,0,10,Aggressive,0.4,0.7,10577.0,0.7,0.663062165700902,2543.0,Divert,-0.30000000000000004,Divert,-0.30000000000000004,Divert,-0.33693783429909796
PSU,023,Human_Single,Sample-Exam-2,4,12,16989.0,1,0.4,0.03954677830989195,4,0,4790.0,15.0,85.0,0,11,Aggressive,0.5,0.8,9048.0,0.8,0.7776858516535085,1887.0,Divert,-0.19999999999999996,Divert,-0.19999999999999996,Divert,-0.22231414834649155
PSU,023,Human_Single,Sample-Exam-2,4,13,25787.0,1,0.4,0.34393801160644377,3,0,3104.0,10.0,90.0,0,12,Aggressive,0.2,0.5,13135.0,0.5,0.4851794027993705,6084.0,Divert,-0.5,Do_Not_Divert,-0.4681859651806687,Do_Not_Divert,-0.4543083739708074
PSU,023,Human_Single,Sample-Exam-2,4,14,25537.0,1,0.7,0.3186642027383195,5,0,3681.0,10.0,90.0,0,13,Aggressive,0.3,0.6,15600.0,0.6,0.5775705852636723,3432.0,Divert,-0.4,Divert,-0.4,Divert,-0.42242941473632767
PSU,023,Human_Single,Sample-Exam-2,4,15,21575.0,1,0.9,0.17109522686121537,3,0,5148.0,25.0,75.0,0,14,Aggressive,0.4,0.7,12449.0,0.7,0.6628310162319578,2792.0,Divert,-0.30000000000000004,Divert,-0.30000000000000004,Divert,-0.33716898376804216
