site_id,response_generator_id,data_type,exam_id,task_number,trial_number,trial_time,num_blue_locations,red_capability_Pc,red_vulnerability_P_1,red_opportunity_U_1,red_activity_detected_1,bluebook_Netural_prob_1,probs_Pp_time,probs_Pp_1,probs_Pp_normative_1,probs_Ppc_time,probs_Ppc_1,probs_Ppc_normative_1,probs_Pt_time,probs_Pt_1,probs_Pt_normative_1,probs_Ptpc_time,probs_Ptpc_1,probs_Ptpc_normative_1,blue_action_time,blue_action_1,blue_action_expected_utility,blue_action_normative_participant_1,blue_action_normative_participant_expected_utility,blue_action_normative_bayesian_1,blue_action_normative_bayesian_expected_utility
PSU,021,Human_Single,Sample-Exam-2,1,1,210413.0,1,1.0,0.1984837238283187,5,0,0.8,26411.0,0.8,0.8,11185.0,0.8,0.8,28049.0,0.4,0.3333333333333333,101119.0,0.4,0.6666666666666665,NaN,Do_Not_Divert,-1.2060651046867255,Divert,-0.6,Divert,-0.3333333333333335
PSU,021,Human_Single,Sample-Exam-2,1,2,127608.0,1,0.4,0.26680970529200376,5,0,0.4,16037.0,0.4,0.4,46582.0,0.16,0.16000000000000003,19578.0,0.1,0.3333333333333333,11294.0,0.1,0.08695652173913045,NaN,Do_Not_Divert,-0.23319029470799624,Do_Not_Divert,-0.23319029470799624,Do_Not_Divert,-0.2027741693113011
PSU,021,Human_Single,Sample-Exam-2,1,3,87985.0,1,0.7,0.23524518515622073,2,0,0.6,5413.0,0.6,0.6,25818.0,0.41,0.42,10998.0,0.4,0.3333333333333333,27674.0,0.2,0.2658227848101265,NaN,Divert,-0.8,Do_Not_Divert,-0.21180385187502343,Do_Not_Divert,-0.2815114486946513
PSU,021,Human_Single,Sample-Exam-2,1,4,117390.0,1,0.4,0.19728054725722843,2,0,0.6,6224.0,0.6,0.6,12527.0,0.24,0.24,53789.0,0.4,0.3333333333333333,25616.0,0.09,0.13636363636363635,NaN,Do_Not_Divert,-0.10897900298739777,Do_Not_Divert,-0.10897900298739777,Do_Not_Divert,-0.1651197014960572
PSU,021,Human_Single,Sample-Exam-2,1,5,71198.0,1,0.4,0.23191125567221105,3,0,0.6,9890.0,0.6,0.6,19422.0,0.24,0.24,23603.0,0.4,0.3333333333333333,5928.0,0.09,0.13636363636363635,NaN,Do_Not_Divert,-0.14476792193700602,Do_Not_Divert,-0.14476792193700602,Do_Not_Divert,-0.21934533626819094
PSU,021,Human_Single,Sample-Exam-2,1,6,119450.0,1,0.7,0.35108270181177026,5,1,0.4,3993.0,0.4,0.4,10780.0,0.28,0.27999999999999997,5210.0,0.6,0.7499999999999999,74600.0,0.2,0.5384615384615383,NaN,Divert,-0.8,Do_Not_Divert,-0.2978345963764595,Divert,-0.4615384615384617
PSU,021,Human_Single,Sample-Exam-2,1,7,81759.0,1,0.4,0.33262288297516973,3,0,0.2,3308.0,0.2,0.2,17550.0,0.32,0.08000000000000002,30530.0,0.4,0.3333333333333333,16083.0,0.3,0.04166666666666666,NaN,Do_Not_Divert,-0.3012788106446945,Do_Not_Divert,-0.3012788106446945,Do_Not_Divert,-0.04184427925620756
PSU,021,Human_Single,Sample-Exam-2,1,8,70731.0,1,0.7,0.4383632554044493,4,1,0.4,7145.0,0.4,0.4,21278.0,0.28,0.27999999999999997,3916.0,0.6,0.7499999999999999,23166.0,0.51,0.5384615384615383,NaN,Do_Not_Divert,-0.2514779179498468,Do_Not_Divert,-0.2514779179498468,Do_Not_Divert,-0.26551213056544903
PSU,021,Human_Single,Sample-Exam-2,1,9,130213.0,1,0.9,0.35215253250074463,4,0,0.4,3994.0,0.4,0.4,10125.0,0.36,0.36000000000000004,5195.0,0.4,0.3333333333333333,98919.0,0.13,0.21951219512195125,NaN,Do_Not_Divert,-0.1537613661992256,Do_Not_Divert,-0.1537613661992256,Do_Not_Divert,-0.2596345770718631
PSU,021,Human_Single,Sample-Exam-2,1,10,31965.0,1,1.0,0.48400076703313355,3,0,0.2,3073.0,0.2,0.2,3728.0,0.2,0.2,8268.0,0.4,0.3333333333333333,8378.0,0.08,0.11111111111111109,NaN,Do_Not_Divert,-0.007679631824095896,Do_Not_Divert,-0.007679631824095896,Do_Not_Divert,-0.010666155311244298
