1,1,6,1,0.07,0.3,0.03,0.6
1,2,4,3,0.4,0.1,0.35,0.15
1,3,1,4,0.3,0.15,0.05,0.5
1,4,2,1,0.7,0.1,0.15,0.05
1,5,1,4,0.32,0.02,0.01,0.65
2,1,6,1,0,0.3,0,0.7
2,2,3,3,0.5,0,0.5,0
2,3,3,4,0.57,0.08,0,0.35
2,4,3,1,0.6,0,0.4,0
2,5,1,4,0.25,0,0,0.75
3,1,5,1,0.05,0.1,0.05,0.8
3,2,3,3,0.45,0.05,0.45,0.05
3,3,2,4,0.25,0.25,0.05,0.45
3,4,2,1,0.4,0.2,0.35,0.05
3,5,1,4,0.3,0,0,0.7
4,1,6,1,0,0.5,0,0.5
4,2,1,3,0.2,0.03,0.77,0
4,3,2,4,0.28,0.2,0,0.52
4,4,1,1,0.54,0.03,0.38,0.05
4,5,2,4,0.27,0.02,0,0.71
5,1,4,1,0.15,0.45,0.1,0.3
5,2,2,3,0.25,0.15,0.45,0.15
5,3,4,4,0.4,0.3,0.1,0.2
5,4,4,1,0.3,0.2,0.3,0.2
5,5,1,4,0.35,0.15,0.15,0.35
6,1,6,1,0,0.35,0,0.65
6,2,4,3,0.5,0,0.5,0
6,3,1,4,0.55,0.05,0,0.4
6,4,2,1,0.9,0,0.1,0
6,5,2,4,0.15,0,0,0.85
7,1,5,1,0.1,0.36,0.05,0.49
7,2,2,3,0.5,0.03,0.38,0.09
7,3,1,4,0.35,0.15,0.01,0.49
7,4,1,1,0.54,0.05,0.32,0.09
7,5,1,4,0.51,0.03,0,0.46
8,1,6,1,0,0.5,0,0.5
8,2,3,3,0.5,0,0.5,0
8,3,4,4,0.7,0.21,0,0.09
8,4,5,1,0.33,0.33,0.34,0
8,5,4,4,0.25,0.25,0,0.5
9,1,6,1,0.2,0.3,0.15,0.35
9,2,1,3,0.32,0.17,0.35,0.16
9,3,5,4,0.35,0.29,0.05,0.31
9,4,2,1,0.33,0.15,0.32,0.2
9,5,0,4,0.33,0.27,0.05,0.35
10,1,6,1,0,0.65,0,0.35
