101,1,1,0.75,0.25
101,2,1,0.7,0.3
101,3,1,0.65,0.35
101,4,1,0.6,0.4
101,5,1,0.7,0.3
101,6,1,0.25,0.75
101,7,1,0.7,0.3
101,8,1,0.6,0.4
101,9,1,0.5,0.5
101,10,1,0.7,0.3
102,1,1,0.8,0.2
102,2,1,0.8,0.2
102,3,1,0.8,0.2
102,4,1,0.15,0.85
102,5,1,0.2,0.8
102,6,1,0.1,0.9
102,7,1,0.85,0.15
102,8,1,0.1,0.9
102,9,1,0.2,0.8
102,10,1,0.9,0.1
103,1,1,0.65,0.35
103,2,1,0.6,0.4
103,3,1,0.4,0.6
103,4,1,0.35,0.65
103,5,1,0.5,0.5
103,6,1,0.2,0.8
103,7,1,0.5,0.5
103,8,1,0.35,0.65
103,9,1,0.5,0.5
103,10,1,0.5,0.5
105,1,1,0.9,0.1
105,2,1,0.75,0.25
105,3,1,0.5,0.5
105,4,1,0.06,0.94
105,5,1,0.95,0.05
105,6,1,0.02,0.98
105,7,1,0.61,0.39
105,8,1,0.1,0.9
105,9,1,0.4,0.6
105,10,1,0.7,0.3
106,1,1,0.73,0.27
106,2,1,0.8,0.2
106,3,1,0.75,0.25
106,4,1,0.6,0.4
106,5,1,0.8,0.2
106,6,1,0.6,0.4
106,7,1,0.57,0.43
106,8,1,0.5,0.5
106,9,1,0.55,0.45
106,10,1,0.65,0.35
107,1,1,0.9,0.1
107,2,1,0.6,0.4
107,3,1,0.6,0.4
107,4,1,0.2,0.8
107,5,1,0.9,0.1
107,6,1,0.2,0.8
107,7,1,0.55,0.45
107,8,1,0.25,0.75
107,9,1,0.4,0.6
107,10,1,0.6,0.4
108,1,1,0.99,0.01
108,2,1,0.5,0.5
108,3,1,0.69,0.31
108,4,1,0.35,0.65
108,5,1,0.81,0.19
108,6,1,0.09,0.91
108,7,1,0.5,0.5
108,8,1,0.5,0.5
108,9,1,0.5,0.5
108,10,1,0.64,0.36
109,1,1,0.86,0.14
109,2,1,0.19,0.81
109,3,1,0.07,0.93
109,4,1,0.72,0.28
109,5,1,0.8,0.2
109,6,1,0.14,0.86
109,7,1,0.93,0.07
109,8,1,0.99,0.01
109,9,1,0.1,0.9
109,10,1,0.98,0.02
110,1,1,0.77,0.23
110,2,1,0.65,0.35
110,3,1,0.62,0.38
110,4,1,0.45,0.55
110,5,1,0.55,0.45
110,6,1,0.35,0.65
110,7,1,0.51,0.49
110,8,1,0.57,0.43
110,9,1,0.54,0.46
110,10,1,0.48,0.52
111,1,1,0.7,0.3
111,2,1,0.99,0.01
111,3,1,0.99,0.01
111,4,1,0.2,0.8
111,5,1,0.8,0.2
111,6,1,0.01,0.99
111,7,1,0.2,0.8
111,8,1,0.75,0.25
111,9,1,0.8,0.2
111,10,1,0.75,0.25
112,1,1,0.67,0.33
112,2,1,0.99,0.01
112,3,1,0.99,0.01
112,4,1,0.01,0.99
112,5,1,0.99,0.01
112,6,1,0.01,0.99
112,7,1,0.71,0.29
112,8,1,0.75,0.25
112,9,1,0.99,0.01
112,10,1,0.75,0.25
113,1,1,0.4,0.6
113,2,1,0.42,0.58
113,3,1,0.6,0.4
113,4,1,0.6,0.4
113,5,1,0.38,0.62
113,6,1,0.43,0.57
113,7,1,0.39,0.61
113,8,1,0.59,0.41
113,9,1,0.63,0.37
113,10,1,0.43,0.57
114,1,1,0.5,0.5
114,2,1,0.75,0.25
114,3,1,0.6,0.4
114,4,1,0.45,0.55
114,5,1,0.7,0.3
114,6,1,0.3,0.7
114,7,1,0.6,0.4
114,8,1,0.55,0.45
114,9,1,0.55,0.45
114,10,1,0.6,0.4
115,1,1,0.8,0.2
115,2,1,0.75,0.25
115,3,1,0.5,0.5
115,4,1,0.5,0.5
115,5,1,0.5,0.5
115,6,1,0.7,0.3
115,7,1,0.66,0.34
115,8,1,0.4,0.6
115,9,1,0.5,0.5
115,10,1,0.5,0.5
116,1,1,0.8,0.2
116,2,1,0.7,0.3
116,3,1,0.4,0.6
116,4,1,0.25,0.75
116,5,1,0.8,0.2
116,6,1,0.1,0.9
116,7,1,0.8,0.2
116,8,1,0.2,0.8
116,9,1,0.2,0.8
116,10,1,0.8,0.2
117,1,1,0.9,0.1
117,2,1,0.75,0.25
117,3,1,0.75,0.25
117,4,1,0.25,0.75
117,5,1,0.8,0.2
117,6,1,0.1,0.9
117,7,1,0.7,0.3
117,8,1,0.5,0.5
117,9,1,0.7,0.3
117,10,1,0.3,0.7
118,1,1,0.8,0.2
118,2,1,0.27,0.73
118,3,1,0.6,0.4
118,4,1,0.2,0.8
118,5,1,0.9,0.1
118,6,1,0.1,0.9
118,7,1,0.14,0.86
118,8,1,0.81,0.19
118,9,1,0.4,0.6
118,10,1,0.6,0.4
119,1,1,0.9,0.1
119,2,1,0.84,0.16
119,3,1,0.91,0.09
119,4,1,0.05,0.95
119,5,1,0.25,0.75
119,6,1,0.99,0.01
119,7,1,0.96,0.04
119,8,1,0.11,0.89
119,9,1,0.16,0.84
119,10,1,0.9,0.1
126,1,1,0.9,0.1
126,2,1,0.85,0.15
126,3,1,0.8,0.2
126,4,1,0.15,0.85
126,5,1,0.9,0.1
126,6,1,0.01,0.99
126,7,1,0.85,0.15
126,8,1,0.2,0.8
126,9,1,0.2,0.8
126,10,1,0.75,0.25
127,1,1,0.7,0.3
127,2,1,0.65,0.35
127,3,1,0.55,0.45
127,4,1,0.4,0.6
127,5,1,0.75,0.25
127,6,1,0.1,0.9
127,7,1,0.5,0.5
127,8,1,0.3,0.7
127,9,1,0.6,0.4
127,10,1,0.65,0.35
