12,7,5,1,0.13,0.05,0.52,0.3
12,8,1,2,0.27,0.24,0.11,0.38
12,9,3,3,0.25,0.09,0.37,0.29
12,10,5,4,0.03,0.12,0.59,0.26
13,1,0,1,0.4,0.25,0.33,0.02
13,2,0,2,0.03,0.43,0.32,0.22
13,3,0,4,0.1,0.33,0.05,0.52
13,4,5,4,0.33,0.37,0.01,0.29
13,5,2,3,0.56,0.08,0.26,0.1
13,6,0,2,0.05,0.44,0.22,0.29
13,7,6,1,0.13,0.05,0.52,0.3
13,8,4,2,0.27,0.24,0.11,0.38
13,9,1,3,0.25,0.09,0.37,0.29
13,10,6,4,0.03,0.12,0.59,0.26
14,1,2,1,0.4,0.25,0.33,0.02
14,2,4,2,0.03,0.43,0.32,0.22
14,3,3,4,0.1,0.33,0.05,0.52
14,4,6,4,0.33,0.37,0.01,0.29
14,5,2,3,0.56,0.08,0.26,0.1
14,6,2,2,0.05,0.44,0.22,0.29
14,7,6,1,0.13,0.05,0.52,0.3
14,8,3,2,0.27,0.24,0.11,0.38
14,9,3,3,0.25,0.09,0.37,0.29
14,10,5,4,0.03,0.12,0.59,0.26
15,1,0,1,0.4,0.25,0.33,0.02
15,2,0,2,0.03,0.43,0.32,0.22
15,3,0,4,0.1,0.33,0.05,0.52
15,4,0,4,0.33,0.37,0.01,0.29
15,5,4,3,0.56,0.08,0.26,0.1
15,6,0,2,0.05,0.44,0.22,0.29
15,7,6,1,0.13,0.05,0.52,0.3
15,8,1,2,0.27,0.24,0.11,0.38
15,9,0,3,0.25,0.09,0.37,0.29
15,10,4,4,0.03,0.12,0.59,0.26
16,1,2,1,0.4,0.25,0.33,0.02
16,2,4,2,0.03,0.43,0.32,0.22
16,3,2,4,0.1,0.33,0.05,0.52
16,4,1,4,0.33,0.37,0.01,0.29
16,5,5,3,0.56,0.08,0.26,0.1
16,6,1,2,0.05,0.44,0.22,0.29
16,7,6,1,0.13,0.05,0.52,0.3
16,8,4,2,0.27,0.24,0.11,0.38
16,9,1,3,0.25,0.09,0.37,0.29
16,10,6,4,0.03,0.12,0.59,0.26
17,1,0,1,0.4,0.25,0.33,0.02
17,2,3,2,0.03,0.43,0.32,0.22
17,3,1,4,0.1,0.33,0.05,0.52
17,4,3,4,0.33,0.37,0.01,0.29
17,5,4,3,0.56,0.08,0.26,0.1
17,6,1,2,0.05,0.44,0.22,0.29
17,7,2,1,0.13,0.05,0.52,0.3
17,8,2,2,0.27,0.24,0.11,0.38
17,9,4,3,0.25,0.09,0.37,0.29
17,10,5,4,0.03,0.12,0.59,0.26
18,1,1,1,0.4,0.25,0.33,0.02
18,2,2,2,0.03,0.43,0.32,0.22
18,3,0,4,0.1,0.33,0.05,0.52
18,4,4,4,0.33,0.37,0.01,0.29
18,5,4,3,0.56,0.08,0.26,0.1
18,6,1,2,0.05,0.44,0.22,0.29
18,7,5,1,0.13,0.05,0.52,0.3
18,8,3,2,0.27,0.24,0.11,0.38
18,9,3,3,0.25,0.09,0.37,0.29
18,10,6,4,0.03,0.12,0.59,0.26
19,1,1,1,0.4,0.25,0.33,0.02
19,2,2,2,0.03,0.43,0.32,0.22
19,3,1,4,0.1,0.33,0.05,0.52
19,4,3,4,0.33,0.37,0.01,0.29
19,5,2,3,0.56,0.08,0.26,0.1
19,6,2,2,0.05,0.44,0.22,0.29
19,7,6,1,0.13,0.05,0.52,0.3
19,8,3,2,0.27,0.24,0.11,0.38
19,9,3,3,0.25,0.09,0.37,0.29
19,10,5,4,0.03,0.12,0.59,0.26
20,1,1,1,0.4,0.25,0.33,0.02
20,2,1,2,0.03,0.43,0.32,0.22
20,3,1,4,0.1,0.33,0.05,0.52
20,4,1,4,0.33,0.37,0.01,0.29
20,5,1,3,0.56,0.08,0.26,0.1
20,6,1,2,0.05,0.44,0.22,0.29
20,7,4,1,0.13,0.05,0.52,0.3
20,8,1,2,0.27,0.24,0.11,0.38
20,9,3,3,0.25,0.09,0.37,0.29
20,10,4,4,0.03,0.12,0.59,0.26
21,1,0,1,0.4,0.25,0.33,0.02
21,2,3,2,0.03,0.43,0.32,0.22
21,3,0,4,0.1,0.33,0.05,0.52
21,4,4,4,0.33,0.37,0.01,0.29
21,5,3,3,0.56,0.08,0.26,0.1
21,6,1,2,0.05,0.44,0.22,0.29
21,7,6,1,0.13,0.05,0.52,0.3
21,8,1,2,0.27,0.24,0.11,0.38
21,9,3,3,0.25,0.09,0.37,0.29
21,10,4,4,0.03,0.12,0.59,0.26
22,1,0,1,0.4,0.25,0.33,0.02
22,2,0,2,0.03,0.43,0.32,0.22
22,3,0,4,0.1,0.33,0.05,0.52
22,4,4,4,0.33,0.37,0.01,0.29
22,5,1,3,0.56,0.08,0.26,0.1
22,6,0,2,0.05,0.44,0.22,0.29
22,7,5,1,0.13,0.05,0.52,0.3
22,8,1,2,0.27,0.24,0.11,0.38
22,9,0,3,0.25,0.09,0.37,0.29
