18,9,4,1,0.16,0.84
18,10,1,1,0.9,0.1
19,1,5,2,0.9,0.1
19,2,1,1,0.85,0.15
19,3,4,2,0.8,0.2
19,4,1,2,0.15,0.85
19,5,1,1,0.9,0.1
19,6,0,2,0.01,0.99
19,7,1,1,0.85,0.15
19,8,1,2,0.2,0.8
19,9,4,1,0.2,0.8
19,10,1,1,0.75,0.25
20,1,4,2,0.7,0.3
20,2,1,1,0.65,0.35
20,3,3,2,0.55,0.45
20,4,3,2,0.4,0.6
20,5,1,1,0.75,0.25
20,6,1,2,0.1,0.9
20,7,3,1,0.5,0.5
20,8,2,2,0.3,0.7
20,9,3,1,0.6,0.4
20,10,2,1,0.65,0.35
21,1,3,2,1,0
21,2,4,1,0.24,0.76
21,3,5,2,1,0
21,4,1,2,0.16,0.84
21,5,1,1,0.88,0.12
21,6,0,2,0,1
21,7,1,1,0.75,0.25
21,8,1,2,0.4,0.6
21,9,3,1,0.24,0.76
21,10,2,1,0.75,0.25
22,1,1,2,0.97,0.03
22,2,1,1,0.5,0.5
22,3,1,2,0.6,0.4
22,4,3,2,0.2,0.8
22,5,1,1,0.5,0.5
22,6,1,2,0.05,0.95
22,7,1,1,0.15,0.85
22,8,1,2,0.5,0.5
22,9,3,1,0.5,0.5
22,10,3,1,0.8,0.2
23,1,5,2,0.8,0.2
23,2,0,1,0.6,0.4
23,3,3,2,0.4,0.6
23,4,3,2,0.5,0.5
23,5,3,1,0.9,0.1
23,6,0,2,0.1,0.9
23,7,0,1,0.75,0.25
23,8,1,2,0.5,0.5
23,9,0,1,0.7,0.3
23,10,0,1,0.81,0.19
24,1,6,2,1,0
24,2,2,1,0.5,0.5
24,3,4,2,0.75,0.25
24,4,1,2,0.1,0.9
24,5,3,1,0.3,0.7
24,6,0,2,0.05,0.95
24,7,2,1,0.15,0.85
24,8,3,2,0.5,0.5
24,9,2,1,0.75,0.25
24,10,3,1,0.1,0.9
25,1,3,2,1,0
25,2,3,1,0.5,0.5
25,3,4,2,0.65,0.35
25,4,2,2,0.3,0.7
25,5,6,1,0.5,0.5
25,6,4,2,0.85,0.15
25,7,3,1,0.5,0.5
25,8,2,2,0.5,0.5
25,9,3,1,0.5,0.5
25,10,3,1,0.2,0.8
26,1,3,2,0.7,0.3
26,2,1,1,0.7,0.3
26,3,4,2,0.65,0.35
26,4,2,2,0.3,0.7
26,5,4,1,0.2,0.8
26,6,1,2,0.25,0.75
26,7,1,1,0.7,0.3
26,8,3,2,0.63,0.37
26,9,4,1,0.33,0.67
26,10,0,1,0.7,0.3
27,1,1,2,0.8,0.2
27,2,0,1,0.7,0.3
27,3,1,2,0.5,0.5
27,4,1,2,0.25,0.75
27,5,1,1,0.7,0.3
27,6,1,2,0.2,0.8
27,7,1,1,0.75,0.25
27,8,2,2,0.67,0.33
27,9,1,1,0.5,0.5
27,10,3,1,0.5,0.5
28,1,6,2,0.91,0.09
28,2,4,1,0.3,0.7
28,3,4,2,0.3,0.7
28,4,2,2,0.3,0.7
28,5,5,1,0.06,0.94
28,6,1,2,0.2,0.8
28,7,1,1,0.8,0.2
28,8,3,2,0.75,0.25
28,9,2,1,0.82,0.18
28,10,5,1,0.23,0.77
29,1,0,2,0.7,0.3
29,2,0,1,0.8,0.2
29,3,4,2,0.8,0.2
29,4,0,2,0.1,0.9
29,5,3,1,0.7,0.3
29,6,0,2,0.1,0.9
29,7,0,1,0.6,0.4
29,8,0,2,0.15,0.85
29,9,3,1,0.7,0.3
29,10,3,1,0.7,0.3
30,1,5,2,0.7,0.3
30,2,1,1,0.6,0.4
30,3,3,2,0.5,0.5
30,4,2,2,0.33,0.67
30,5,1,1,0.8,0.2
