101,1,1,0.43,0.15,0.33,0.09
101,1,2,0.53,0.05,0.4,0.02
101,1,3,0.9114,0.01,0.0686,0.01
101,1,4,0.9114,0.01,0.0686,0.01
101,1,5,0.9506,0.01,0.0294,0.01
101,2,1,0.09,0.18,0.34,0.39
101,2,2,0.02,0.39,0.09,0.5
101,2,3,0.01,0.198,0.0495,0.7425
101,2,4,0.01,0.7029,0.0099,0.2772
101,2,5,0.01,0.3762,0.0198,0.594
101,3,1,0.07,0.07,0.53,0.33
101,3,2,0.0198,0.01,0.0693,0.9009
101,3,3,0.0198,0.01,0.0297,0.9405
101,3,4,0.198,0.01,0.2574,0.5346
101,3,5,0.0594,0.01,0.3267,0.6039
101,4,1,0.26,0.5,0.01,0.23
101,4,2,0.4059,0.5544,0.01,0.0297
101,4,3,0.099,0.8019,0.01,0.0891
101,4,4,0.0594,0.891,0.01,0.0396
101,4,5,0.04,0.9,0.03,0.03
101,5,1,0.4,0.44,0.06,0.1
101,5,2,0.18,0.76,0.02,0.04
101,5,3,0.0495,0.9207,0.01,0.0198
101,5,4,0.1386,0.8415,0.01,0.0099
101,5,5,0.0495,0.9108,0.01,0.0297
101,6,1,0.36,0.12,0.37,0.15
101,6,2,0.69,0.06,0.19,0.06
101,6,3,0.7425,0.2079,0.0396,0.01
101,6,4,0.24,0.73,0.01,0.02
101,6,5,0.882,0.098,0.01,0.01
101,7,1,0.27,0.01,0.45,0.27
101,7,2,0.0495,0.01,0.891,0.0495
101,7,3,0.0297,0.01,0.8316,0.1287
101,7,4,0.0297,0.01,0.9108,0.0495
101,7,5,0.0495,0.01,0.9207,0.0198
101,8,1,0.09,0.15,0.48,0.28
101,8,2,0.25,0.03,0.68,0.04
101,8,3,0.0594,0.01,0.8019,0.1287
101,8,4,0.7128,0.01,0.2475,0.0297
101,8,5,0.396,0.01,0.5742,0.0198
101,9,1,0.32,0.18,0.15,0.35
101,9,2,0.66,0.1,0.07,0.17
101,9,3,0.73,0.02,0.22,0.03
101,9,4,0.86,0.08,0.05,0.01
101,9,5,0.8118,0.1089,0.0693,0.01
101,10,1,0.07,0.24,0.27,0.42
101,10,2,0.2,0.68,0.06,0.06
101,10,3,0.0588,0.9212,0.01,0.01
101,10,4,0.0297,0.9306,0.01,0.0297
101,10,5,0.0594,0.8316,0.01,0.099
102,1,1,0.43,0.15,0.33,0.09
102,1,2,0.6435,0.0495,0.297,0.01
102,1,3,0.098,0.01,0.882,0.01
102,1,4,0.098,0.01,0.882,0.01
102,1,5,0.735,0.01,0.245,0.01
102,2,1,0.09,0.18,0.34,0.39
102,2,2,0.01,0.297,0.099,0.594
102,2,3,0.01,0.198,0.0495,0.7425
102,2,4,0.01,0.099,0.0495,0.8415
102,2,5,0.01,0.01,0.049,0.931
102,3,1,0.07,0.07,0.53,0.33
102,3,2,0.05,0.05,0.65,0.25
102,3,3,0.05,0.05,0.75,0.15
102,3,4,0.0495,0.01,0.8415,0.099
102,3,5,0.01,0.01,0.882,0.098
102,4,1,0.26,0.5,0.01,0.23
102,4,2,0.297,0.6435,0.01,0.0495
102,4,3,0.099,0.792,0.01,0.099
102,4,4,0.0495,0.891,0.01,0.0495
102,4,5,0.0495,0.891,0.01,0.0495
102,5,1,0.4,0.44,0.06,0.1
102,5,2,0.3,0.6,0.04,0.06
102,5,3,0.1176,0.8624,0.01,0.01
102,5,4,0.1176,0.8624,0.01,0.01
102,5,5,0.0098,0.9702,0.01,0.01
102,6,1,0.36,0.12,0.37,0.15
102,6,2,0.5,0.1,0.25,0.15
102,6,3,0.6,0.2,0.15,0.05
102,6,4,0.3465,0.594,0.01,0.0495
102,6,5,0.735,0.245,0.01,0.01
102,7,1,0.27,0.01,0.45,0.27
102,7,2,0.1485,0.01,0.693,0.1485
102,7,3,0.0495,0.01,0.792,0.1485
102,7,4,0.0495,0.01,0.8415,0.099
102,7,5,0.0495,0.01,0.891,0.0495
102,8,1,0.09,0.15,0.48,0.28
102,8,2,0.07,0.08,0.7,0.15
102,8,3,0.0297,0.01,0.8415,0.1188
102,8,4,0.147,0.01,0.833,0.01
102,8,5,0.147,0.01,0.833,0.01
102,9,1,0.32,0.18,0.15,0.35
102,9,2,0.45,0.09,0.09,0.37
102,9,3,0.55,0.1,0.1,0.25
102,9,4,0.65,0.15,0.05,0.15
102,9,5,0.8,0.1,0.05,0.05
102,10,1,0.07,0.24,0.27,0.42
102,10,2,0.2,0.4,0.1,0.3
102,10,3,0.1,0.7,0.05,0.15
102,10,4,0.0495,0.792,0.01,0.1485
102,10,5,0.01,0.833,0.01,0.147
103,1,1,0.43,0.15,0.33,0.09
103,1,2,0.45,0.15,0.31,0.09
103,1,3,0.3,0.15,0.46,0.09
103,1,4,0.3,0.2,0.41,0.09
103,1,5,0.396,0.2475,0.3465,0.01
103,2,1,0.09,0.18,0.34,0.39
103,2,2,0.09,0.27,0.25,0.39
103,2,3,0.09,0.27,0.14,0.5
103,2,4,0.09,0.12,0.14,0.65
103,2,5,0.14,0.06,0.1,0.7
103,3,1,0.07,0.07,0.53,0.33
103,3,2,0.07,0.08,0.6,0.25
103,3,3,0.07,0.08,0.5,0.35
103,3,4,0.1,0.08,0.5,0.32
103,3,5,0.1,0.08,0.5,0.32
103,4,1,0.26,0.5,0.01,0.23
103,4,2,0.297,0.594,0.01,0.099
103,4,3,0.2475,0.6435,0.01,0.099
103,4,4,0.1584,0.7326,0.01,0.099
103,4,5,0.1584,0.7326,0.01,0.099
103,5,1,0.4,0.44,0.06,0.1
103,5,2,0.41,0.49,0.05,0.05
103,5,3,0.31,0.65,0.02,0.02
103,5,4,0.31,0.65,0.02,0.02
103,5,5,0.2,0.76,0.02,0.02
103,6,1,0.36,0.12,0.37,0.15
103,6,2,0.36,0.12,0.37,0.15
103,6,3,0.5,0.08,0.3,0.12
103,6,4,0.45,0.15,0.25,0.15
103,6,5,0.65,0.1,0.1,0.15
103,7,1,0.27,0.01,0.45,0.27
103,7,2,0.24,0.01,0.55,0.2
103,7,3,0.11,0.01,0.65,0.23
103,7,4,0.11,0.01,0.7,0.18
103,7,5,0.11,0.01,0.7,0.18
103,8,1,0.09,0.15,0.48,0.28
103,8,2,0.19,0.09,0.53,0.19
103,8,3,0.16,0.09,0.53,0.22
103,8,4,0.22,0.07,0.55,0.16
103,8,5,0.1485,0.01,0.594,0.2475
103,9,1,0.32,0.18,0.15,0.35
103,9,2,0.4,0.11,0.1,0.39
103,9,3,0.5,0.1,0.1,0.3
103,9,4,0.55,0.1,0.1,0.25
103,9,5,0.6,0.1,0.1,0.2
103,10,1,0.07,0.24,0.27,0.42
103,10,2,0.07,0.3,0.27,0.36
103,10,3,0.05,0.5,0.15,0.3
103,10,4,0.05,0.6,0.1,0.25
103,10,5,0.05,0.6,0.1,0.25
105,1,1,0.43,0.15,0.33,0.09
105,1,2,0.53,0.05,0.4,0.02
105,1,3,0.882,0.01,0.098,0.01
105,1,4,0.43,0.08,0.47,0.02
