site_id,subject_id,Age,Gender,ProbabilityAndStatsTraining,BIS,BASDrive,BASFunSeeking,BASRewardResponsiveness,BASTotal,SNA,VGE
PSU,001,26,male,3,14,16,16,14,46,,
PSU,002,52,male,1,14,12,13,16,41,,
PSU,003,32,female,2,21,10,11,16,37,,
PSU,004,38,female,3,13,8,11,15,34,,
PSU,005,34,female,2,26,12,13,19,44,,
PSU,006,20,male,3,17,14,14,18,46,,
PSU,007,24,male,2,15,15,9,20,44,,
PSU,008,40,male,2,15,12,12,16,40,,
PSU,009,26,male,3,18,9,12,19,40,,
PSU,010,22,female,1,21,12,13,18,43,,
PSU,011,21,female,2,21,9,14,17,40,,
PSU,012,21,female,2,22,12,12,17,41,,
PSU,013,23,male,3,19,11,12,16,39,,
PSU,014,20,female,3,25,13,13,19,45,,
PSU,015,19,male,2,16,14,16,18,48,,
PSU,016,34,male,2,18,11,13,19,43,,
PSU,017,20,male,2,20,11,11,18,40,,
PSU,018,21,male,3,19,11,12,17,40,,
PSU,019,21,male,2,19,9,12,15,36,,
PSU,020,28,male,2,19,14,10,17,41,,
