Subject_number,Phase_number,Trial_number,Surprise,Trial_time,Group_time,Surprise_time,Allocation_time,Probabilities_score,Troop_allocation_score,Number_probability_sets,Number_groups,Max_probs_in_set,Layer_type_1,Layer_type_2,Layer_type_3,Layer_type_4,Layer_type_5,Layer_Surprise_1,Layer_Surprise_2,Layer_Surprise_3,Layer_Surprise_4,Layer_Surprise_5,Layer_Surprise_Time_1,Layer_Surprise_Time_2,Layer_Surprise_Time_3,Layer_Surprise_Time_4,Layer_Surprise_Time_5,Center_X_1,Center_X_2,Center_X_3,Center_X_4,Center_Y_1,Center_Y_2,Center_Y_3,Center_Y_4,Circle_R_1,Circle_R_2,Circle_R_3,Circle_R_4,Human_probs_1_1,Human_probs_1_2,Human_probs_1_3,Human_probs_1_4,Human_probs_2_1,Human_probs_2_2,Human_probs_2_3,Human_probs_2_4,Human_probs_3_1,Human_probs_3_2,Human_probs_3_3,Human_probs_3_4,Human_probs_4_1,Human_probs_4_2,Human_probs_4_3,Human_probs_4_4,Human_probs_5_1,Human_probs_5_2,Human_probs_5_3,Human_probs_5_4,Raw_human_probs_1_1,Raw_human_probs_1_2,Raw_human_probs_1_3,Raw_human_probs_1_4,Raw_human_probs_2_1,Raw_human_probs_2_2,Raw_human_probs_2_3,Raw_human_probs_2_4,Raw_human_probs_3_1,Raw_human_probs_3_2,Raw_human_probs_3_3,Raw_human_probs_3_4,Raw_human_probs_4_1,Raw_human_probs_4_2,Raw_human_probs_4_3,Raw_human_probs_4_4,Raw_human_probs_5_1,Raw_human_probs_5_2,Raw_human_probs_5_3,Raw_human_probs_5_4,Normative_probs_1_1,Normative_probs_1_2,Normative_probs_1_3,Normative_probs_1_4,Normative_probs_2_1,Normative_probs_2_2,Normative_probs_2_3,Normative_probs_2_4,Normative_probs_3_1,Normative_probs_3_2,Normative_probs_3_3,Normative_probs_3_4,Normative_probs_4_1,Normative_probs_4_2,Normative_probs_4_3,Normative_probs_4_4,Normative_probs_5_1,Normative_probs_5_2,Normative_probs_5_3,Normative_probs_5_4,Norm_allocation_1,Norm_allocation_2,Norm_allocation_3,Norm_allocation_4,Raw_allocation_1,Raw_allocation_2,Raw_allocation_3,Raw_allocation_4,Normative_Center_X_1,Normative_Center_X_2,Normative_Center_X_3,Normative_Center_X_4,Normative_Center_Y_1,Normative_Center_Y_2,Normative_Center_Y_3,Normative_Center_Y_4,BaseRate_1,BaseRate_2,BaseRate_3,BaseRate_4,Sigma_X_1,Sigma_X_2,Sigma_X_3,Sigma_X_4,Sigma_Y_1,Sigma_Y_2,Sigma_Y_3,Sigma_Y_4,
S002,5,1,1,602554,45256,6661,86175,28.4842970008737,49.0,5,4,4,MOVINT,SIGINT,SOCINT,IMINT,NaN,0,2,0,0,NaN,106487,97828,6162,4773,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40.0,15.0,30.0,15.0,28.0,28.0,16.0,28.0,50.0,20.0,10.0,20.0,53.0,19.0,9.0,19.0,47.0,24.0,5.0,24.0,40.0,15.0,30.0,15.0,28.0,28.0,16.0,28.0,50.0,20.0,10.0,20.0,53.0,19.0,9.0,19.0,47.0,24.0,5.0,24.0,NaN,NaN,NaN,NaN,58.244538724619964,7.801723675883879,28.761863691042922,5.191873908453235,90.71000992502233,1.7357714009835226,6.3991013406717006,1.1551173333224576,95.12873494231896,0.9101627133604268,3.3554092641427204,0.6056930801779058,85.02495811488046,0.8134928592093582,11.99610327268637,2.1654457532238043,49.0,23.0,5.0,23.0,49.0,23.0,5.0,23.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
S002,5,2,5,386883,51964,7004,76051,79.79766837994788,16.0,5,4,4,MOVINT,SOCINT,SIGINT,IMINT,NaN,0,0,0,3,NaN,34165,17175,18096,28064,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.0,15.0,41.0,22.0,17.0,20.0,37.0,26.0,16.0,19.0,40.0,25.0,20.0,7.0,44.0,29.0,29.0,16.0,33.0,22.0,22.0,15.0,41.0,22.0,17.0,20.0,37.0,26.0,16.0,19.0,40.0,25.0,20.0,7.0,44.0,29.0,29.0,16.0,33.0,22.0,NaN,NaN,NaN,NaN,9.454161215544378,28.571203671763435,15.544470567190618,46.43016454550157,8.182270574381715,24.72745215025145,26.906472444566358,40.18380483080046,9.797362688187082,9.869461655681128,32.21752040619214,48.11565524993966,24.64737997663605,24.828760487320984,20.26253116856341,30.261328367479557,34.0,16.0,30.0,20.0,34.0,16.0,30.0,20.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
S002,5,3,1,307495,57221,4571,43118,72.6265160545168,65.0,5,4,4,SIGINT,SOCINT,MOVINT,IMINT,NaN,1,0,0,1,NaN,28127,6645,23182,14227,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.0,48.0,10.0,23.0,22.0,51.0,12.0,15.0,21.0,54.0,11.0,14.0,12.0,62.0,6.0,20.0,18.0,66.0,1.0,15.0,19.0,48.0,10.0,23.0,22.0,51.0,12.0,15.0,21.0,54.0,11.0,14.0,12.0,62.0,6.0,20.0,18.0,66.0,1.0,15.0,NaN,NaN,NaN,NaN,30.938324147409485,55.534012955405274,4.4667949769209864E-5,13.527618229235467,19.891677427676303,71.41076334387128,2.8719087819084996E-5,8.697530509364602,5.844908352428661,83.93246243600646,8.438727044424584E-6,10.222620772837827,6.330246579422781,90.90188437553364,2.284861446349908E-6,2.767866760182137,15.0,65.0,3.0,17.0,15.0,65.0,3.0,17.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
S002,5,4,1,292807,46707,5164,34102,23.40918887018208,52.0,5,4,4,IMINT,MOVINT,SOCINT,SIGINT,NaN,1,1,0,4,NaN,75443,8346,6505,15054,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.0,44.0,23.0,23.0,14.0,49.0,18.0,19.0,11.0,52.0,15.0,22.0,9.0,58.0,13.0,20.0,3.0,52.0,31.0,14.0,10.0,44.0,23.0,23.0,14.0,49.0,18.0,19.0,11.0,52.0,15.0,22.0,9.0,58.0,13.0,20.0,3.0,52.0,31.0,14.0,NaN,NaN,NaN,NaN,0.25211570183714316,96.34956089294762,1.4143760450937004,1.9839473601215265,0.06382667516475657,97.56904596689574,0.3580694091370904,2.0090579488024143,0.03230600970531499,98.7695673574738,0.1812376060150105,1.0168890268058768,0.0319584849470943,97.70707556945763,1.2550158777138125,1.0059500678814681,3.0,52.0,31.0,14.0,3.0,52.0,31.0,14.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
S002,5,5,0,180790,41465,5944,26317,70.1497608791682,57.0,5,4,4,SOCINT,SIGINT,IMINT,MOVINT,NaN,0,1,0,2,NaN,3307,7098,10545,17722,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.0,20.0,20.0,50.0,9.0,19.0,19.0,53.0,11.0,13.0,21.0,55.0,6.0,8.0,26.0,60.0,9.0,5.0,29.0,57.0,10.0,20.0,20.0,50.0,9.0,19.0,19.0,53.0,11.0,13.0,21.0,55.0,6.0,8.0,26.0,60.0,9.0,5.0,29.0,57.0,NaN,NaN,NaN,NaN,2.2466323602062426,14.811180965707148,7.920325996881491,75.02186067720513,2.4927716392392782,5.477960777936099,8.78807070006918,83.24119688275545,0.6628164011228077,1.4565643283038718,9.346828730786157,88.53379053978716,2.0389812439996025,1.120184768006444,28.753073159724785,68.08776082826917,9.0,5.0,29.0,57.0,9.0,5.0,29.0,57.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
S002,5,6,4,218778,45756,9048,29688,75.94219108613731,18.0,5,4,4,SOCINT,IMINT,MOVINT,SIGINT,NaN,0,3,0,0,NaN,6115,11560,10671,5242,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,55.0,20.0,15.0,10.0,61.0,18.0,13.0,8.0,56.0,13.0,18.0,13.0,59.0,10.0,20.0,11.0,65.0,8.0,18.0,9.0,55.0,20.0,15.0,10.0,61.0,18.0,13.0,8.0,56.0,13.0,18.0,13.0,59.0,10.0,20.0,11.0,65.0,8.0,18.0,9.0,NaN,NaN,NaN,NaN,56.993899392052874,16.786870337659064,18.376029180197545,7.843201090090537,31.901173206357736,9.396108424702781,41.14243074965366,17.560287619285827,39.98507448356242,2.944281177271039,51.56810839896805,5.502535940198496,82.34390085284699,0.8661932000358099,15.171086640338125,1.6188193067790777,65.0,8.0,18.0,9.0,65.0,8.0,18.0,9.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
S002,5,7,5,270940,135546,5834,19204,52.80453985282193,10.0,5,4,4,SIGINT,IMINT,SOCINT,MOVINT,NaN,2,2,1,1,NaN,5086,8955,10000,7550,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.0,15.0,40.0,15.0,34.0,19.0,28.0,19.0,39.0,24.0,23.0,14.0,38.0,23.0,26.0,13.0,41.0,20.0,29.0,10.0,30.0,15.0,40.0,15.0,34.0,19.0,28.0,19.0,39.0,24.0,23.0,14.0,38.0,23.0,26.0,13.0,41.0,20.0,29.0,10.0,NaN,NaN,NaN,NaN,56.54114979148309,3.529544013492119,36.93303467831639,2.996271516708389,80.71193719554077,5.0383894879474935,13.180386260229657,1.0692870562820784,71.31265395221756,4.45164542588059,23.290937053218205,0.9447635686836476,61.3763046742934,15.325501482182629,20.04569413004797,3.2524997134760114,41.0,20.0,29.0,10.0,41.0,20.0,29.0,10.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
S002,5,8,1,137407,30218,7176,19532,47.672076380035456,36.0,5,4,4,MOVINT,IMINT,SIGINT,SOCINT,NaN,1,1,2,2,NaN,5834,8908,10530,5180,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.0,18.0,33.0,26.0,26.0,15.0,36.0,23.0,23.0,12.0,39.0,26.0,29.0,10.0,37.0,24.0,28.0,9.0,36.0,27.0,23.0,18.0,33.0,26.0,26.0,15.0,36.0,23.0,23.0,12.0,39.0,26.0,29.0,10.0,37.0,24.0,28.0,9.0,36.0,27.0,NaN,NaN,NaN,NaN,13.334113330871359,1.1244356916985396,76.59835976671599,8.94309121071412,3.7389800279295624,0.3152997495692731,85.91489519646926,10.030825026031897,21.377138549953397,0.2575265515866334,70.17248418401513,8.192850714444836,19.75836518660039,0.23802547939727664,64.85870713326753,15.144902200734798,28.0,9.0,36.0,27.0,28.0,9.0,36.0,27.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
S002,5,9,1,166489,31295,5991,49391,14.667757429593479,30.0,5,4,4,SOCINT,MOVINT,IMINT,SIGINT,NaN,0,2,3,2,NaN,3354,7597,9626,7831,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.0,25.0,20.0,20.0,38.0,24.0,19.0,19.0,35.0,27.0,16.0,22.0,32.0,24.0,19.0,25.0,34.0,26.0,21.0,19.0,35.0,25.0,20.0,20.0,38.0,24.0,19.0,19.0,35.0,27.0,16.0,22.0,32.0,24.0,19.0,25.0,34.0,26.0,21.0,19.0,NaN,NaN,NaN,NaN,83.29204714098411,15.734502168863528,0.15155690584167625,0.8218937843106946,95.10102366626579,4.491326946872784,0.17304433477110684,0.23460505209034477,95.39267440550935,4.505100708434351,0.04339375447331166,0.0588311315829724,95.43010281174598,4.506868336195114,0.043410780508916814,0.019618071549986092,30.0,23.0,19.0,28.0,30.0,23.0,19.0,28.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
S002,5,10,2,132654,21295,4508,25386,55.55321669095807,30.0,5,4,4,IMINT,SIGINT,MOVINT,SOCINT,NaN,1,0,1,4,NaN,8611,7286,7176,8643,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.0,14.0,28.0,28.0,27.0,11.0,31.0,31.0,29.0,5.0,33.0,33.0,26.0,8.0,30.0,36.0,28.0,10.0,32.0,30.0,30.0,14.0,28.0,28.0,27.0,11.0,31.0,31.0,29.0,5.0,33.0,33.0,26.0,8.0,30.0,36.0,28.0,10.0,32.0,30.0,NaN,NaN,NaN,NaN,16.599382383504295,6.1126811408534545,22.225934993796663,55.06200148184559,17.30456427479236,2.124120870873009,23.170146441696467,57.40116841263816,6.211795877479565,3.0499711080683847,8.317355921916441,82.42087709253562,6.027945287791746,5.919402160471996,8.071187048848406,79.98146550288784,28.0,10.0,32.0,30.0,28.0,10.0,32.0,30.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
