site_id,response_generator_id,data_type,exam_id,task_number,trial_number,trial_time,num_blue_locations,red_capability_Pc,red_vulnerability_P_1,red_opportunity_U_1,red_activity_detected_1,bluebook_Netural_prob_1,probs_Pp_time,probs_Pp_1,probs_Pp_normative_1,probs_Ppc_time,probs_Ppc_1,probs_Ppc_normative_1,probs_Pt_time,probs_Pt_1,probs_Pt_normative_1,probs_Ptpc_time,probs_Ptpc_1,probs_Ptpc_normative_1,blue_action_time,blue_action_1,blue_action_expected_utility,blue_action_normative_participant_1,blue_action_normative_participant_expected_utility,blue_action_normative_bayesian_1,blue_action_normative_bayesian_expected_utility
PSU,002,Human_Single,Sample-Exam-1,1,1,592068.0,1,1.0,0.11936008179624569,5,0,0.8,216606.0,0.8,0.8,36036.0,0.8,0.8,21357.0,0.4,0.3333333333333333,25833.0,0.68,0.6666666666666665,NaN,Do_Not_Divert,-2.5883514437855295,Divert,-0.31999999999999995,Divert,-0.3333333333333335
PSU,002,Human_Single,Sample-Exam-1,1,2,603456.0,1,1.0,0.16330383067108623,5,1,0.8,118310.0,0.67,0.8,94256.0,0.67,0.8,81230.0,0.8,0.7499999999999999,219258.0,0.88,0.923076923076923,NaN,Divert,-0.12,Divert,-0.12,Divert,-0.07692307692307698
PSU,002,Human_Single,Sample-Exam-1,1,3,478780.0,1,0.4,0.14276261550754787,2,0,0.6,95566.0,0.16,0.6,65224.0,0.12,0.24,34788.0,0.1,0.3333333333333333,231411.0,0.15,0.13636363636363635,NaN,Do_Not_Divert,-0.21434243069547126,Do_Not_Divert,-0.21434243069547126,Do_Not_Divert,-0.19485675517770115
PSU,002,Human_Single,Sample-Exam-1,1,4,322187.0,1,0.4,0.11861665779644381,2,0,0.6,52291.0,0.6,0.6,25569.0,0.24,0.24,54163.0,0.4,0.3333333333333333,73976.0,0.74,0.13636363636363635,NaN,Do_Not_Divert,-1.1288946929225263,Divert,-0.26,Do_Not_Divert,-0.2080272775655761
PSU,002,Human_Single,Sample-Exam-1,1,5,237105.0,1,0.4,0.14059513952817182,3,0,0.6,19531.0,0.6,0.6,34335.0,0.76,0.24,29328.0,0.39,0.3333333333333333,118279.0,0.93,0.13636363636363635,NaN,Do_Not_Divert,-2.0054791214328014,Divert,-0.06999999999999995,Do_Not_Divert,-0.29405852220422307
PSU,002,Human_Single,Sample-Exam-1,1,6,137218.0,1,0.7,0.2199268518374785,5,1,0.8,17971.0,0.8,0.8,9984.0,0.56,0.5599999999999999,25568.0,0.8,0.7499999999999999,46114.0,0.64,0.7924528301886792,NaN,Divert,-0.36,Divert,-0.36,Divert,-0.20754716981132082
PSU,002,Human_Single,Sample-Exam-1,1,7,142725.0,1,0.4,0.20731014083602806,3,0,0.6,14228.0,0.6,0.6,5491.0,0.76,0.24,28407.0,0.4,0.3333333333333333,30841.0,0.31,0.13636363636363635,NaN,Do_Not_Divert,-0.5444031380449879,Do_Not_Divert,-0.5444031380449879,Do_Not_Divert,-0.23947352113415885
PSU,002,Human_Single,Sample-Exam-1,1,8,323045.0,1,0.7,0.2820442849216881,3,1,0.2,11607.0,0.2,0.2,26021.0,0.14,0.13999999999999999,24180.0,0.6,0.7499999999999999,235108.0,0.07,0.32812499999999983,NaN,Do_Not_Divert,-0.09154140033289102,Do_Not_Divert,-0.09154140033289102,Do_Not_Divert,-0.42910031406042637
PSU,002,Human_Single,Sample-Exam-1,1,9,155595.0,1,0.9,0.22068185914010596,3,0,0.6,13089.0,0.6,0.6,15834.0,0.54,0.54,19703.0,0.4,0.3333333333333333,34959.0,0.21,0.3698630136986301,NaN,Do_Not_Divert,-0.3519408574834665,Do_Not_Divert,-0.3519408574834665,Do_Not_Divert,-0.6198566961548333
PSU,002,Human_Single,Sample-Exam-1,1,10,112803.0,1,1.0,0.3162001027225234,4,0,0.4,10857.0,0.4,0.4,26301.0,0.6,0.4,11746.0,0.4,0.3333333333333333,41793.0,0.1,0.25,NaN,Do_Not_Divert,-0.14703991782198128,Do_Not_Divert,-0.14703991782198128,Do_Not_Divert,-0.3675997945549532
PSU,003,Human_Single,Sample-Exam-1,1,1,305745.0,1,1.0,0.11936008179624569,5,0,0.8,39780.0,0.8,0.8,65302.0,0.8,0.8,16630.0,0.4,0.3333333333333333,58188.0,0.6,0.6666666666666665,NaN,Do_Not_Divert,-2.283839509222526,Divert,-0.4,Divert,-0.3333333333333335
PSU,003,Human_Single,Sample-Exam-1,1,2,66815.0,1,1.0,0.16330383067108623,5,1,0.8,9594.0,0.8,0.8,5928.0,0.8,0.8,9032.0,0.6,0.7499999999999999,9391.0,0.7,0.923076923076923,NaN,Divert,-0.30000000000000004,Divert,-0.30000000000000004,Divert,-0.07692307692307698
PSU,003,Human_Single,Sample-Exam-1,1,3,68781.0,1,0.4,0.14276261550754787,2,0,0.6,8845.0,0.6,0.6,9656.0,0.5,0.24,7347.0,0.4,0.3333333333333333,11575.0,0.45,0.13636363636363635,NaN,Do_Not_Divert,-0.6430272920864138,Divert,-0.55,Do_Not_Divert,-0.19485675517770115
PSU,003,Human_Single,Sample-Exam-1,1,4,41620.0,1,0.4,0.11861665779644381,2,0,0.6,8658.0,0.6,0.6,4243.0,0.5,0.24,6848.0,0.4,0.3333333333333333,4696.0,0.45,0.13636363636363635,NaN,Do_Not_Divert,-0.6864900159664011,Divert,-0.55,Do_Not_Divert,-0.2080272775655761
PSU,003,Human_Single,Sample-Exam-1,1,5,34867.0,1,0.4,0.14059513952817182,3,0,0.6,5507.0,0.6,0.6,3868.0,0.5,0.24,6474.0,0.4,0.3333333333333333,4867.0,0.45,0.13636363636363635,NaN,Do_Not_Divert,-0.9703931232739362,Divert,-0.55,Do_Not_Divert,-0.29405852220422307
PSU,003,Human_Single,Sample-Exam-1,1,6,40950.0,1,0.7,0.2199268518374785,5,1,0.8,7800.0,0.8,0.8,5273.0,0.75,0.5599999999999999,7519.0,0.6,0.7499999999999999,6209.0,0.7,0.7924528301886792,NaN,Divert,-0.30000000000000004,Divert,-0.30000000000000004,Divert,-0.20754716981132082
PSU,003,Human_Single,Sample-Exam-1,1,7,35146.0,1,0.4,0.20731014083602806,3,0,0.6,6427.0,0.6,0.6,4649.0,0.5,0.24,7940.0,0.4,0.3333333333333333,4665.0,0.45,0.13636363636363635,NaN,Do_Not_Divert,-0.7902626197427243,Divert,-0.55,Do_Not_Divert,-0.23947352113415885
PSU,003,Human_Single,Sample-Exam-1,1,8,46957.0,1,0.7,0.2820442849216881,3,1,0.2,12199.0,0.2,0.2,9813.0,0.45,0.13999999999999999,7020.0,0.6,0.7499999999999999,5117.0,0.55,0.32812499999999983,NaN,Do_Not_Divert,-0.7192538597584294,Divert,-0.44999999999999996,Do_Not_Divert,-0.42910031406042637
PSU,003,Human_Single,Sample-Exam-1,1,9,37393.0,1,0.9,0.22068185914010596,3,0,0.6,6334.0,0.6,0.6,7410.0,0.8,0.54,5600.0,0.4,0.3333333333333333,7129.0,0.6,0.3698630136986301,NaN,Do_Not_Divert,-1.0055453070956184,Divert,-0.4,Do_Not_Divert,-0.6198566961548333
PSU,003,Human_Single,Sample-Exam-1,1,10,50201.0,1,1.0,0.3162001027225234,4,0,0.4,8642.0,0.4,0.4,6240.0,0.7,0.4,7894.0,0.4,0.3333333333333333,12464.0,0.55,0.25,NaN,Do_Not_Divert,-0.8087195480208971,Divert,-0.44999999999999996,Do_Not_Divert,-0.3675997945549532
PSU,004,Human_Single,Sample-Exam-1,1,1,501136.0,1,1.0,0.11936008179624569,5,0,0.8,28376.0,0.8,0.8,42338.0,0.8,0.8,71713.0,0.4,0.3333333333333333,313670.0,0.48,0.6666666666666665,NaN,Do_Not_Divert,-1.8270716073780207,Divert,-0.52,Divert,-0.3333333333333335
PSU,004,Human_Single,Sample-Exam-1,1,2,448828.0,1,1.0,0.16330383067108623,5,1,0.8,23853.0,0.8,0.8,6693.0,0.8,0.8,262174.0,0.6,0.7499999999999999,130681.0,0.75,0.923076923076923,NaN,Divert,-0.25,Divert,-0.25,Divert,-0.07692307692307698
PSU,004,Human_Single,Sample-Exam-1,1,3,287774.0,1,0.4,0.14276261550754787,2,0,0.6,11622.0,0.6,0.6,58235.0,0.53,0.24,25834.0,0.4,0.3333333333333333,173145.0,0.5,0.13636363636363635,NaN,Do_Not_Divert,-0.7144747689849043,Divert,-0.5,Do_Not_Divert,-0.19485675517770115
PSU,004,Human_Single,Sample-Exam-1,1,4,77547.0,1,0.4,0.11861665779644381,2,0,0.6,11294.0,0.6,0.6,35053.0,0.53,0.24,8237.0,0.4,0.3333333333333333,7020.0,0.5,0.13636363636363635,NaN,Do_Not_Divert,-0.7627666844071124,Divert,-0.5,Do_Not_Divert,-0.2080272775655761
PSU,004,Human_Single,Sample-Exam-1,1,5,46442.0,1,0.4,0.14059513952817182,3,0,0.6,9687.0,0.6,0.6,8689.0,0.53,0.24,9891.0,0.4,0.3333333333333333,5507.0,0.5,0.13636363636363635,NaN,Do_Not_Divert,-1.0782145814154847,Divert,-0.5,Do_Not_Divert,-0.29405852220422307
PSU,004,Human_Single,Sample-Exam-1,1,6,163972.0,1,0.7,0.2199268518374785,5,1,0.8,11669.0,0.8,0.8,66300.0,0.77,0.5599999999999999,7566.0,0.6,0.7499999999999999,66409.0,0.73,0.7924528301886792,NaN,Divert,-0.27,Divert,-0.27,Divert,-0.20754716981132082
PSU,004,Human_Single,Sample-Exam-1,1,7,38672.0,1,0.4,0.20731014083602806,3,0,0.6,10093.0,0.6,0.6,6427.0,0.53,0.24,6209.0,0.4,0.3333333333333333,5881.0,0.5,0.13636363636363635,NaN,Do_Not_Divert,-0.8780695774919158,Divert,-0.5,Do_Not_Divert,-0.23947352113415885
PSU,004,Human_Single,Sample-Exam-1,1,8,145034.0,1,0.7,0.2820442849216881,3,1,0.2,9953.0,0.2,0.2,83070.0,0.36,0.13999999999999999,8502.0,0.6,0.7499999999999999,34382.0,0.42,0.32812499999999983,NaN,Do_Not_Divert,-0.549248401997346,Do_Not_Divert,-0.549248401997346,Do_Not_Divert,-0.42910031406042637
PSU,004,Human_Single,Sample-Exam-1,1,9,77064.0,1,0.9,0.22068185914010596,3,0,0.6,10780.0,0.6,0.6,12261.0,0.7,0.54,6708.0,0.4,0.3333333333333333,35350.0,0.62,0.3698630136986301,NaN,Do_Not_Divert,-1.0390634839988058,Divert,-0.38,Do_Not_Divert,-0.6198566961548333
PSU,004,Human_Single,Sample-Exam-1,1,10,67673.0,1,1.0,0.3162001027225234,4,0,0.4,13323.0,0.4,0.4,17846.0,0.6,0.4,5959.0,0.4,0.3333333333333333,21122.0,0.55,0.25,NaN,Do_Not_Divert,-0.8087195480208971,Divert,-0.44999999999999996,Do_Not_Divert,-0.3675997945549532
PSU,005,Human_Single,Sample-Exam-1,1,1,485364.0,1,1.0,0.11936008179624569,5,0,0.8,50462.0,0.8,0.8,213490.0,0.9,0.8,114220.0,0.4,0.3333333333333333,22262.0,0.9,0.6666666666666665,NaN,Do_Not_Divert,-3.425759263833789,Divert,-0.09999999999999998,Divert,-0.3333333333333335
PSU,005,Human_Single,Sample-Exam-1,1,2,310399.0,1,1.0,0.16330383067108623,5,1,0.8,20348.0,0.8,0.8,5759.0,0.9,0.8,17368.0,0.6,0.7499999999999999,16018.0,0.9,0.923076923076923,NaN,Divert,-0.09999999999999998,Divert,-0.09999999999999998,Divert,-0.07692307692307698
PSU,005,Human_Single,Sample-Exam-1,1,3,1421541.0,1,0.4,0.14276261550754787,2,0,0.6,17886.0,0.6,0.6,20765.0,0.5,0.24,21698.0,0.4,0.3333333333333333,12892.0,0.5,0.13636363636363635,NaN,Do_Not_Divert,-0.7144747689849043,Divert,-0.5,Do_Not_Divert,-0.19485675517770115
