Subject_number,Phase_number,Trial_number,Query_type,Layer_type,Phase_type,Presentation_order,User_choice,Trial_time,Trial_score,Specified_answer,Normalization_compensation,Number_probability_sets,Number_facilities,Max_probs_in_set,WTAnh,WTAnr,TVDnh,TVDnr,KLDnh,KLDnr,KLDSnh,KLDSnr,RMSnh,RMSnr,Probs_norm_1_1,Probs_norm_1_2,Probs_norm_1_3,Probs_norm_1_4,Probs_norm_2_1,Probs_norm_2_2,Probs_norm_2_3,Probs_norm_2_4,Probs_norm_3_1,Probs_norm_3_2,Probs_norm_3_3,Probs_norm_3_4,Probs_human_1_1,Probs_human_1_2,Probs_human_1_3,Probs_human_1_4,Probs_human_2_1,Probs_human_2_2,Probs_human_2_3,Probs_human_2_4,Probs_human_3_1,Probs_human_3_2,Probs_human_3_3,Probs_human_3_4,Probs_random_1_1,Probs_random_1_2,Probs_random_1_3,Probs_random_1_4,Probs_random_2_1,Probs_random_2_2,Probs_random_2_3,Probs_random_2_4,Probs_random_3_1,Probs_random_3_2,Probs_random_3_3,Probs_random_3_4,Raw_probs_human_1_1,Raw_probs_human_1_2,Raw_probs_human_1_3,Raw_probs_human_1_4,Raw_probs_human_2_1,Raw_probs_human_2_2,Raw_probs_human_2_3,Raw_probs_human_2_4,Raw_probs_human_3_1,Raw_probs_human_3_2,Raw_probs_human_3_3,Raw_probs_human_3_4
3,12,1,Identify,Simultaneous,2,0,0,12046,13.4445,B,0.23,1,3,4,0,0,0.49988,0.66655,0.99828,1.5832,3.4064,5.6304,0.37973,0.47132,5.6233e-007,0.99988,0.00011996,0,0,0,0,0,0,0,0,0,0.08,0.5,0.42,0,0,0,0,0,0,0,0,0,0.33333,0.33333,0.33333,0,0,0,0,0,0,0,0,0,0.09,0.62,0.52,0,0,0,0,0,0,0,0,0
3,12,2,Identify,Simultaneous,2,0,0,10891,43.8687,C,0.15,1,3,4,0,0,0.37239,0.49905,0.51216,0.92291,0.88639,1.7741,0.2637,0.35928,0.16648,0.001138,0.83239,0,0,0,0,0,0,0,0,0,0.37,0.17,0.46,0,0,0,0,0,0,0,0,0,0.33333,0.33333,0.33333,0,0,0,0,0,0,0,0,0,0.42,0.2,0.53,0,0,0,0,0,0,0,0,0
3,12,3,Identify,Simultaneous,2,0,0,10984,17.2242,A,0.26,1,3,4,0,0,0.45616,0.66282,0.86317,1.5486,3.9264,4.6738,0.34558,0.46869,0.99616,8.7573e-007,0.0038432,0,0,0,0,0,0,0,0,0,0.54,0.38,0.08,0,0,0,0,0,0,0,0,0,0.33333,0.33333,0.33333,0,0,0,0,0,0,0,0,0,0.67,0.48,0.11,0,0,0,0,0,0,0,0,0
3,14,1,Identify,Simultaneous,2,0,0,12735,34.2754,B,0.5,1,4,4,1,0,0.48065,0.48065,0.79275,0.9009,1.0691,1.6976,0.27974,0.284,0.00031558,0.73065,0.17041,0.098621,0,0,0,0,0,0,0,0,0.11,0.25,0.38,0.26,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0.15,0.37,0.58,0.4,0,0,0,0,0,0,0,0
3,14,2,Identify,Simultaneous,2,0,0,9875,3.5937,A,0.67,1,4,4,1,0,0.73516,0.73516,1.8713,1.8716,3.0523,3.1044,0.42656,0.42445,0.98516,0.00048103,0.0057011,0.0086605,0,0,0,0,0,0,0,0,0.25,0.21,0.32,0.22,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0.41,0.34,0.55,0.37,0,0,0,0,0,0,0,0
3,14,3,Identify,Simultaneous,2,0,0,10422,13.5312,C,0.8,1,4,4,1,0,0.59821,0.60821,1.1836,1.2909,1.3841,1.6411,0.34758,0.35372,0.012714,0.11681,0.85821,0.012263,0,0,0,0,0,0,0,0,0.18,0.38,0.26,0.18,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0.32,0.67,0.47,0.34,0,0,0,0,0,0,0,0
3,14,4,Identify,Simultaneous,2,0,0,4422,26.0479,D,0,1,4,4,0,0,0.42386,0.42386,0.79951,0.79951,1.2791,1.2791,0.25887,0.25887,0.0021563,0.23773,0.086252,0.67386,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0
3,16,1,Identify,Simultaneous,2,0,0,16812,18.4162,C,0.3,1,4,4,0,0,0.5375,0.7175,1.0052,1.7666,1.5441,2.7566,0.32112,0.41436,0.005375,0.00088183,0.9675,0.026246,0,0,0,0,0,0,0,0,0.11,0.12,0.43,0.34,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0.13,0.15,0.57,0.45,0,0,0,0,0,0,0,0
3,16,2,Identify,Simultaneous,2,0,0,12250,1.814,A,0.38,1,4,4,1,0,0.81572,0.74572,2.4294,1.958,4.8112,4.3287,0.47741,0.43054,0.99572,2.1008e-005,0.0038415,0.00041683,0,0,0,0,0,0,0,0,0.18,0.17,0.26,0.39,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0.24,0.24,0.36,0.54,0,0,0,0,0,0,0,0
3,16,3,Identify,Simultaneous,2,0,0,10813,30.0342,D,0.3,1,4,4,1,0,0.39666,0.48086,0.7272,0.96025,1.226,1.7458,0.2332,0.2677,0.00090055,0.018236,0.3242,0.65666,0,0,0,0,0,0,0,0,0.19,0.16,0.39,0.26,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0.24,0.21,0.51,0.34,0,0,0,0,0,0,0,0
