Subject_number,Phase_number,Trial_number,Query_type,Layer_type,Phase_type,Presentation_order,User_choice,Trial_time,Trial_score,Specified_answer,Normalization_compensation,Number_probability_sets,Number_facilities,Max_probs_in_set,WTAnh,WTAnr,TVDnh,TVDnr,KLDnh,KLDnr,KLDSnh,KLDSnr,RMSnh,RMSnr,Probs_norm_1_1,Probs_norm_1_2,Probs_norm_1_3,Probs_norm_1_4,Probs_norm_2_1,Probs_norm_2_2,Probs_norm_2_3,Probs_norm_2_4,Probs_norm_3_1,Probs_norm_3_2,Probs_norm_3_3,Probs_norm_3_4,Probs_human_1_1,Probs_human_1_2,Probs_human_1_3,Probs_human_1_4,Probs_human_2_1,Probs_human_2_2,Probs_human_2_3,Probs_human_2_4,Probs_human_3_1,Probs_human_3_2,Probs_human_3_3,Probs_human_3_4,Probs_random_1_1,Probs_random_1_2,Probs_random_1_3,Probs_random_1_4,Probs_random_2_1,Probs_random_2_2,Probs_random_2_3,Probs_random_2_4,Probs_random_3_1,Probs_random_3_2,Probs_random_3_3,Probs_random_3_4,Raw_probs_human_1_1,Raw_probs_human_1_2,Raw_probs_human_1_3,Raw_probs_human_1_4,Raw_probs_human_2_1,Raw_probs_human_2_2,Raw_probs_human_2_3,Raw_probs_human_2_4,Raw_probs_human_3_1,Raw_probs_human_3_2,Raw_probs_human_3_3,Raw_probs_human_3_4
17,2,1,Identify,Simultaneous,2,0,0,29852,23.1623,A,0,1,2,4,0,0,0.36996,0.49996,0.666,0.99939,2.5776,3.6753,0.36996,0.49996,0.99996,3.7507e-005,0,0,0,0,0,0,0,0,0,0,0.63,0.37,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.63,0.37,0,0,0,0,0,0,0,0,0,0
17,2,2,Identify,Simultaneous,2,0,0,15386,54.3526,B,0,1,2,4,0,0,0.19986,0.49986,0.32017,0.99796,1.0754,3.1896,0.19986,0.49986,0.00014395,0.99986,0,0,0,0,0,0,0,0,0,0,0.2,0.8,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.2,0.8,0,0,0,0,0,0,0,0,0,0
17,4,1,Identify,Simultaneous,2,0,0,31253,23.1623,B,0,1,2,4,0,0,0.36774,0.49774,0.64517,0.97686,1.474,2.1862,0.36774,0.49774,0.0022624,0.99774,0,0,0,0,0,0,0,0,0,0,0.37,0.63,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.37,0.63,0,0,0,0,0,0,0,0,0,0
17,4,2,Identify,Simultaneous,2,0,0,20547,21.8917,A,0,1,2,4,0,0,0.37463,0.49463,0.64522,0.95176,1.2786,1.8629,0.37463,0.49463,0.99463,0.0053722,0,0,0,0,0,0,0,0,0,0,0.62,0.38,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.62,0.38,0,0,0,0,0,0,0,0,0,0
17,6,1,Identify,Simultaneous,2,0,0,17495,2.1422,A,0,1,2,4,1,0,0.70998,0.49998,1.7855,0.99964,5.9724,3.883,0.70998,0.49998,0.99998,2.1098e-005,0,0,0,0,0,0,0,0,0,0,0.29,0.71,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.29,0.71,0,0,0,0,0,0,0,0,0,0
17,6,2,Identify,Simultaneous,2,0,0,17528,61.7844,B,0,1,2,4,0,0,0.17,0.5,0.26882,1,2.0098,6.483,0.17,0.5,1.5622e-008,1,0,0,0,0,0,0,0,0,0,0,0.17,0.83,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.17,0.83,0,0,0,0,0,0,0,0,0,0
17,8,1,Identify,Simultaneous,2,0,0,31332,80.5131,A,0,1,3,4,0,0,0.089441,0.53545,0.10183,0.97121,0.15195,1.3297,0.066225,0.38128,0.86878,0.010558,0.12066,0,0,0,0,0,0,0,0,0,0.8,0.1,0.1,0,0,0,0,0,0,0,0,0,0.33333,0.33333,0.33333,0,0,0,0,0,0,0,0,0,0.8,0.1,0.1,0,0,0,0,0,0,0,0,0
17,8,2,Identify,Simultaneous,2,0,0,29761,59.2365,B,0,1,3,4,0,0,0.24473,0.6414,0.33923,1.4148,1.0207,3.7312,0.17335,0.45365,5.1976e-006,0.97473,0.02526,0,0,0,0,0,0,0,0,0,0.11,0.73,0.16,0,0,0,0,0,0,0,0,0,0.33333,0.33333,0.33333,0,0,0,0,0,0,0,0,0,0.11,0.73,0.16,0,0,0,0,0,0,0,0,0
17,8,3,Identify,Simultaneous,2,0,0,28689,4.2593,C,0,1,3,4,1,0,0.71079,0.64746,1.7393,1.4468,3.3203,3.031,0.50344,0.45789,0.00013454,0.019071,0.98079,0,0,0,0,0,0,0,0,0,0.32,0.41,0.27,0,0,0,0,0,0,0,0,0,0.33333,0.33333,0.33333,0,0,0,0,0,0,0,0,0,0.32,0.41,0.27,0,0,0,0,0,0,0,0,0
17,10,1,Identify,Simultaneous,2,0,0,23054,12.6338,B,0,1,3,4,0,0,0.52876,0.66543,1.0761,1.5711,3.0966,4.4634,0.37757,0.47053,6.8474e-006,0.99876,0.0012325,0,0,0,0,0,0,0,0,0,0.2,0.47,0.33,0,0,0,0,0,0,0,0,0,0.33333,0.33333,0.33333,0,0,0,0,0,0,0,0,0,0.2,0.47,0.33,0,0,0,0,0,0,0,0,0
17,10,2,Identify,Simultaneous,2,0,0,13234,9.3594,A,0,1,3,4,1,0,0.55871,0.66538,1.1701,1.5707,3.0454,4.7113,0.42134,0.47049,0.99871,2.3413e-006,0.0012844,0,0,0,0,0,0,0,0,0,0.44,0.1,0.46,0,0,0,0,0,0,0,0,0,0.33333,0.33333,0.33333,0,0,0,0,0,0,0,0,0,0.44,0.1,0.46,0,0,0,0,0,0,0,0,0
17,10,3,Identify,Simultaneous,2,0,0,23489,10.1363,C,0,1,3,4,1,0,0.50925,0.33299,1.6974,0.59105,2.4086,1.7567,0.36197,0.24041,0.00034521,0.44041,0.55925,0,0,0,0,0,0,0,0,0,0.3,0.65,0.05,0,0,0,0,0,0,0,0,0,0.33333,0.33333,0.33333,0,0,0,0,0,0,0,0,0,0.3,0.65,0.05,0,0,0,0,0,0,0,0,0
17,12,1,Identify,Simultaneous,2,0,0,22323,57.4843,B,0,1,3,4,0,0,0.21988,0.66655,0.35715,1.5832,1.7573,5.6304,0.16076,0.47132,5.6233e-007,0.99988,0.00011996,0,0,0,0,0,0,0,0,0,0.16,0.78,0.06,0,0,0,0,0,0,0,0,0,0.33333,0.33333,0.33333,0,0,0,0,0,0,0,0,0,0.16,0.78,0.06,0,0,0,0,0,0,0,0,0
