Subject_number,Phase_number,Trial_number,Query_type,Layer_type,Phase_type,Presentation_order,User_choice,Trial_time,Trial_score,Specified_answer,Normalization_compensation,Number_probability_sets,Number_facilities,Max_probs_in_set,WTAnh,WTAnr,TVDnh,TVDnr,KLDnh,KLDnr,KLDSnh,KLDSnr,RMSnh,RMSnr,Probs_norm_1_1,Probs_norm_1_2,Probs_norm_1_3,Probs_norm_1_4,Probs_norm_2_1,Probs_norm_2_2,Probs_norm_2_3,Probs_norm_2_4,Probs_norm_3_1,Probs_norm_3_2,Probs_norm_3_3,Probs_norm_3_4,Probs_human_1_1,Probs_human_1_2,Probs_human_1_3,Probs_human_1_4,Probs_human_2_1,Probs_human_2_2,Probs_human_2_3,Probs_human_2_4,Probs_human_3_1,Probs_human_3_2,Probs_human_3_3,Probs_human_3_4,Probs_random_1_1,Probs_random_1_2,Probs_random_1_3,Probs_random_1_4,Probs_random_2_1,Probs_random_2_2,Probs_random_2_3,Probs_random_2_4,Probs_random_3_1,Probs_random_3_2,Probs_random_3_3,Probs_random_3_4,Raw_probs_human_1_1,Raw_probs_human_1_2,Raw_probs_human_1_3,Raw_probs_human_1_4,Raw_probs_human_2_1,Raw_probs_human_2_2,Raw_probs_human_2_3,Raw_probs_human_2_4,Raw_probs_human_3_1,Raw_probs_human_3_2,Raw_probs_human_3_3,Raw_probs_human_3_4
8,2,1,Identify,Simultaneous,2,0,0,22303,45.3046,A,0.14,1,2,4,0,0,0.23996,0.49996,0.39539,0.99939,1.5645,3.6753,0.23996,0.49996,0.99996,3.7507e-005,0,0,0,0,0,0,0,0,0,0,0.76,0.24,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.86,0.28,0,0,0,0,0,0,0,0,0,0
8,2,2,Identify,Simultaneous,2,0,0,19090,18.4066,B,0.27,1,2,4,0,0,0.40986,0.49986,0.75924,0.99796,2.5077,3.1896,0.40986,0.49986,0.00014395,0.99986,0,0,0,0,0,0,0,0,0,0,0.41,0.59,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.52,0.75,0,0,0,0,0,0,0,0,0,0
8,4,1,Identify,Simultaneous,2,0,0,23957,24.4898,B,0.17,1,2,4,0,0,0.35774,0.49774,0.62259,0.97686,1.4228,2.1862,0.35774,0.49774,0.0022624,0.99774,0,0,0,0,0,0,0,0,0,0,0.36,0.64,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.41,0.76,0,0,0,0,0,0,0,0,0,0
8,4,2,Identify,Simultaneous,2,0,0,17343,18.4066,A,0.2,1,2,4,0,0,0.40463,0.49463,0.7158,0.95176,1.4177,1.8629,0.40463,0.49463,0.99463,0.0053722,0,0,0,0,0,0,0,0,0,0,0.59,0.41,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.7,0.5,0,0,0,0,0,0,0,0,0,0
8,6,1,Identify,Simultaneous,2,0,0,35878,14.4633,A,0.1,1,2,4,0,0,0.44998,0.49998,0.86214,0.99964,3.4295,3.883,0.44998,0.49998,0.99998,2.1098e-005,0,0,0,0,0,0,0,0,0,0,0.55,0.45,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.6,0.5,0,0,0,0,0,0,0,0,0,0
8,6,2,Identify,Simultaneous,2,0,0,13602,47.4688,B,0.01,1,2,4,0,0,0.23,0.5,0.37707,1,2.7817,6.483,0.23,0.5,1.5622e-008,1,0,0,0,0,0,0,0,0,0,0,0.23,0.77,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.23,0.78,0,0,0,0,0,0,0,0,0,0
8,8,1,Identify,Simultaneous,2,0,0,18954,27.1385,A,0.43,1,3,4,0,0,0.39878,0.53545,0.60675,0.97121,0.9264,1.3297,0.29141,0.38128,0.86878,0.010558,0.12066,0,0,0,0,0,0,0,0,0,0.47,0.3,0.23,0,0,0,0,0,0,0,0,0,0.33333,0.33333,0.33333,0,0,0,0,0,0,0,0,0,0.67,0.43,0.33,0,0,0,0,0,0,0,0,0
8,8,2,Identify,Simultaneous,2,0,0,13182,15.2159,B,0.42,1,3,4,0,0,0.54473,0.6414,1.0571,1.4148,2.7458,3.7312,0.38609,0.45365,5.1976e-006,0.97473,0.02526,0,0,0,0,0,0,0,0,0,0.24,0.43,0.33,0,0,0,0,0,0,0,0,0,0.33333,0.33333,0.33333,0,0,0,0,0,0,0,0,0,0.33,0.61,0.48,0,0,0,0,0,0,0,0,0
8,8,3,Identify,Simultaneous,2,0,0,20935,12.2838,C,0.3,1,3,4,0,0,0.56079,0.64746,1.1149,1.4468,2.1133,3.031,0.40495,0.45789,0.00013454,0.019071,0.98079,0,0,0,0,0,0,0,0,0,0.18,0.4,0.42,0,0,0,0,0,0,0,0,0,0.33333,0.33333,0.33333,0,0,0,0,0,0,0,0,0,0.23,0.52,0.55,0,0,0,0,0,0,0,0,0
8,10,1,Identify,Simultaneous,2,0,0,25818,1.6083,B,0.67,1,3,4,1,0,0.79876,0.66543,2.3067,1.5711,5.6097,4.4634,0.56572,0.47053,6.8474e-006,0.99876,0.0012325,0,0,0,0,0,0,0,0,0,0.36,0.2,0.44,0,0,0,0,0,0,0,0,0,0.33333,0.33333,0.33333,0,0,0,0,0,0,0,0,0,0.59,0.33,0.75,0,0,0,0,0,0,0,0,0
8,10,2,Identify,Simultaneous,2,0,0,13463,2.1213,A,0.48,1,3,4,1,0,0.76871,0.66538,2.1047,1.5707,5.355,4.7113,0.54791,0.47049,0.99871,2.3413e-006,0.0012844,0,0,0,0,0,0,0,0,0,0.23,0.3,0.47,0,0,0,0,0,0,0,0,0,0.33333,0.33333,0.33333,0,0,0,0,0,0,0,0,0,0.33,0.44,0.71,0,0,0,0,0,0,0,0,0
8,10,3,Identify,Simultaneous,2,0,0,10062,16.1114,C,0.48,1,3,4,1,0,0.42966,0.33299,0.81557,0.59105,2.3901,1.7567,0.30385,0.24041,0.00034521,0.44041,0.55925,0,0,0,0,0,0,0,0,0,0.43,0.22,0.35,0,0,0,0,0,0,0,0,0,0.33333,0.33333,0.33333,0,0,0,0,0,0,0,0,0,0.63,0.33,0.52,0,0,0,0,0,0,0,0,0
8,12,1,Identify,Simultaneous,2,0,0,18080,13.3772,B,0.51,1,3,4,0,0,0.51988,0.66655,1.0572,1.5832,3.9045,5.6304,0.37202,0.47132,5.6233e-007,0.99988,0.00011996,0,0,0,0,0,0,0,0,0,0.19,0.48,0.33,0,0,0,0,0,0,0,0,0,0.33333,0.33333,0.33333,0,0,0,0,0,0,0,0,0,0.28,0.73,0.5,0,0,0,0,0,0,0,0,0
