Subject_number,Phase_number,Trial_number,Surprise,Trial_time,Group_time,Surprise_time,Allocation_time,Probabilities_score,Troop_allocation_score,Number_probability_sets,Number_groups,Max_probs_in_set,Layer_type_1,Layer_type_2,Layer_type_3,Layer_type_4,Layer_type_5,Layer_Surprise_1,Layer_Surprise_2,Layer_Surprise_3,Layer_Surprise_4,Layer_Surprise_5,Layer_Surprise_Time_1,Layer_Surprise_Time_2,Layer_Surprise_Time_3,Layer_Surprise_Time_4,Layer_Surprise_Time_5,Center_X_1,Center_X_2,Center_X_3,Center_X_4,Center_Y_1,Center_Y_2,Center_Y_3,Center_Y_4,Circle_R_1,Circle_R_2,Circle_R_3,Circle_R_4,Human_probs_1_1,Human_probs_1_2,Human_probs_1_3,Human_probs_1_4,Human_probs_2_1,Human_probs_2_2,Human_probs_2_3,Human_probs_2_4,Human_probs_3_1,Human_probs_3_2,Human_probs_3_3,Human_probs_3_4,Human_probs_4_1,Human_probs_4_2,Human_probs_4_3,Human_probs_4_4,Human_probs_5_1,Human_probs_5_2,Human_probs_5_3,Human_probs_5_4,Raw_human_probs_1_1,Raw_human_probs_1_2,Raw_human_probs_1_3,Raw_human_probs_1_4,Raw_human_probs_2_1,Raw_human_probs_2_2,Raw_human_probs_2_3,Raw_human_probs_2_4,Raw_human_probs_3_1,Raw_human_probs_3_2,Raw_human_probs_3_3,Raw_human_probs_3_4,Raw_human_probs_4_1,Raw_human_probs_4_2,Raw_human_probs_4_3,Raw_human_probs_4_4,Raw_human_probs_5_1,Raw_human_probs_5_2,Raw_human_probs_5_3,Raw_human_probs_5_4,Normative_probs_1_1,Normative_probs_1_2,Normative_probs_1_3,Normative_probs_1_4,Normative_probs_2_1,Normative_probs_2_2,Normative_probs_2_3,Normative_probs_2_4,Normative_probs_3_1,Normative_probs_3_2,Normative_probs_3_3,Normative_probs_3_4,Normative_probs_4_1,Normative_probs_4_2,Normative_probs_4_3,Normative_probs_4_4,Normative_probs_5_1,Normative_probs_5_2,Normative_probs_5_3,Normative_probs_5_4,Norm_allocation_1,Norm_allocation_2,Norm_allocation_3,Norm_allocation_4,Raw_allocation_1,Raw_allocation_2,Raw_allocation_3,Raw_allocation_4
2,6,1,2,153506,27925,3712,26879,77.9585,40,4,4,4,ns3:SocintLayer,ns3:MovintLayer,ns3:ImintLayer,NaN,NaN,0,2,1,NaN,NaN,7379,15756,8315,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,40,20,20,19,43,19,19,22,40,22,16,25,43,19,13,NaN,NaN,NaN,NaN,20,40,20,20,19,43,19,19,22,40,22,16,25,43,19,13,NaN,NaN,NaN,NaN,15.8022,50.481,6.8795,26.8374,10.5011,67.0928,4.5717,17.8344,28.925,46.2013,12.5926,12.2811,35.5585,56.797,3.8701,3.7744,NaN,NaN,NaN,NaN,22,40,22,16,22,40,22,16
2,6,2,1,189839,50139,6287,23416,45.0103,50,4,4,4,ns3:MovintLayer,ns3:ImintLayer,ns3:SigintLayer,NaN,NaN,1,1,2,NaN,NaN,8829,5258,5975,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31,18,36,15,27,22,40,11,23,18,44,15,21,16,50,13,NaN,NaN,NaN,NaN,31,18,36,15,27,22,40,11,23,18,44,15,21,16,50,13,NaN,NaN,NaN,NaN,29.7646,2.6251,67.0287,0.58162,27.1525,9.5789,61.1463,2.1223,9.3692,3.3053,84.3962,2.9293,1.5451,0.54509,97.4267,0.48308,NaN,NaN,NaN,NaN,21,16,50,13,21,16,50,13
2,6,3,2,180744,39749,4852,32573,86.249,39,4,4,4,ns3:SocintLayer,ns3:ImintLayer,ns3:MovintLayer,NaN,NaN,1,0,2,NaN,NaN,3338,10015,4743,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16,23,32,29,15,22,35,28,11,18,39,32,7,22,35,36,NaN,NaN,NaN,NaN,16,23,32,29,15,22,35,28,11,18,39,32,7,22,35,36,NaN,NaN,NaN,NaN,15.0668,24.0153,32.5391,28.3788,11.3678,18.1194,49.1011,21.4116,3.6489,5.8161,63.0435,27.4915,1.8252,11.6367,31.5339,55.0042,NaN,NaN,NaN,NaN,11,18,39,32,11,18,39,32
2,6,4,1,151556,42947,7083,12777,50.7457,47,4,4,4,ns3:ImintLayer,ns3:MovintLayer,ns3:SigintLayer,NaN,NaN,1,2,2,NaN,NaN,5944,6084,3541,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18,35,32,15,21,38,29,12,18,41,26,15,16,47,24,13,NaN,NaN,NaN,NaN,18,35,32,15,21,38,29,12,18,41,26,15,16,47,24,13,NaN,NaN,NaN,NaN,15.6944,44.4207,34.6502,5.2347,22.393,63.3799,12.3598,1.8672,7.5718,85.7234,4.1793,2.5255,1.2325,97.6761,0.68029,0.41109,NaN,NaN,NaN,NaN,16,47,24,13,16,47,24,13
2,6,5,1,176984,44117,6006,31918,55.9585,40,4,4,4,ns3:ImintLayer,ns3:MovintLayer,ns3:SigintLayer,NaN,NaN,1,1,2,NaN,NaN,6021,5943,7191,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32,31,6,31,28,27,10,35,32,23,14,31,38,21,12,29,NaN,NaN,NaN,NaN,32,31,6,31,28,27,10,35,32,23,14,31,38,21,12,29,NaN,NaN,NaN,NaN,39.4961,24.1299,0.00015107,36.3739,18.8866,11.5387,0.00028895,69.5744,5.5009,13.4429,8.4159e-005,81.0562,28.9508,10.107,6.3275e-005,60.9422,NaN,NaN,NaN,NaN,40,20,5,35,40,20,5,35
2,6,6,2,198747,59000,6490,52635,88.8602,31,4,4,4,ns3:ImintLayer,ns3:MovintLayer,ns3:SigintLayer,NaN,NaN,2,2,4,NaN,NaN,10670,6989,6598,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15,29,36,20,19,33,32,16,23,29,36,12,25,31,30,14,NaN,NaN,NaN,NaN,15,29,36,20,19,33,32,16,23,29,36,12,25,31,30,14,NaN,NaN,NaN,NaN,4.2951,22.2975,48.2634,25.1441,9.5565,49.6112,26.8461,13.9862,18.2717,23.7138,51.3291,6.6853,27.7767,36.0499,26.0103,10.1631,NaN,NaN,NaN,NaN,25,31,30,14,25,31,30,14
2,6,7,2,240352,36442,7878,21263,84.6827,25,4,4,4,ns3:ImintLayer,ns3:MovintLayer,ns3:SigintLayer,NaN,NaN,4,2,4,NaN,NaN,10498,5975,6880,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15,18,31,36,19,22,27,32,23,18,31,28,25,20,25,30,NaN,NaN,NaN,NaN,15,18,31,36,19,22,27,32,23,18,31,28,25,20,25,30,NaN,NaN,NaN,NaN,4.8859,12.8277,19.7589,62.5275,12.7619,33.5056,12.9025,40.8301,28.8415,18.9305,29.1593,23.0687,35.8011,23.4984,12.0652,28.6353,NaN,NaN,NaN,NaN,25,20,25,30,25,20,25,30
2,6,8,2,246296,43837,12246,45256,57.7247,56,4,4,4,ns3:SocintLayer,ns3:SigintLayer,ns3:MovintLayer,NaN,NaN,0,4,2,NaN,NaN,5787,3791,7348,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40,15,35,10,46,13,8,33,37,16,11,36,34,19,8,39,NaN,NaN,NaN,NaN,40,15,35,10,46,13,8,33,37,16,11,36,34,19,8,39,NaN,NaN,NaN,NaN,43.5908,12.8179,0.0004753,43.5908,60.7153,8.9267,0.00033101,30.3577,34.001,14.9971,0.00055611,51.0014,11.4099,20.1306,0.00018662,68.4593,NaN,NaN,NaN,NaN,34,10,0,56,34,10,0,56
2,6,9,3,180416,40061,12480,40779,51.0591,34,4,4,4,ns3:SocintLayer,ns3:ImintLayer,ns3:SigintLayer,NaN,NaN,1,3,1,NaN,NaN,7504,6614,3494,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15,19,33,33,13,17,39,31,16,20,36,28,14,18,42,26,NaN,NaN,NaN,NaN,15,19,33,33,13,17,39,31,16,20,36,28,14,18,42,26,NaN,NaN,NaN,NaN,1.5503,6.3575,53.562,38.5301,1.0096,4.14,69.7595,25.0909,3.4978,14.3442,60.4246,21.7334,0.75621,3.1011,91.444,4.6986,NaN,NaN,NaN,NaN,0,0,66,34,0,0,66,34
2,6,10,2,164208,39313,6833,20499,80.067,33,4,4,4,ns3:ImintLayer,ns3:MovintLayer,ns3:SigintLayer,NaN,NaN,1,1,4,NaN,NaN,15990,7800,3885,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,32,30,30,4,28,34,34,0,32,30,38,0,35,33,32,NaN,NaN,NaN,NaN,8,32,30,30,4,28,34,34,0,32,30,38,0,35,33,32,NaN,NaN,NaN,NaN,0.87569,60.202,17.5755,21.3469,0.40398,27.7727,32.432,39.3913,0.13399,36.847,10.7572,52.2619,0.20564,56.5495,16.5092,26.7357,NaN,NaN,NaN,NaN,0,35,33,32,0,35,33,32
2,6,11,6,184410,31310,9313,15569,26.1428,0,4,4,4,ns3:MovintLayer,ns3:ImintLayer,ns3:SigintLayer,NaN,NaN,2,1,1,NaN,NaN,14149,6068,3338,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15,15,40,30,20,10,45,25,25,15,40,20,21,11,52,16,NaN,NaN,NaN,NaN,15,15,40,30,20,10,45,25,25,15,40,20,21,11,52,16,NaN,NaN,NaN,NaN,0.011933,0.15654,75.1559,24.6756,0.014664,0.048092,92.3565,7.5807,0.058547,0.19201,92.1829,7.5665,0.0089645,0.029399,98.8031,1.1586,NaN,NaN,NaN,NaN,25,0,51,24,25,0,54,25
2,6,12,0,246222,146380,3651,28190,32.6367,52,4,4,4,ns3:ImintLayer,ns3:MovintLayer,ns3:SigintLayer,NaN,NaN,4,1,0,NaN,NaN,10499,5257,4352,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40,20,20,20,35,15,25,25,40,20,20,20,52,15,16,17,NaN,NaN,NaN,NaN,40,20,20,20,35,15,25,25,40,20,20,20,52,15,16,17,NaN,NaN,NaN,NaN,77.4219,0.070427,20.4262,2.0815,46.2157,0.04204,48.7723,4.97,48.0208,0.010921,50.6773,1.291,86.6076,0.0028137,13.057,0.33263,NaN,NaN,NaN,NaN,52,16,16,16,52,16,16,16
