site_id,response_generator_id,data_type,exam_id,task_number,trial_number,AA_measured,AA_magnitude,AA_exhibited,PDE_measured,PDE_magnitude,PDE_exhibited,RR_1_measured,RR_1_magnitude,RR_1_exhibited,RR_2_measured,RR_2_magnitude,RR_2_exhibited,AV_measured,AV_magnitude,AV_exhibited
PSU,106,Human_Single,Final-Exam-1,3,10,0,NaN,NaN,0,NaN,NaN,1,0.11600000000000005,1,1,0.244,1,0,NaN,NaN
PSU,107,Human_Single,Final-Exam-1,3,1,0,NaN,NaN,0,NaN,NaN,1,0.0,0,1,0.0,0,0,NaN,NaN
PSU,107,Human_Single,Final-Exam-1,3,2,0,NaN,NaN,0,NaN,NaN,1,0.0,0,1,0.0,0,0,NaN,NaN
PSU,107,Human_Single,Final-Exam-1,3,3,0,NaN,NaN,0,NaN,NaN,1,1.3877787807814457E-17,0,1,1.3877787807814457E-17,0,0,NaN,NaN
PSU,107,Human_Single,Final-Exam-1,3,4,0,NaN,NaN,0,NaN,NaN,1,-1.3877787807814457E-17,0,1,-2.7755575615628914E-17,0,0,NaN,NaN
PSU,107,Human_Single,Final-Exam-1,3,5,0,NaN,NaN,0,NaN,NaN,1,-1.3877787807814457E-17,0,1,-1.3877787807814457E-17,0,0,NaN,NaN
PSU,107,Human_Single,Final-Exam-1,3,6,0,NaN,NaN,0,NaN,NaN,1,-1.3877787807814457E-17,0,1,0.0,0,0,NaN,NaN
PSU,107,Human_Single,Final-Exam-1,3,7,0,NaN,NaN,0,NaN,NaN,1,-2.7755575615628914E-17,0,1,-1.3877787807814457E-17,0,0,NaN,NaN
PSU,107,Human_Single,Final-Exam-1,3,8,0,NaN,NaN,0,NaN,NaN,1,5.551115123125783E-17,0,1,1.3877787807814457E-17,0,0,NaN,NaN
PSU,107,Human_Single,Final-Exam-1,3,9,0,NaN,NaN,0,NaN,NaN,1,0.0,0,1,-6.938893903907228E-18,0,0,NaN,NaN
PSU,107,Human_Single,Final-Exam-1,3,10,0,NaN,NaN,0,NaN,NaN,1,5.551115123125783E-17,0,1,5.551115123125783E-17,0,0,NaN,NaN
PSU,108,Human_Single,Final-Exam-1,3,1,0,NaN,NaN,0,NaN,NaN,1,0.0,0,1,0.0,0,0,NaN,NaN
PSU,108,Human_Single,Final-Exam-1,3,2,0,NaN,NaN,0,NaN,NaN,1,0.18,1,1,0.22000000000000003,1,0,NaN,NaN
PSU,108,Human_Single,Final-Exam-1,3,3,0,NaN,NaN,0,NaN,NaN,1,0.07,1,1,0.13000000000000006,1,0,NaN,NaN
PSU,108,Human_Single,Final-Exam-1,3,4,0,NaN,NaN,0,NaN,NaN,1,0.24999999999999997,1,1,0.14999999999999997,1,0,NaN,NaN
PSU,108,Human_Single,Final-Exam-1,3,5,0,NaN,NaN,0,NaN,NaN,1,0.18999999999999995,1,1,0.18999999999999995,1,0,NaN,NaN
PSU,108,Human_Single,Final-Exam-1,3,6,0,NaN,NaN,0,NaN,NaN,1,0.31000000000000005,1,1,0.08999999999999997,1,0,NaN,NaN
PSU,108,Human_Single,Final-Exam-1,3,7,0,NaN,NaN,0,NaN,NaN,1,0.3635,1,1,0.22649999999999998,1,0,NaN,NaN
PSU,108,Human_Single,Final-Exam-1,3,8,0,NaN,NaN,0,NaN,NaN,1,0.2875,1,1,0.00250000000000003,1,0,NaN,NaN
PSU,108,Human_Single,Final-Exam-1,3,9,0,NaN,NaN,0,NaN,NaN,1,0.26,1,1,0.18999999999999995,1,0,NaN,NaN
PSU,108,Human_Single,Final-Exam-1,3,10,0,NaN,NaN,0,NaN,NaN,1,0.00250000000000003,1,1,0.2875,1,0,NaN,NaN
PSU,109,Human_Single,Final-Exam-1,3,1,0,NaN,NaN,0,NaN,NaN,1,0.395,1,1,0.395,1,0,NaN,NaN
PSU,109,Human_Single,Final-Exam-1,3,2,0,NaN,NaN,0,NaN,NaN,1,0.177,1,1,0.413,1,0,NaN,NaN
PSU,109,Human_Single,Final-Exam-1,3,3,0,NaN,NaN,0,NaN,NaN,1,0.11600000000000005,1,1,0.174,1,0,NaN,NaN
PSU,109,Human_Single,Final-Exam-1,3,4,0,NaN,NaN,0,NaN,NaN,1,0.1475,1,1,0.4424999999999999,1,0,NaN,NaN
PSU,109,Human_Single,Final-Exam-1,3,5,0,NaN,NaN,0,NaN,NaN,1,0.295,1,1,0.295,1,0,NaN,NaN
PSU,109,Human_Single,Final-Exam-1,3,6,0,NaN,NaN,0,NaN,NaN,1,0.21999999999999997,1,1,0.31999999999999995,1,0,NaN,NaN
PSU,109,Human_Single,Final-Exam-1,3,7,0,NaN,NaN,0,NaN,NaN,1,0.44000000000000006,1,1,0.22000000000000003,1,0,NaN,NaN
PSU,109,Human_Single,Final-Exam-1,3,8,0,NaN,NaN,0,NaN,NaN,1,0.22349999999999998,1,1,0.2065,1,0,NaN,NaN
PSU,109,Human_Single,Final-Exam-1,3,9,0,NaN,NaN,0,NaN,NaN,1,0.22999999999999998,1,1,0.21,1,0,NaN,NaN
PSU,109,Human_Single,Final-Exam-1,3,10,0,NaN,NaN,0,NaN,NaN,1,0.017000000000000015,1,1,0.413,1,0,NaN,NaN
PSU,110,Human_Single,Final-Exam-1,3,1,0,NaN,NaN,0,NaN,NaN,1,0.35,1,1,0.35,1,0,NaN,NaN
PSU,110,Human_Single,Final-Exam-1,3,2,0,NaN,NaN,0,NaN,NaN,1,0.22999999999999998,1,1,0.22999999999999998,1,0,NaN,NaN
PSU,110,Human_Single,Final-Exam-1,3,3,0,NaN,NaN,0,NaN,NaN,1,0.33,1,1,0.33,1,0,NaN,NaN
PSU,110,Human_Single,Final-Exam-1,3,4,0,NaN,NaN,0,NaN,NaN,1,0.21999999999999997,1,1,0.24,1,0,NaN,NaN
PSU,110,Human_Single,Final-Exam-1,3,5,0,NaN,NaN,0,NaN,NaN,1,0.21999999999999997,1,1,0.21999999999999997,1,0,NaN,NaN
PSU,110,Human_Single,Final-Exam-1,3,6,0,NaN,NaN,0,NaN,NaN,1,0.22000000000000003,1,1,0.23000000000000004,1,0,NaN,NaN
PSU,110,Human_Single,Final-Exam-1,3,7,0,NaN,NaN,0,NaN,NaN,1,0.24,1,1,0.21999999999999997,1,0,NaN,NaN
PSU,110,Human_Single,Final-Exam-1,3,8,0,NaN,NaN,0,NaN,NaN,1,0.2700000000000001,1,1,0.33,1,0,NaN,NaN
PSU,110,Human_Single,Final-Exam-1,3,9,0,NaN,NaN,0,NaN,NaN,1,0.22999999999999998,1,1,0.21,1,0,NaN,NaN
PSU,110,Human_Single,Final-Exam-1,3,10,0,NaN,NaN,0,NaN,NaN,1,0.16550000000000004,1,1,0.2645,1,0,NaN,NaN
PSU,111,Human_Single,Final-Exam-1,3,1,0,NaN,NaN,0,NaN,NaN,1,0.395,1,1,0.395,1,0,NaN,NaN
PSU,111,Human_Single,Final-Exam-1,3,2,0,NaN,NaN,0,NaN,NaN,1,0.22999999999999998,1,1,0.22999999999999998,1,0,NaN,NaN
PSU,111,Human_Single,Final-Exam-1,3,3,0,NaN,NaN,0,NaN,NaN,1,0.33,1,1,0.33,1,0,NaN,NaN
PSU,111,Human_Single,Final-Exam-1,3,4,0,NaN,NaN,0,NaN,NaN,1,0.21999999999999997,1,1,0.24,1,0,NaN,NaN
PSU,111,Human_Single,Final-Exam-1,3,5,0,NaN,NaN,0,NaN,NaN,1,0.21999999999999997,1,1,0.21999999999999997,1,0,NaN,NaN
PSU,111,Human_Single,Final-Exam-1,3,6,0,NaN,NaN,0,NaN,NaN,1,0.22000000000000003,1,1,0.23000000000000004,1,0,NaN,NaN
PSU,111,Human_Single,Final-Exam-1,3,7,0,NaN,NaN,0,NaN,NaN,1,0.24,1,1,0.21999999999999997,1,0,NaN,NaN
PSU,111,Human_Single,Final-Exam-1,3,8,0,NaN,NaN,0,NaN,NaN,1,0.2700000000000001,1,1,0.33,1,0,NaN,NaN
PSU,111,Human_Single,Final-Exam-1,3,9,0,NaN,NaN,0,NaN,NaN,1,0.22999999999999998,1,1,0.21,1,0,NaN,NaN
PSU,111,Human_Single,Final-Exam-1,3,10,0,NaN,NaN,0,NaN,NaN,1,0.21500000000000002,1,1,0.21500000000000002,1,0,NaN,NaN
PSU,112,Human_Single,Final-Exam-1,3,1,0,NaN,NaN,0,NaN,NaN,1,0.30000000000000004,1,1,0.30000000000000004,1,0,NaN,NaN
PSU,112,Human_Single,Final-Exam-1,3,2,0,NaN,NaN,0,NaN,NaN,1,0.22000000000000003,1,1,0.23000000000000004,1,0,NaN,NaN
PSU,112,Human_Single,Final-Exam-1,3,3,0,NaN,NaN,0,NaN,NaN,1,0.425,1,1,0.425,1,0,NaN,NaN
PSU,112,Human_Single,Final-Exam-1,3,4,0,NaN,NaN,0,NaN,NaN,1,0.22000000000000003,1,1,0.19,1,0,NaN,NaN
PSU,112,Human_Single,Final-Exam-1,3,5,0,NaN,NaN,0,NaN,NaN,1,0.21999999999999997,1,1,0.21999999999999997,1,0,NaN,NaN
PSU,112,Human_Single,Final-Exam-1,3,6,0,NaN,NaN,0,NaN,NaN,1,0.22000000000000003,1,1,0.23000000000000004,1,0,NaN,NaN
PSU,112,Human_Single,Final-Exam-1,3,7,0,NaN,NaN,0,NaN,NaN,1,0.314,1,1,0.276,1,0,NaN,NaN
PSU,112,Human_Single,Final-Exam-1,3,8,0,NaN,NaN,0,NaN,NaN,1,0.3200000000000001,1,1,0.23000000000000004,1,0,NaN,NaN
PSU,112,Human_Single,Final-Exam-1,3,9,0,NaN,NaN,0,NaN,NaN,1,0.28,1,1,0.26,1,0,NaN,NaN
PSU,112,Human_Single,Final-Exam-1,3,10,0,NaN,NaN,0,NaN,NaN,1,0.314,1,1,0.11600000000000005,1,0,NaN,NaN
PSU,113,Human_Single,Final-Exam-1,3,1,0,NaN,NaN,0,NaN,NaN,1,0.0,0,1,0.0,0,0,NaN,NaN
PSU,113,Human_Single,Final-Exam-1,3,2,0,NaN,NaN,0,NaN,NaN,1,0.03,1,1,0.03,1,0,NaN,NaN
PSU,113,Human_Single,Final-Exam-1,3,3,0,NaN,NaN,0,NaN,NaN,1,1.3877787807814457E-17,0,1,1.3877787807814457E-17,0,0,NaN,NaN
PSU,113,Human_Single,Final-Exam-1,3,4,0,NaN,NaN,0,NaN,NaN,1,0.01999999999999999,1,1,0.03999999999999998,1,0,NaN,NaN
PSU,113,Human_Single,Final-Exam-1,3,5,0,NaN,NaN,0,NaN,NaN,1,0.01999999999999999,1,1,0.01999999999999999,1,0,NaN,NaN
PSU,113,Human_Single,Final-Exam-1,3,6,0,NaN,NaN,0,NaN,NaN,1,0.12,1,1,0.18,1,0,NaN,NaN
PSU,113,Human_Single,Final-Exam-1,3,7,0,NaN,NaN,0,NaN,NaN,1,0.24,1,1,0.12,1,0,NaN,NaN
PSU,113,Human_Single,Final-Exam-1,3,8,0,NaN,NaN,0,NaN,NaN,1,0.12000000000000005,1,1,0.030000000000000013,1,0,NaN,NaN
PSU,113,Human_Single,Final-Exam-1,3,9,0,NaN,NaN,0,NaN,NaN,1,0.156,1,1,0.28800000000000003,1,0,NaN,NaN
PSU,113,Human_Single,Final-Exam-1,3,10,0,NaN,NaN,0,NaN,NaN,1,0.21500000000000002,1,1,0.21500000000000002,1,0,NaN,NaN
PSU,114,Human_Single,Final-Exam-1,3,1,0,NaN,NaN,0,NaN,NaN,1,0.0,0,1,0.0,0,0,NaN,NaN
PSU,114,Human_Single,Final-Exam-1,3,2,0,NaN,NaN,0,NaN,NaN,1,0.0,0,1,0.0,0,0,NaN,NaN
PSU,114,Human_Single,Final-Exam-1,3,3,0,NaN,NaN,0,NaN,NaN,1,1.3877787807814457E-17,0,1,1.3877787807814457E-17,0,0,NaN,NaN
PSU,114,Human_Single,Final-Exam-1,3,4,0,NaN,NaN,0,NaN,NaN,1,-1.3877787807814457E-17,0,1,-2.7755575615628914E-17,0,0,NaN,NaN
PSU,114,Human_Single,Final-Exam-1,3,5,0,NaN,NaN,0,NaN,NaN,1,-1.3877787807814457E-17,0,1,-1.3877787807814457E-17,0,0,NaN,NaN
PSU,114,Human_Single,Final-Exam-1,3,6,0,NaN,NaN,0,NaN,NaN,1,-1.3877787807814457E-17,0,1,0.0,0,0,NaN,NaN
PSU,114,Human_Single,Final-Exam-1,3,7,0,NaN,NaN,0,NaN,NaN,1,-2.7755575615628914E-17,0,1,-1.3877787807814457E-17,0,0,NaN,NaN
PSU,114,Human_Single,Final-Exam-1,3,8,0,NaN,NaN,0,NaN,NaN,1,5.551115123125783E-17,0,1,1.3877787807814457E-17,0,0,NaN,NaN
