site_id,response_generator_id,data_type,exam_id,task_number,trial_number,AA_measured,AA_magnitude,AA_exhibited,PDE_measured,PDE_magnitude,PDE_exhibited,RR_measured,RR_magnitude,RR_exhibited,AV_measured,AV_magnitude,AV_exhibited
PSU,103,Human_Single,Final-Exam-1,2,1,1,0.00613212377362049,1,0,NaN,NaN,1,0.0,0,0,NaN,NaN
PSU,103,Human_Single,Final-Exam-1,2,2,1,0.008179202578157407,1,0,NaN,NaN,1,0.12999999999999995,1,0,NaN,NaN
PSU,103,Human_Single,Final-Exam-1,2,3,1,0.05261426157076321,1,0,NaN,NaN,1,0.11000000000000001,1,0,NaN,NaN
PSU,103,Human_Single,Final-Exam-1,2,4,1,0.08045895423517724,1,0,NaN,NaN,1,0.2799999999999999,1,0,NaN,NaN
PSU,103,Human_Single,Final-Exam-1,2,5,1,0.007523996056918003,1,0,NaN,NaN,1,0.25,1,0,NaN,NaN
PSU,103,Human_Single,Final-Exam-1,2,6,1,-0.023743200906637174,0,0,NaN,NaN,1,0.27999999999999997,1,0,NaN,NaN
PSU,103,Human_Single,Final-Exam-1,2,7,1,-0.055376482646869896,0,0,NaN,NaN,1,0.20000000000000007,1,0,NaN,NaN
PSU,103,Human_Single,Final-Exam-1,2,8,1,-0.055376482646869896,0,0,NaN,NaN,1,0.14500000000000002,1,0,NaN,NaN
PSU,103,Human_Single,Final-Exam-1,2,9,1,-0.001919341373497363,0,0,NaN,NaN,1,0.3,1,0,NaN,NaN
PSU,103,Human_Single,Final-Exam-1,2,10,1,-0.07921351576035851,0,0,NaN,NaN,1,0.32,1,0,NaN,NaN
PSU,104,Human_Single,Final-Exam-1,2,1,1,0.0053144610840585305,1,0,NaN,NaN,1,0.0,0,0,NaN,NaN
PSU,104,Human_Single,Final-Exam-1,2,2,1,-0.02904940554533142,0,0,NaN,NaN,1,0.12000000000000005,1,0,NaN,NaN
PSU,104,Human_Single,Final-Exam-1,2,3,1,0.08045895423517713,1,0,NaN,NaN,1,0.2,1,0,NaN,NaN
PSU,104,Human_Single,Final-Exam-1,2,4,1,-0.02904940554533142,0,0,NaN,NaN,1,0.07999999999999996,1,0,NaN,NaN
PSU,104,Human_Single,Final-Exam-1,2,5,1,-0.02904940554533142,0,0,NaN,NaN,1,0.16000000000000003,1,0,NaN,NaN
PSU,104,Human_Single,Final-Exam-1,2,6,1,0.08045895423517713,1,0,NaN,NaN,1,0.16000000000000003,1,0,NaN,NaN
PSU,104,Human_Single,Final-Exam-1,2,7,1,0.08045895423517724,1,0,NaN,NaN,1,0.25,1,0,NaN,NaN
PSU,104,Human_Single,Final-Exam-1,2,8,1,0.0,0,0,NaN,NaN,1,0.04999999999999999,1,0,NaN,NaN
PSU,104,Human_Single,Final-Exam-1,2,9,1,0.02182385953313981,1,0,NaN,NaN,1,0.26,1,0,NaN,NaN
PSU,104,Human_Single,Final-Exam-1,2,10,1,0.04914765530135723,1,0,NaN,NaN,1,0.2700000000000001,1,0,NaN,NaN
PSU,105,Human_Single,Final-Exam-1,2,1,1,0.12559965783223204,1,0,NaN,NaN,1,0.0,0,0,NaN,NaN
PSU,105,Human_Single,Final-Exam-1,2,2,1,0.12559965783223204,1,0,NaN,NaN,1,0.03999999999999998,1,0,NaN,NaN
PSU,105,Human_Single,Final-Exam-1,2,3,1,0.6088993427206706,1,0,NaN,NaN,1,0.01999999999999999,1,0,NaN,NaN
PSU,105,Human_Single,Final-Exam-1,2,4,1,-0.02904940554533142,0,0,NaN,NaN,1,0.07999999999999996,1,0,NaN,NaN
PSU,105,Human_Single,Final-Exam-1,2,5,1,0.23080355174076495,1,0,NaN,NaN,1,0.03,1,0,NaN,NaN
PSU,105,Human_Single,Final-Exam-1,2,6,1,0.4854898337087552,1,0,NaN,NaN,1,0.03,1,0,NaN,NaN
PSU,105,Human_Single,Final-Exam-1,2,7,1,0.23080355174076495,1,0,NaN,NaN,1,0.010000000000000009,1,0,NaN,NaN
PSU,105,Human_Single,Final-Exam-1,2,8,1,0.1633279846969763,1,0,NaN,NaN,1,-2.7755575615628914E-17,0,0,NaN,NaN
PSU,105,Human_Single,Final-Exam-1,2,9,1,0.4854898337087552,1,0,NaN,NaN,1,0.03,1,0,NaN,NaN
PSU,105,Human_Single,Final-Exam-1,2,10,1,0.0053144610840585305,1,0,NaN,NaN,1,0.020000000000000018,1,0,NaN,NaN
PSU,106,Human_Single,Final-Exam-1,2,1,1,0.23080355174076472,1,0,NaN,NaN,1,0.19999999999999996,1,0,NaN,NaN
PSU,106,Human_Single,Final-Exam-1,2,2,1,0.03428321257710598,1,0,NaN,NaN,1,0.31000000000000005,1,0,NaN,NaN
PSU,106,Human_Single,Final-Exam-1,2,3,1,0.03428321257710598,1,0,NaN,NaN,1,0.25,1,0,NaN,NaN
PSU,106,Human_Single,Final-Exam-1,2,4,1,0.2869121588156269,1,0,NaN,NaN,1,0.42999999999999994,1,0,NaN,NaN
PSU,106,Human_Single,Final-Exam-1,2,5,1,0.03428321257710598,1,0,NaN,NaN,1,0.31000000000000005,1,0,NaN,NaN
PSU,106,Human_Single,Final-Exam-1,2,6,1,-0.021525409488413416,0,0,NaN,NaN,1,0.31000000000000005,1,0,NaN,NaN
PSU,106,Human_Single,Final-Exam-1,2,7,1,0.11772626915092588,1,0,NaN,NaN,1,0.30000000000000004,1,0,NaN,NaN
PSU,106,Human_Single,Final-Exam-1,2,8,1,0.19725246359165105,1,0,NaN,NaN,1,0.3,1,0,NaN,NaN
