site_id,response_generator_id,data_type,exam_id,task_number,trial_number,trial_time,num_blue_locations,red_capability_Pc,red_vulnerability_P_1,red_opportunity_U_1,red_activity_detected_1,bluebook_Netural_prob_1,probs_Pp_time,probs_Pp_1,probs_Pp_2,probs_Pp_normative_1,probs_Pp_normative_2,probs_Pp_normative_inc_1,probs_Pp_normative_inc_2,probs_Ppc_time,probs_Ppc_1,probs_Ppc_2,probs_Ppc_normative_1,probs_Ppc_normative_2,probs_Ppc_normative_inc_1,probs_Ppc_normative_inc_2,probs_Pt_time,probs_Pt_1,probs_Pt_2,probs_Pt_normative_1,probs_Pt_normative_2,probs_Pt_normative_inc_1,probs_Pt_normative_inc_2,probs_Ptpc_time,probs_Ptpc_1,probs_Ptpc_2,probs_Ptpc_normative_1,probs_Ptpc_normative_2,probs_Ptpc_normative_inc_1,probs_Ptpc_normative_inc_2,blue_action_time,blue_action_1,blue_action_expected_utility,blue_action_normative_participant_1,blue_action_normative_participant_expected_utility,blue_action_normative_bayesian_1,blue_action_normative_bayesian_expected_utility
PSU,104,Human_Single,Final-Exam-1,1,1,147249.0,1,1.0,0.484673201,4,0,0.4,33119.0,0.4,0.6,0.4,0.6,0.4,0.6,21777.0,0.4,0.6,0.4,0.6,0.4,0.6,29640.0,0.4,0.6,0.3333333333333333,0.6666666666666667,0.3333333333333333,0.6666666666666667,7160.0,0.4,0.6,0.25,0.75,0.30769230769230776,0.6923076923076923,NaN,Do_Not_Divert,NaN,Do_Not_Divert,-0.04904575680000001,Do_Not_Divert,-0.030653598000000004
PSU,104,Human_Single,Final-Exam-1,1,2,69373.0,1,1.0,0.103481851,2,1,0.6,13260.0,0.6,0.4,0.6,0.4,0.6,0.4,15148.0,0.6,0.4,0.6,0.4,0.6,0.4,11622.0,0.6,0.4,0.7499999999999999,0.2500000000000001,0.7499999999999999,0.2500000000000001,10109.0,0.6,0.4,0.8181818181818181,0.18181818181818188,0.6923076923076923,0.3076923076923077,NaN,Divert,NaN,Divert,-0.4,Divert,-0.18181818181818188
PSU,104,Human_Single,Final-Exam-1,1,3,109372.0,1,0.4,0.146325185,5,0,0.8,7862.0,0.8,0.2,0.8,0.19999999999999996,0.8,0.19999999999999996,23822.0,0.6,0.4,0.32000000000000006,0.6799999999999999,0.32000000000000006,0.6799999999999999,23821.0,0.4,0.6,0.3333333333333333,0.6666666666666667,0.3333333333333333,0.6666666666666667,16427.0,0.5,0.5,0.1904761904761905,0.8095238095238095,0.5,0.5,NaN,Do_Not_Divert,NaN,Divert,-0.5,Do_Not_Divert,-0.6736663142857143
PSU,104,Human_Single,Final-Exam-1,1,4,87828.0,1,0.4,0.431649873,2,0,0.2,7145.0,0.2,0.8,0.2,0.8,0.2,0.8,10592.0,0.2,0.8,0.08000000000000002,0.9199999999999999,0.08000000000000002,0.9199999999999999,10436.0,0.4,0.6,0.3333333333333333,0.6666666666666667,0.3333333333333333,0.6666666666666667,9532.0,0.3,0.7,0.041666666666666664,0.9583333333333334,0.14285714285714288,0.8571428571428571,NaN,Do_Not_Divert,NaN,Do_Not_Divert,-0.08202015239999998,Do_Not_Divert,-0.01139168783333333
PSU,104,Human_Single,Final-Exam-1,1,5,38579.0,1,0.7,0.475453163,4,0,0.4,7082.0,0.4,0.6,0.4,0.6,0.4,0.6,11528.0,0.4,0.6,0.27999999999999997,0.72,0.27999999999999997,0.72,7706.0,0.4,0.6,0.3333333333333333,0.6666666666666667,0.3333333333333333,0.6666666666666667,4399.0,0.4,0.6,0.1627906976744186,0.8372093023255814,0.30769230769230776,0.6923076923076923,NaN,Do_Not_Divert,NaN,Do_Not_Divert,-0.07854987839999997,Do_Not_Divert,-0.03196797376744184
PSU,104,Human_Single,Final-Exam-1,1,6,43118.0,1,0.9,0.177883181,3,1,0.6,6786.0,0.6,0.4,0.6,0.4,0.6,0.4,6349.0,0.6,0.4,0.54,0.45999999999999996,0.54,0.45999999999999996,7317.0,0.6,0.4,0.7499999999999999,0.2500000000000001,0.7499999999999999,0.2500000000000001,5163.0,0.6,0.4,0.7788461538461537,0.22115384615384626,0.6923076923076923,0.3076923076923077,NaN,Divert,NaN,Divert,-0.4,Divert,-0.22115384615384626
PSU,104,Human_Single,Final-Exam-1,1,7,39968.0,1,0.4,0.423021625,3,0,0.2,5320.0,0.2,0.8,0.2,0.8,0.2,0.8,4805.0,0.2,0.8,0.08000000000000002,0.9199999999999999,0.08000000000000002,0.9199999999999999,6786.0,0.4,0.6,0.3333333333333333,0.6666666666666667,0.3333333333333333,0.6666666666666667,5116.0,0.3,0.7,0.041666666666666664,0.9583333333333334,0.14285714285714288,0.8571428571428571,NaN,Do_Not_Divert,NaN,Do_Not_Divert,-0.13856107499999998,Do_Not_Divert,-0.019244593749999997
PSU,104,Human_Single,Final-Exam-1,1,8,63866.0,1,0.7,0.187121096,2,1,0.6,5382.0,0.6,0.4,0.6,0.4,0.6,0.4,6194.0,0.6,0.4,0.42,0.5800000000000001,0.42,0.5800000000000001,8050.0,0.6,0.4,0.7499999999999999,0.2500000000000001,0.7499999999999999,0.2500000000000001,4555.0,0.6,0.4,0.684782608695652,0.315217391304348,0.6923076923076923,0.3076923076923077,NaN,Do_Not_Divert,NaN,Divert,-0.4,Divert,-0.315217391304348
PSU,104,Human_Single,Final-Exam-1,1,9,31699.0,1,0.9,0.247636435,4,0,0.8,5881.0,0.8,0.2,0.8,0.19999999999999996,0.8,0.19999999999999996,3603.0,0.8,0.2,0.7200000000000001,0.2799999999999999,0.7200000000000001,0.2799999999999999,7348.0,0.4,0.6,0.3333333333333333,0.6666666666666667,0.3333333333333333,0.6666666666666667,6146.0,0.6,0.4,0.5625000000000001,0.4374999999999999,0.7272727272727273,0.2727272727272727,NaN,Do_Not_Divert,NaN,Divert,-0.4,Divert,-0.4374999999999999
PSU,104,Human_Single,Final-Exam-1,1,10,38205.0,1,1.0,0.402986574,3,0,0.2,8393.0,0.2,0.8,0.2,0.8,0.2,0.8,3682.0,0.2,0.8,0.2,0.8,0.2,0.8,7082.0,0.4,0.6,0.3333333333333333,0.6666666666666667,0.3333333333333333,0.6666666666666667,4711.0,0.3,0.7,0.11111111111111109,0.888888888888889,0.14285714285714288,0.8571428571428571,NaN,Do_Not_Divert,NaN,Do_Not_Divert,-0.1746241668,Do_Not_Divert,-0.06467561733333332
