site_id,subject_id,Age,Gender,AssociatesDegreeDiscipline,BachelorsDegreeDiscipline,CertificateDegreeDiscipline,MastersDegreeDiscipline,PhdDiscipline,CurrentDegree,CurrentDegreeDiscipline,HighestDegree,Job_1_Type,Job_1_Employer,Job_1_Title,Job_1_Years,Job_2_Type,Job_2_Employer,Job_2_Title,Job_2_Years,Job_3_Type,Job_3_Employer,Job_3_Title,Job_3_Years,Job_4_Type,Job_4_Employer,Job_4_Title,Job_4_Years,Job_5_Type,Job_5_Employer,Job_5_Title,Job_5_Years,Job_6_Type,Job_6_Employer,Job_6_Title,Job_6_Years,Job_7_Type,Job_7_Employer,Job_7_Title,Job_7_Years,Job_8_Type,Job_8_Employer,Job_8_Title,Job_8_Years,Job_9_Type,Job_9_Employer,Job_9_Title,Job_9_Years,Job_10_Type,Job_10_Employer,Job_10_Title,Job_10_Years,YearsExperience,YearsGeoIntExperience,ProbabilityAndStatsTraining,ProbabilityAndStatsFrequency,GeospatialDataFrequency,GeointAnalysisLevel,SpatialAbility,BIS,BASDrive,BASFunSeeking,BASRewardResponsiveness,BASTotal,FoxHedgehogScore,SNA,CRTScore,VGE
PSU,117,43,Male,,Meteorology,,,Atmospheric Science,,,PhD,Other,Penn State,Assist Prof,17,Other,PRC  Inc,Consultant,1,Other,Penn State,Grad Student,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,0,2,2,2,0,3,145,76,85,98,259,-20,,3,
PSU,118,21,Male,,,,,,Bachelor,Security and Risk Analysis,,Other,Fairfax County Park Authority,Marina Employee,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,1,1,1,0,2,136,85,79,107,271,6,,1,
PSU,119,22,Male,,,,,,Bachelor,Secondary Education: Earth and Space,,Other,Team Blue Car Wash,Car Washer,0.5,Other,Weis Grocery Store,Stocker,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1,1,0,2,142,76,76,98,250,36,,2,
PSU,120,21,Male,,,,,,,intelligence analysis,,Other,Above and beyond ballooning,Crew ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,2,2,0,1,1,139,79,82,107,268,-12,,0,
PSU,121,21,Male,,,,,,Bachelor,Aerospace Engineering,,Other,Boeing,Structural Engineering Intern,3,Other,Walgreen's,Photo Technician,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,1,2,2,1,3,148,76,85,107,268,-10,,3,
PSU,122,23,Male,,,,,,Bachelor,Psychology,,Other,Petco,Sales Associate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,1,1,0,0,2,142,76,79,101,256,40,,0,
PSU,123,30,Male,,Geography,Geographic Information Systems,,,Master,Homeland Security - Geospatial Intelligence,Bachelor,GeospatialAnalysis,The Pennsylvania State University - Biology,Research Technologist III,3,Other,Stratamodel Inc.,Chief Field Technician,4,Other,Lake Oswego Corp.,Operations Supervisor,2.5,Other,The Pennsylvania State University - Plant Pathology,Farm Technician,2,,,,,,,,,,,,,,,,,,,,,,,,,11.5,0,1,2,3,3,4,136,76,79,98,253,14,,3,
PSU,124,20,Male,,,,,,Bachelor,Penn State,,Other,Penn State ITS,Lab Consultant,3,Other,Bedford Gazette ,Foot Carrier,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,1,2,2,1,3,136,76,76,98,250,4,,0,
PSU,125,20,Male,,,,,,Bachelor,Aerospace Engineering,,Other,Metuchen  NJ YMCA,Life Guard/Swimming Instructor,2,Other,StaffMart Dayton  NJ,Temporary Worker,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,2,2,1,1,2,142,76,79,104,259,8,,1,
PSU,126,20,Male,,,,,,Bachelor,Security and Risk Analysis,,Other,Amazon Fullfillment Centers,Associate,0.3,Military,US Army PKSOI,Research Clerk,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0,1,1,0,0,2,133,82,79,107,268,-14,,3,
