1,IMINT,MOVINT,SIGINT,0.7940441641839819
1,IMINT,MOVINT,SOCINT,0.4888765903808662
1,IMINT,SIGINT,MOVINT,0.8255234821393109
1,IMINT,SIGINT,SOCINT,0.5750576477222832
1,IMINT,SOCINT,MOVINT,0.397456483910984
1,IMINT,SOCINT,SIGINT,0.4598863260107686
1,MOVINT,IMINT,SIGINT,0.7856675220542303
1,MOVINT,IMINT,SOCINT,0.4804999482511148
1,MOVINT,SIGINT,IMINT,0.6220311080052777
1,MOVINT,SIGINT,SOCINT,0.5774604386443232
1,MOVINT,SOCINT,IMINT,0.44067778535558266
1,MOVINT,SOCINT,SIGINT,0.6331519075135601
1,SIGINT,IMINT,MOVINT,0.9669033391112918
1,SIGINT,IMINT,SOCINT,0.7164375046942639
1,SIGINT,MOVINT,IMINT,0.9072205391067494
1,SIGINT,MOVINT,SOCINT,0.7026807772995076
1,SIGINT,SOCINT,IMINT,0.681828050859528
1,SIGINT,SOCINT,MOVINT,0.6620540864545914
1,SOCINT,IMINT,MOVINT,0.34010967154683724
1,SOCINT,IMINT,SIGINT,0.40253951364662144
1,SOCINT,MOVINT,IMINT,0.3637220881135512
1,SOCINT,MOVINT,SIGINT,0.5561962102715288
1,SOCINT,SIGINT,IMINT,0.5928111119758437
1,SOCINT,SIGINT,MOVINT,0.5730371475709074
2,IMINT,MOVINT,SIGINT,0.849885532845291
2,IMINT,MOVINT,SOCINT,0.6136601241280134
2,IMINT,SIGINT,MOVINT,0.7607026130346107
2,IMINT,SIGINT,SOCINT,0.6366242439460249
2,IMINT,SOCINT,MOVINT,0.6055682173862504
2,IMINT,SOCINT,SIGINT,0.6554626918700962
2,MOVINT,IMINT,SIGINT,0.7869455096289814
2,MOVINT,IMINT,SOCINT,0.5507201009117038
2,MOVINT,SIGINT,IMINT,0.6992920292700251
2,MOVINT,SIGINT,SOCINT,0.666174241359203
2,MOVINT,SOCINT,IMINT,0.49629186311365103
2,MOVINT,SOCINT,SIGINT,0.6190179459443097
2,SIGINT,IMINT,MOVINT,0.5731058943096591
2,SIGINT,IMINT,SOCINT,0.4490275252210733
2,SIGINT,MOVINT,IMINT,0.5604786619224013
2,SIGINT,MOVINT,SOCINT,0.5273608740115789
2,SIGINT,SOCINT,IMINT,0.4161645038162455
2,SIGINT,SOCINT,MOVINT,0.4727366548495307
2,SOCINT,IMINT,MOVINT,0.5638393550334606
2,SOCINT,IMINT,SIGINT,0.613733829517306
2,SOCINT,MOVINT,IMINT,0.5109203294426066
2,SOCINT,MOVINT,SIGINT,0.6336464122732659
2,SOCINT,SIGINT,IMINT,0.48544086290194144
2,SOCINT,SIGINT,MOVINT,0.5420130139352264
3,IMINT,MOVINT,SIGINT,0.8794472152888451
3,IMINT,MOVINT,SOCINT,0.650632182033465
3,IMINT,SIGINT,MOVINT,0.9196165232478555
3,IMINT,SIGINT,SOCINT,0.7118159011040656
3,IMINT,SOCINT,MOVINT,0.6264662435364401
3,IMINT,SOCINT,SIGINT,0.6819855888932495
3,MOVINT,IMINT,SIGINT,0.8368830876004666
3,MOVINT,IMINT,SOCINT,0.6080680543450865
3,MOVINT,SIGINT,IMINT,0.9892059456875557
3,MOVINT,SIGINT,SOCINT,0.7406670916314464
3,MOVINT,SOCINT,IMINT,0.5498417911029839
3,MOVINT,SOCINT,SIGINT,0.6484986895279844
3,SIGINT,IMINT,MOVINT,0.9125368403065026
3,SIGINT,IMINT,SOCINT,0.7047362181627128
3,SIGINT,MOVINT,IMINT,0.9079479013281812
3,SIGINT,MOVINT,SOCINT,0.6594090472720717
3,SIGINT,SOCINT,IMINT,0.703091166886233
3,SIGINT,SOCINT,MOVINT,0.6998753163925141
3,SOCINT,IMINT,MOVINT,0.5868801515130875
3,SOCINT,IMINT,SIGINT,0.6423994968698965
3,SOCINT,MOVINT,IMINT,0.5494262210218277
3,SOCINT,MOVINT,SIGINT,0.648083119446828
3,SOCINT,SIGINT,IMINT,0.7400493499623646
3,SOCINT,SIGINT,MOVINT,0.7368334994686456
4,IMINT,MOVINT,SIGINT,0.7496411422250107
4,IMINT,MOVINT,SOCINT,0.5582433321205647
4,IMINT,SIGINT,MOVINT,0.6845543713529759
4,IMINT,SIGINT,SOCINT,0.6495118047595055
4,IMINT,SOCINT,MOVINT,0.6226597951855793
4,IMINT,SOCINT,SIGINT,0.7131919946483254
4,MOVINT,IMINT,SIGINT,0.8172083737618944
4,MOVINT,IMINT,SOCINT,0.6258105636574484
4,MOVINT,SIGINT,IMINT,0.7500281735644696
4,MOVINT,SIGINT,SOCINT,0.6607821348466741
