20,1,51.0,18.0,32.23675323681471
20,2,45.0,63.0,27.094112549695424
20,3,27.0,28.0,5.824264068711929
20,4,74.0,83.0,37.66690475583121
40,1,51.0,16.0,16.066904755831214
40,2,44.0,66.0,11.524264068711927
40,3,33.0,28.0,12.14558441227157
40,4,74.0,83.0,17.897056274847714
60,1,62.0,32.0,23.566904755831214
60,2,43.0,69.0,5.172792206135785
60,3,34.0,28.0,26.566904755831207
60,4,70.0,82.0,11.172792206135785
80,1,56.0,24.0,16.842640687119285
80,2,44.0,66.0,4.2
80,3,34.0,28.0,16.169848480983497
80,4,68.0,82.0,19.1698484809835
100,1,59.0,28.0,16.542640687119285
100,2,44.0,66.0,17.297056274847716
100,3,38.0,29.0,1.7485281374238568
100,4,67.0,82.0,29.069848480983502
